facturadora,facturada,total
Q7009715042,Q1527100770,44379
Q4451605077,Q5572688534,82509
Q1033745652,Q5184356482,7883
Q1710658261,Q2641727394,20825
Q33,Q8654262468,80971
Q5899441084,Q1033745652,27845
Q9336212340,Q3618140647,684
Q8396980208,Q4451605077,34161
Q2903404864,Q1911467279,80670
Q5184356482,Q1509499132,12129
Q8374347050,Q1322352860,60611
Q1111111,Q6723378937,76603
Q9276934764,Q33,18880
Q33,Q0301971354,76450
Q9336212340,Q6798126526,55702
Q5236930570,Q9855629498,88829
Q5071998992,Q1955927015,99427
Q6934466760,Q4678003580,98546
Q0944953579,Q33,42926
Q8044157700,Q1820827878,25168
Q9671059268,Q5184356482,86383
Q8888,Q9336212340,85821
Q7009715042,Q6750581222,3251
Q0944953579,Q5256483984,97704
Q55555,Q4063404034,55013
Q0851389296,Q2201628128,19601
Q5899441084,Q2280162501,14170
Q4678003580,Q2274080112,75636
Q1799660712,Q6236124536,63128
Q0978988285,Q1799660712,9692
Q1728417125,Q1955927015,69894
Q5184356482,Q8206014259,28175
Q5997385515,Q1088565265,72342
Q5369760002,Q3618140647,64804
Q0978988285,Q4451605077,13603
Q0301971354,Q5256483984,77385
Q1521208856,Q0851389296,12262
Q7933062949,Q7976453880,53829
Q1521208856,Q2535484805,50848
Q7933062949,Q3611449843,35247
Q6666,Q0177372821,30640
Q0563962909,Q2280162501,6048
Q9276934764,Q9564636321,50706
Q5572688534,Q7400418425,91147
Q1799660712,Q0978988285,78636
Q9671059268,Q3040648240,93663
Q5899441084,Q1088565265,74692
Q272727,Q9336212340,4979
Q1033745652,Q9815722414,52791
Q3967623915,Q0021942248,41831
Q7976453880,Q3611449843,21503
Q7009715042,Q1033745652,43624
Q1710658261,Q4195375468,93716
Q7933062949,Q8620606089,31590
Q9453657809,Q6454390516,17644
Q0850183150,Q9453657809,45973
Q272727,Q7089122617,53923
Q0000001,Q0851389296,6282
Q6666,Q4063404034,68100
Q0978988285,Q2156262190,94921
Q5369760002,Q6666,35551
Q1509499132,Q4678003580,41412
Q9388385657,Q0301971354,40279
Q8654262468,Q0851389296,94543
Q6666,Q9453657809,76108
Q5184356482,Q5997385515,62202
Q5236930570,Q0021942248,22542
Q8374347050,Q3164435093,24394
Q33,Q9855629498,33332
Q5825436105,Q0199943111,32740
Q5184356482,Q9671059268,18779
Q7570562411,Q5997385515,66509
Q9016400742,Q9276934764,2666
Q2280162501,Q0944953579,41662
Q0851389296,Q7933062949,35599
Q1468063108,Q5633742877,24316
Q0851389296,Q5132628476,20043
Q4444,Q55555,96225
Q5997385515,Q272727,69400
Q9815722414,Q9336212340,45549
Q0944953579,Q3618140647,77062
Q33,Q4195375468,68173
Q1821647255,Q4678003580,37813
Q8374347050,Q8396980208,56354
Q4444,Q0563962909,4989
Q5236930570,Q5986013964,8687
Q1773186700,Q1821647255,17450
Q5256483984,Q5369760002,73556
Q0944953579,Q3967623915,73735
Q4242605006,Q4115702114,27354
Q0563962909,Q3281523098,88829
Q0944953579,Q3281523098,95511
Q5986013964,Q0000001,65194
Q8374347050,Q7400418425,48112
Q1821647255,Q7089122617,46524
Q9954990406,Q0563962909,30337
Q5899441084,Q5633742877,26563
Q1111111,Q5473512807,71074
Q1322352860,Q5997385515,938
Q1851779074,Q1521208856,94268
Q1006027194,Q8654262468,86922
Q3618140647,Q9453657809,8744
Q1033745652,Q5997385515,30071
Q4725404460,Q0000001,35544
Q7239794431,Q5132628476,27474
Q8396980208,Q5236930570,9123
Q0978988285,Q1322352860,41570
Q7135753287,Q6750581222,92755
Q8449780869,Q5986013964,63613
Q1728417125,Q0177372821,22683
Q5473512807,Q5825436105,91300
Q1851779074,Q0199943111,27703
Q2201628128,Q1773186700,42554
Q2535484805,Q5473512807,87861
Q1710658261,Q8620606089,10059
Q8202147355,Q9453657809,81224
Q9453657809,Q7239794431,32505
Q9453657809,Q5473512807,64186
Q5986013964,Q9276934764,93820
Q7009715042,Q1111111,74195
Q1468063108,Q2201628128,30360
Q1728417125,Q3611449843,7978
Q7400418425,Q9004955745,43841
Q7089122617,Q1851779074,23914
Q7400418425,Q1033745652,53040
Q5071998992,Q4242605006,95900
Q7976453880,Q8374347050,4527
Q5236930570,Q5997385515,65370
Q2156262190,Q0021942248,61801
Q0850183150,Q7239794431,11537
Q1111111,Q2280162501,6975
Q8225522581,Q4195375468,8895
Q8202147355,Q3611449843,7279
Q3611449843,Q1851779074,17117
Q8620606089,Q5986013964,3255
Q8202147355,Q7239794431,69144
Q0177372821,Q5071998992,28264
Q0301971354,Q1527100770,35504
Q0301971354,Q3967623915,83588
Q1955927015,Q4451605077,64252
Q5236930570,Q9815722414,29331
Q3967623915,Q2274080112,16755
Q9336212340,Q0301971354,92718
Q8206014259,Q9004955745,62381
Q1006027194,Q7239794431,67732
Q8374347050,Q7400418425,38486
Q3281523098,Q9855629498,3561
Q1521208856,Q2280162501,55601
Q4195375468,Q0482332301,47074
Q1509499132,Q5899441084,96248
Q1468063108,Q9004955745,95976
Q1033745652,Q8620606089,58760
Q1527100770,Q1322352860,9910
Q2274080112,Q0199943111,92772
Q4444,Q9004955745,36324
Q3611449843,Q1820827878,39613
Q9453657809,Q9276934764,75838
Q8374347050,Q7089122617,57866
Q7570562411,Q4242605006,42961
Q6750581222,Q2280162501,77088
Q6934466760,Q1820827878,37137
Q1088565265,Q0851389296,71274
Q3164435093,Q6723378937,91844
Q5473512807,Q8044157700,82109
Q7976453880,Q55555,99317
Q8620606089,Q0000001,29167
Q7009715042,Q4242605006,91781
Q55555,Q0199943111,18821
Q1728417125,Q0850183150,51700
Q3040648240,Q5473512807,90767
Q7009715042,Q5825436105,47476
Q1033745652,Q1911467279,44580
Q9388385657,Q7135753287,32157
Q3164435093,Q6236124536,44070
Q5473512807,Q2280162501,26364
Q5184356482,Q4444,86183
Q0850183150,Q4242605006,51351
Q1728417125,Q0978988285,42455
Q7009715042,Q1710658261,63061
Q2274080112,Q9004955745,28932
Q4195375468,Q3967623915,13714
Q5473512807,Q8792393276,7090
Q9276934764,Q8206014259,90369
Q1710658261,Q6750581222,5203
Q2903404864,Q1821647255,79751
Q1033745652,Q7400418425,46003
Q8654262468,Q7009715042,6563
Q5633742877,Q5825436105,6233
Q9954990406,Q0482332301,97461
Q8654262468,Q0482332301,24419
Q1033745652,Q0482332301,34762
Q9388385657,Q6723378937,87233
Q6723378937,Q8888,89968
Q1111111,Q1821647255,62356
Q7933062949,Q1799660712,16741
Q8620606089,Q5899441084,36259
Q9671059268,Q9815722414,41959
Q3565078655,Q4444,23482
Q0301971354,Q1468063108,66081
Q6454390516,Q8396980208,8427
Q0563962909,Q0301971354,31789
Q1527100770,Q5071998992,71992
Q4063404034,Q5256483984,27063
Q6666,Q8206014259,47395
Q3618140647,Q1799660712,34104
Q2903404864,Q55555,29959
Q9276934764,Q1509499132,87629
Q1521208856,Q8449780869,488
Q4725404460,Q9564636321,81228
Q1527100770,Q5986013964,91751
Q1468063108,Q5473512807,53478
Q5369760002,Q9564636321,32940
Q1111111,Q8620606089,83601
Q0944953579,Q9336212340,99377
Q0021942248,Q7400418425,22111
Q7135753287,Q4242605006,60088
Q0851389296,Q4195375468,6929
Q0177372821,Q7239794431,25904
Q5473512807,Q1773186700,31046
Q1033745652,Q5473512807,84138
Q8792393276,Q8044157700,40780
Q7135753287,Q33,88583
Q7400418425,Q4451605077,3927
Q9016400742,Q8044157700,77594
Q3281523098,Q5473512807,81225
Q6798126526,Q1799660712,14414
Q7089122617,Q4444,27363
Q1527100770,Q1710658261,21357
Q4451605077,Q6236124536,44809
Q6723378937,Q2274080112,62656
Q1955927015,Q9453657809,49228
Q3040648240,Q9276934764,95214
Q0000001,Q6666,38381
Q9336212340,Q9671059268,98026
Q9564636321,Q8620606089,13665
Q1527100770,Q8396980208,8326
Q5473512807,Q1111111,1618
Q3536657242,Q6454390516,20458
Q7933062949,Q8225522581,8547
Q2274080112,Q7239794431,74677
Q3040648240,Q9276934764,49494
Q0851389296,Q8396980208,68239
Q8044157700,Q3281523098,63550
Q1088565265,Q9016400742,2569
Q7135753287,Q5236930570,41624
Q4063404034,Q9016400742,5377
Q5369760002,Q8888,70798
Q5184356482,Q4063404034,82002
Q7400418425,Q0850183150,65704
Q4451605077,Q1111111,47162
Q4195375468,Q6364730892,90110
Q9954990406,Q8888,77933
Q2156262190,Q6666,82830
Q6236124536,Q4242605006,45258
Q0944953579,Q8396980208,96001
Q1468063108,Q9016400742,41037
Q6750581222,Q1509499132,56780
Q1773186700,Q0850183150,86285
Q5369760002,Q2156262190,9159
Q0944953579,Q55555,26390
Q7933062949,Q4451605077,35705
Q1521208856,Q1468063108,66680
Q7933062949,Q4444,2561
Q1911467279,Q5986013964,93510
Q0978988285,Q1728417125,49344
Q1521208856,Q1710658261,38916
Q2903404864,Q2156262190,14431
Q7239794431,Q0177372821,98967
Q8620606089,Q55555,57890
Q1799660712,Q1911467279,11436
Q1955927015,Q4242605006,68832
Q5899441084,Q4725404460,92029
Q9453657809,Q7570562411,44328
Q0199943111,Q8225522581,4828
Q2535484805,Q3618140647,58651
Q4195375468,Q1527100770,74360
Q6236124536,Q3611449843,96573
Q1820827878,Q7239794431,6737
Q9453657809,Q6666,12586
Q8202147355,Q9815722414,38640
Q6454390516,Q4063404034,77955
Q5899441084,Q7239794431,7321
Q3611449843,Q8396980208,6049
Q8202147355,Q9336212340,55439
Q5899441084,Q1468063108,46204
Q0850183150,Q1728417125,81122
Q8225522581,Q5184356482,16336
Q8374347050,Q2274080112,73525
Q1799660712,Q2641727394,68966
Q9855629498,Q1527100770,39722
Q4115702114,Q0199943111,31472
Q6798126526,Q1820827878,52904
Q0482332301,Q1088565265,52323
Q6364730892,Q8396980208,86904
Q0177372821,Q4451605077,59512
Q8396980208,Q0850183150,62184
Q2201628128,Q5071998992,98097
Q1710658261,Q1728417125,73210
Q8620606089,Q0482332301,14310
Q1111111,Q1851779074,10801
Q1468063108,Q2903404864,66957
Q33,Q6454390516,96906
Q8792393276,Q3611449843,16803
Q4444,Q1851779074,63214
Q272727,Q8620606089,70585
Q5473512807,Q4678003580,15875
Q3040648240,Q8449780869,81779
Q6723378937,Q1468063108,42993
Q8396980208,Q8202147355,23897
Q5132628476,Q3536657242,94141
Q3618140647,Q8792393276,504
Q6364730892,Q33,53775
Q9671059268,Q6905707917,34679
Q1851779074,Q0944953579,59325
Q8396980208,Q5473512807,81298
Q9815722414,Q3281523098,63732
Q7570562411,Q6798126526,53847
Q5256483984,Q5132628476,57856
Q6934466760,Q0563962909,33446
Q2201628128,Q0177372821,73324
Q4444,Q5236930570,49532
Q1521208856,Q4678003580,23967
Q3281523098,Q6454390516,72895
Q2280162501,Q4242605006,72277
Q4195375468,Q8225522581,65002
Q6454390516,Q0563962909,2698
Q0000001,Q8396980208,95372
Q1728417125,Q6454390516,14462
Q4115702114,Q0978988285,98124
Q3967623915,Q0482332301,43644
Q6934466760,Q1088565265,49852
Q1322352860,Q8206014259,60334
Q4451605077,Q1006027194,23310
Q9564636321,Q272727,53124
Q5132628476,Q8654262468,32426
Q6723378937,Q9671059268,13200
Q9855629498,Q7009715042,66739
Q7239794431,Q9336212340,15643
Q0563962909,Q8396980208,17602
Q5071998992,Q4115702114,79778
Q5572688534,Q2903404864,83604
Q2274080112,Q6723378937,77224
Q0000001,Q6454390516,36706
Q1111111,Q4678003580,58529
Q7135753287,Q3281523098,35866
Q8396980208,Q6723378937,29080
Q5071998992,Q4725404460,34751
Q9954990406,Q0978988285,47082
Q3618140647,Q1820827878,1646
Q1851779074,Q2280162501,44013
Q4242605006,Q1820827878,87335
Q3611449843,Q8044157700,19884
Q4115702114,Q1820827878,97092
Q8374347050,Q3164435093,7529
Q0000001,Q9815722414,94337
Q4063404034,Q0177372821,69396
Q6798126526,Q0177372821,11500
Q0199943111,Q5473512807,8298
Q9671059268,Q6723378937,70823
Q2201628128,Q9453657809,82428
Q33,Q8888,36506
Q7009715042,Q3040648240,49206
Q5825436105,Q3536657242,51592
Q4444,Q1509499132,99377
Q1527100770,Q6666,73783
Q0850183150,Q6454390516,48834
Q1851779074,Q3618140647,52446
Q7009715042,Q7570562411,88446
Q1111111,Q9453657809,81396
Q2274080112,Q7089122617,87076
Q8435135992,Q4444,33333
Q1468063108,Q6723378937,513
Q2641727394,Q5256483984,45925
Q3565078655,Q0850183150,7354
Q3536657242,Q1088565265,38352
Q8206014259,Q5132628476,48357
Q8449780869,Q9453657809,47295
Q8396980208,Q9388385657,12233
Q0851389296,Q0978988285,5405
Q7976453880,Q6750581222,96311
Q8620606089,Q3040648240,48578
Q2280162501,Q4451605077,20999
Q8654262468,Q8435135992,91634
Q9336212340,Q0850183150,83173
Q5236930570,Q3611449843,6224
Q0021942248,Q7089122617,15024
Q8888,Q3611449843,94194
Q4444,Q6934466760,98009
Q7135753287,Q2641727394,55649
Q7089122617,Q0944953579,85723
Q9671059268,Q0851389296,41515
Q1728417125,Q6750581222,18001
Q2280162501,Q6934466760,21015
Q1521208856,Q6905707917,10917
Q9954990406,Q8888,52915
Q5236930570,Q4242605006,71222
Q0482332301,Q5473512807,77374
Q4451605077,Q3281523098,7693
Q2156262190,Q9276934764,11077
Q8374347050,Q4725404460,11491
Q0563962909,Q8044157700,25395
Q8654262468,Q9016400742,43603
Q9016400742,Q0944953579,143
Q5132628476,Q9276934764,11345
Q4115702114,Q7976453880,58493
Q8044157700,Q8654262468,78061
Q7933062949,Q9004955745,82127
Q7089122617,Q6905707917,55570
Q9004955745,Q6750581222,80831
Q7009715042,Q6750581222,67409
Q4242605006,Q3040648240,41337
Q3536657242,Q1820827878,88732
Q1773186700,Q7976453880,19397
Q9336212340,Q3611449843,53611
Q1773186700,Q7400418425,94552
Q7239794431,Q3565078655,93794
Q5369760002,Q2535484805,26875
Q8888,Q0850183150,26887
Q8792393276,Q33,10171
Q5899441084,Q4444,15729
Q9276934764,Q8396980208,34301
Q7570562411,Q2274080112,17579
Q1799660712,Q9336212340,32336
Q1911467279,Q8435135992,55489
Q5369760002,Q1710658261,24354
Q8792393276,Q2201628128,16261
Q8206014259,Q6364730892,64664
Q6798126526,Q6236124536,73953
Q1111111,Q3536657242,43354
Q33,Q4678003580,13545
Q5997385515,Q7976453880,71039
Q0177372821,Q4451605077,95894
Q8654262468,Q8792393276,56455
Q5071998992,Q8792393276,26894
Q1955927015,Q5256483984,95151
Q3565078655,Q1851779074,93774
Q5997385515,Q7400418425,67081
Q8044157700,Q6454390516,43106
Q4725404460,Q1527100770,90502
Q0563962909,Q1799660712,97859
Q4444,Q272727,5901
Q9004955745,Q1799660712,23994
Q3611449843,Q9815722414,31001
Q5572688534,Q8225522581,93745
Q2280162501,Q272727,36008
Q1088565265,Q5256483984,6183
Q1521208856,Q5236930570,79939
Q2641727394,Q0850183150,7198
Q5184356482,Q8044157700,83045
Q7976453880,Q1527100770,33621
Q5132628476,Q2535484805,56786
Q0000001,Q9276934764,37975
Q1710658261,Q1033745652,82208
Q8044157700,Q5633742877,78855
Q8449780869,Q5825436105,46167
Q1527100770,Q0482332301,56046
Q0978988285,Q7933062949,58058
Q2201628128,Q5184356482,86081
Q3536657242,Q6934466760,14247
Q1322352860,Q9564636321,14868
Q5997385515,Q6905707917,8493
Q6364730892,Q8449780869,94199
Q4444,Q9016400742,31918
Q5633742877,Q5572688534,16291
Q1006027194,Q4451605077,42650
Q5473512807,Q33,22061
Q8620606089,Q4063404034,27336
Q3281523098,Q4115702114,26208
Q7089122617,Q2903404864,92363
Q3164435093,Q3967623915,40595
Q8620606089,Q6236124536,78944
Q2280162501,Q0563962909,1173
Q1088565265,Q9336212340,75683
Q5256483984,Q8654262468,26616
Q1006027194,Q7009715042,61477
Q7135753287,Q5473512807,64707
Q1033745652,Q6454390516,38042
Q8225522581,Q5986013964,44703
Q3536657242,Q3040648240,98775
Q8202147355,Q9336212340,51654
Q33,Q7933062949,47281
Q9453657809,Q0563962909,79947
Q272727,Q0850183150,15423
Q9388385657,Q9276934764,18273
Q7239794431,Q1033745652,10111
Q9016400742,Q1527100770,2390
Q8888,Q0021942248,71243
Q3164435093,Q2641727394,21585
Q8225522581,Q3281523098,5063
Q5572688534,Q0851389296,47123
Q3040648240,Q6934466760,52256
Q1521208856,Q8225522581,48639
Q7135753287,Q1710658261,80702
Q1911467279,Q0978988285,71673
Q0851389296,Q5899441084,85120
Q6364730892,Q0199943111,48495
Q3536657242,Q6236124536,99414
Q5369760002,Q0021942248,7852
Q5132628476,Q3611449843,46034
Q9336212340,Q6723378937,15072
Q8374347050,Q0944953579,88822
Q4451605077,Q1728417125,16178
Q0563962909,Q5986013964,51072
Q6798126526,Q1728417125,73552
Q9954990406,Q8202147355,72852
Q1006027194,Q7400418425,27673
Q6666,Q2201628128,14614
Q3040648240,Q1820827878,50156
Q1088565265,Q4451605077,44142
Q5184356482,Q8374347050,85587
Q3611449843,Q0000001,58075
Q33,Q9564636321,90984
Q5369760002,Q2535484805,99771
Q1033745652,Q5899441084,7805
Q0978988285,Q9453657809,79470
Q1821647255,Q272727,17002
Q6905707917,Q3536657242,48658
Q1322352860,Q0944953579,34932
Q8044157700,Q3565078655,64093
Q9004955745,Q8654262468,84809
Q9815722414,Q0177372821,19513
Q6934466760,Q5369760002,49935
Q0177372821,Q8620606089,10017
Q9453657809,Q1322352860,49281
Q0301971354,Q8396980208,92523
Q5132628476,Q1521208856,23668
Q0563962909,Q7400418425,67149
Q272727,Q2201628128,92248
Q6236124536,Q3536657242,13762
Q6750581222,Q5369760002,45323
Q1111111,Q5997385515,34307
Q3536657242,Q33,71645
Q9276934764,Q7239794431,59532
Q1820827878,Q8374347050,33063
Q1799660712,Q9016400742,35075
Q1509499132,Q8888,29072
Q0301971354,Q0199943111,10867
Q4444,Q0978988285,11817
Q8449780869,Q8396980208,31211
Q8396980208,Q9815722414,29880
Q5473512807,Q0851389296,45887
Q4063404034,Q1322352860,67928
Q5572688534,Q5071998992,56199
Q3164435093,Q8792393276,37479
Q7009715042,Q8206014259,27841
Q55555,Q1851779074,20514
Q8396980208,Q1322352860,1225
Q33,Q1468063108,25550
Q7239794431,Q1468063108,71522
Q1527100770,Q0199943111,90341
Q9954990406,Q3611449843,31251
Q3967623915,Q5825436105,15162
Q7570562411,Q6723378937,35861
Q3536657242,Q7976453880,36858
Q1006027194,Q6934466760,81399
Q8202147355,Q5369760002,1078
Q2156262190,Q6666,89977
Q1322352860,Q0301971354,87516
Q4242605006,Q3611449843,60960
Q3611449843,Q8225522581,7761
Q5572688534,Q7933062949,45247
Q4115702114,Q8435135992,83879
Q0850183150,Q1710658261,92806
Q1710658261,Q4195375468,66584
Q2274080112,Q1911467279,2753
Q2535484805,Q55555,59397
Q0021942248,Q5899441084,26498
Q7135753287,Q1728417125,40606
Q1322352860,Q6750581222,28888
Q4444,Q1955927015,84702
Q6905707917,Q8792393276,45569
Q8206014259,Q5899441084,53390
Q7570562411,Q1799660712,44524
Q6723378937,Q7239794431,45777
Q8792393276,Q9276934764,73923
Q7400418425,Q1033745652,38432
Q5825436105,Q4115702114,33181
Q9276934764,Q9671059268,54761
Q3536657242,Q9336212340,19456
Q5256483984,Q8654262468,96970
Q5132628476,Q1955927015,20402
Q2641727394,Q1773186700,42563
Q1468063108,Q0978988285,46108
Q6454390516,Q9453657809,46052
Q6454390516,Q8435135992,328
Q1527100770,Q55555,50133
Q2274080112,Q5986013964,50722
Q0944953579,Q5071998992,29631
Q1521208856,Q1820827878,78245
Q7400418425,Q9336212340,60654
Q8374347050,Q8792393276,96532
Q7239794431,Q2280162501,71213
Q8888,Q5071998992,23903
Q4451605077,Q1111111,84002
Q1033745652,Q9855629498,67401
Q1710658261,Q1851779074,29785
Q6666,Q1111111,85292
Q0944953579,Q8449780869,47511
Q3040648240,Q7135753287,18463
Q4451605077,Q3281523098,31744
Q2641727394,Q4115702114,44928
Q5473512807,Q1773186700,98275
Q2274080112,Q9016400742,97824
Q4195375468,Q3618140647,60231
Q9388385657,Q6934466760,49540
Q2641727394,Q1710658261,52569
Q6798126526,Q4242605006,59862
Q1773186700,Q8206014259,97767
Q5256483984,Q1521208856,39118
Q7239794431,Q1851779074,78260
Q0177372821,Q7009715042,1486
Q9671059268,Q9016400742,15671
Q9276934764,Q5997385515,98441
Q5184356482,Q272727,99932
Q4063404034,Q4115702114,5730
Q0199943111,Q8202147355,8737
Q7089122617,Q8202147355,63447
Q3164435093,Q5899441084,867
Q1006027194,Q9004955745,2452
Q0301971354,Q1955927015,18649
Q6723378937,Q1033745652,23029
Q9564636321,Q0177372821,88169
Q7135753287,Q0021942248,97348
Q6934466760,Q5899441084,81571
Q4063404034,Q3618140647,36332
Q1799660712,Q5899441084,40971
Q8888,Q9336212340,60601
Q8206014259,Q5825436105,64344
Q5572688534,Q6798126526,24125
Q7400418425,Q5184356482,82051
Q5132628476,Q4115702114,66712
Q1322352860,Q9016400742,57627
Q3536657242,Q6750581222,47766
Q6934466760,Q5071998992,83498
Q9954990406,Q1468063108,5590
Q7976453880,Q3611449843,15222
Q1033745652,Q6364730892,47712
Q4451605077,Q5369760002,97978
Q2535484805,Q8044157700,40451
Q1728417125,Q1527100770,10420
Q9815722414,Q1911467279,59306
Q5236930570,Q3164435093,33285
Q8435135992,Q8620606089,34011
Q8449780869,Q0851389296,58424
Q9016400742,Q33,72480
Q8792393276,Q33,13725
Q1955927015,Q7135753287,44242
Q4451605077,Q4725404460,43822
Q1799660712,Q5825436105,39615
Q5236930570,Q0850183150,27407
Q5986013964,Q9276934764,39749
Q1006027194,Q7400418425,46182
Q3164435093,Q7135753287,29690
Q4063404034,Q5633742877,27004
Q0563962909,Q1521208856,4630
Q4725404460,Q5572688534,62375
Q8449780869,Q1728417125,93146
Q0851389296,Q6364730892,63179
Q1111111,Q0850183150,87453
Q1111111,Q8654262468,35844
Q9336212340,Q3164435093,84920
Q4195375468,Q6723378937,80407
Q5369760002,Q2641727394,39030
Q7135753287,Q5369760002,69536
Q5633742877,Q4242605006,55098
Q0177372821,Q5256483984,45141
Q1820827878,Q8396980208,81971
Q1821647255,Q8449780869,75174
Q2201628128,Q6454390516,62425
Q6934466760,Q6236124536,68437
Q9388385657,Q1955927015,4832
Q1710658261,Q8044157700,93585
Q5825436105,Q4063404034,28640
Q4678003580,Q9276934764,91665
Q0851389296,Q3611449843,68171
Q9016400742,Q2641727394,55881
Q9336212340,Q8396980208,62440
Q6934466760,Q2156262190,4995
Q9388385657,Q1911467279,92400
Q1088565265,Q0021942248,8723
Q1728417125,Q8374347050,98483
Q2280162501,Q0021942248,89239
Q8044157700,Q5997385515,13711
Q6750581222,Q0177372821,85045
Q2274080112,Q1955927015,53687
Q0000001,Q272727,24250
Q9388385657,Q0563962909,88534
Q5899441084,Q0978988285,64834
Q7933062949,Q6750581222,91618
Q8792393276,Q7400418425,5680
Q8396980208,Q5473512807,68707
Q6798126526,Q1710658261,79262
Q1006027194,Q0482332301,83277
Q4063404034,Q1033745652,64754
Q1006027194,Q5236930570,69790
Q4678003580,Q2201628128,44908
Q1468063108,Q1088565265,75033
Q1799660712,Q2535484805,27091
Q5236930570,Q1006027194,16166
Q8206014259,Q4725404460,33003
Q4063404034,Q1773186700,13392
Q1710658261,Q5473512807,41215
Q7089122617,Q9276934764,66737
Q3536657242,Q8888,10637
Q55555,Q2903404864,64619
Q4063404034,Q8449780869,67406
Q0000001,Q0978988285,3568
Q1006027194,Q2903404864,56625
Q8396980208,Q7570562411,39829
Q9954990406,Q7135753287,42849
Q1911467279,Q1728417125,41306
Q8792393276,Q8435135992,34546
Q3040648240,Q5825436105,7119
Q8202147355,Q1006027194,81681
Q5633742877,Q6723378937,58442
Q5256483984,Q1851779074,10897
Q1521208856,Q4451605077,3514
Q1509499132,Q8449780869,53700
Q6798126526,Q3565078655,29975
Q8449780869,Q1710658261,71693
Q1088565265,Q5184356482,97686
Q1728417125,Q8654262468,58929
Q2535484805,Q6934466760,92635
Q0944953579,Q5986013964,15063
Q0000001,Q8202147355,66185
Q6934466760,Q8435135992,54092
Q8396980208,Q1710658261,37710
Q9336212340,Q33,87893
Q4451605077,Q6723378937,40274
Q0301971354,Q6364730892,92885
Q0563962909,Q8044157700,13403
Q6723378937,Q0000001,60703
Q0021942248,Q55555,57495
Q1820827878,Q8225522581,6093
Q8888,Q9004955745,73395
Q9388385657,Q7009715042,20357
Q1851779074,Q9276934764,41464
Q9336212340,Q1006027194,64880
Q1710658261,Q8888,91738
Q9004955745,Q5369760002,89237
Q8396980208,Q1710658261,9576
Q3565078655,Q1911467279,9826
Q1955927015,Q1322352860,41037
Q4242605006,Q8620606089,4562
Q0850183150,Q9564636321,46450
Q5132628476,Q1468063108,60212
Q2274080112,Q9855629498,89132
Q0944953579,Q1821647255,30106
Q9276934764,Q7400418425,11793
Q3281523098,Q4115702114,16953
Q272727,Q5572688534,19634
Q6454390516,Q9815722414,60550
Q1851779074,Q7400418425,50329
Q3565078655,Q8654262468,8078
Q3565078655,Q9453657809,36527
Q1111111,Q8449780869,18547
Q8435135992,Q4444,22902
Q3611449843,Q5572688534,95979
Q8792393276,Q7089122617,27124
Q8435135992,Q6236124536,39084
Q5473512807,Q55555,85547
Q7933062949,Q5236930570,50066
Q1088565265,Q1322352860,52746
Q9388385657,Q7009715042,93168
Q4242605006,Q2156262190,24742
Q8206014259,Q5369760002,28154
Q6905707917,Q5071998992,16271
Q8396980208,Q1851779074,57334
Q0301971354,Q6905707917,87920
Q5997385515,Q5825436105,97982
Q3967623915,Q1911467279,25066
Q8435135992,Q1773186700,67199
Q3618140647,Q5369760002,34131
Q9671059268,Q3611449843,41974
Q1851779074,Q6364730892,25230
Q5633742877,Q6454390516,6903
Q9671059268,Q8374347050,48204
Q6905707917,Q9016400742,17865
Q6750581222,Q5633742877,99270
Q3040648240,Q6750581222,31259
Q1911467279,Q6750581222,11642
Q4678003580,Q1955927015,15909
Q8435135992,Q5132628476,61453
Q6364730892,Q0482332301,69797
Q8888,Q8374347050,84002
Q3281523098,Q0850183150,24422
Q8044157700,Q5369760002,42314
Q3967623915,Q1527100770,75294
Q7933062949,Q3536657242,83984
Q0301971354,Q1322352860,1826
Q1509499132,Q9016400742,55990
Q1955927015,Q1521208856,51482
Q9855629498,Q0000001,29377
Q9276934764,Q9336212340,95860
Q8435135992,Q5184356482,3335
Q9564636321,Q1820827878,84999
Q1851779074,Q7570562411,20982
Q9815722414,Q1088565265,76230
Q7135753287,Q4451605077,31931
Q33,Q6454390516,59891
Q1111111,Q9004955745,53875
Q5997385515,Q8206014259,48170
Q9336212340,Q4195375468,28857
Q9855629498,Q7976453880,58086
Q1799660712,Q9815722414,94656
Q0851389296,Q8435135992,27538
Q0021942248,Q4063404034,99437
Q2280162501,Q5071998992,78121
Q5184356482,Q1728417125,44128
Q9855629498,Q1322352860,89060
Q8044157700,Q2903404864,84497
Q5473512807,Q0944953579,3110
Q1820827878,Q5997385515,63681
Q3611449843,Q272727,4890
Q7933062949,Q9815722414,63564
Q6364730892,Q1820827878,20369
Q1820827878,Q4725404460,57934
Q1955927015,Q8202147355,33026
Q3611449843,Q9671059268,65318
Q5236930570,Q5633742877,46431
Q9016400742,Q1710658261,8685
Q1799660712,Q9388385657,41953
Q3164435093,Q6723378937,32990
Q6454390516,Q4451605077,34215
Q8620606089,Q7400418425,94227
Q5997385515,Q55555,18277
Q7239794431,Q3618140647,86261
Q7089122617,Q0000001,97669
Q2274080112,Q6454390516,49497
Q4195375468,Q0563962909,9624
Q1509499132,Q4444,7254
Q0482332301,Q1322352860,78171
Q9276934764,Q2280162501,42644
Q0563962909,Q9388385657,98957
Q1799660712,Q1468063108,74097
Q0978988285,Q0850183150,17694
Q8044157700,Q6750581222,1042
