sexo,edad,ccaa,edu,p6,p7,p8,p9,hab_r,clase_social_r,situacion_laboral_r,educacion_r,recuerdo_r
1,68,9,5,10,14,14,7,Más de 10.000,Alta / Media Alta,Pensionista,"Tercer grado, primer ciclo",ERC
2,51,16,4,10,19,9,9,Más de 10.000,Alta / Media Alta,Parado,"Segundo grado, segundo ciclo",PNV
2,45,15,4,0,17,16,18,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",Abstención
2,53,12,6,10,1,1,1,Más de 10.000,Alta / Media Alta,Trabajo del hogar no remunerado,"Tercer grado, segundo ciclo y más",PSOE
2,47,9,2,5,19,7,7,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, primer ciclo y menos",ERC
1,69,6,5,10,5,2,2,Menos de 10.000,Media,Pensionista,"Tercer grado, primer ciclo",PP
1,60,14,4,10,5,5,5,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, segundo ciclo",VOX
1,77,9,5,10,8,8,8,Más de 10.000,Media,Pensionista,"Tercer grado, primer ciclo",JXCAT
1,21,13,6,6,1,1,1,Más de 10.000,Media,Trabaja,"Tercer grado, segundo ciclo y más",PSOE
2,61,9,3,10,1,1,1,Más de 10.000,Media,Pensionista,"Segundo grado, primer ciclo y menos",PSOE
1,18,10,4,10,5,5,18,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",Abstención
2,64,9,3,10,4,4,4,Más de 10.000,Media baja / Baja,Pensionista,"Segundo grado, primer ciclo y menos",UP
2,29,13,4,10,18,6,4,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",UP
1,75,10,5,10,1,1,1,Más de 10.000,Alta / Media Alta,Pensionista,"Tercer grado, primer ciclo",PSOE
1,69,16,4,10,10,10,10,Más de 10.000,Media,Pensionista,"Segundo grado, segundo ciclo",BILDU
1,44,9,3,10,7,7,7,Menos de 10.000,Media,Trabaja,"Segundo grado, primer ciclo y menos",ERC
2,48,14,1,10,2,2,2,Menos de 10.000,Media baja / Baja,Parado,"Segundo grado, primer ciclo y menos",PP
2,49,7,4,10,5,5,2,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, segundo ciclo",PP
2,50,13,4,10,1,1,1,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",PSOE
2,36,1,5,8,11,13,11,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",Otros
1,42,13,4,10,18,4,4,Más de 10.000,Alta / Media Alta,Parado,"Segundo grado, segundo ciclo",UP
2,33,14,4,8,5,5,5,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",VOX
2,31,13,7,5,18,17,17,Menos de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",Nulo
2,71,5,6,10,1,1,1,Más de 10.000,Alta / Media Alta,Pensionista,"Tercer grado, segundo ciclo y más",PSOE
2,42,7,4,10,2,2,2,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, segundo ciclo",PP
2,41,10,4,8,1,1,18,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",Abstención
1,47,7,4,99,18,16,19,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",Abstención
2,47,5,2,8,2,2,2,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, primer ciclo y menos",PP
1,52,9,4,10,7,7,7,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",ERC
1,76,13,5,9,1,1,1,Más de 10.000,Alta / Media Alta,Pensionista,"Tercer grado, primer ciclo",PSOE
1,23,14,4,10,12,4,12,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",Otros
2,59,1,3,10,2,2,2,Menos de 10.000,Media,Pensionista,"Segundo grado, primer ciclo y menos",PP
1,42,9,4,8,2,2,2,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, segundo ciclo",PP
2,48,17,4,99,18,15,18,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",Abstención
1,21,8,4,6,2,3,3,Menos de 10.000,Media baja / Baja,Estudiante,"Segundo grado, segundo ciclo",CS
2,59,10,6,5,19,17,20,Más de 10.000,Media baja / Baja,Pensionista,"Tercer grado, segundo ciclo y más",Abstención
2,44,13,7,8,3,3,3,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",CS
2,38,1,4,0,5,5,5,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",VOX
1,51,1,4,8,5,5,5,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",VOX
1,40,2,8,10,4,4,4,Menos de 10.000,Media,Trabaja,"Tercer grado, segundo ciclo y más",UP
2,33,10,4,10,2,2,2,Más de 10.000,Alta / Media Alta,Parado,"Segundo grado, segundo ciclo",PP
2,69,10,7,6,18,15,20,Más de 10.000,Media,Parado,"Tercer grado, segundo ciclo y más",Abstención
1,66,10,4,7,18,16,5,Más de 10.000,Media baja / Baja,Pensionista,"Segundo grado, segundo ciclo",VOX
2,34,11,4,0,17,17,18,Menos de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",Abstención
2,34,2,6,10,19,17,20,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",Abstención
1,44,1,7,0,9,9,6,Más de 10.000,Media,Trabaja,"Tercer grado, segundo ciclo y más",MP
2,62,14,4,10,5,15,1,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, segundo ciclo",PSOE
1,48,13,4,10,4,4,4,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",UP
2,55,10,4,10,16,16,4,Más de 10.000,Media baja / Baja,Trabajo del hogar no remunerado,"Segundo grado, segundo ciclo",UP
2,19,13,4,10,1,1,18,Más de 10.000,Alta / Media Alta,Estudiante,"Segundo grado, segundo ciclo",Abstención
1,54,10,6,9,18,16,2,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",PP
1,24,9,3,10,1,1,1,Más de 10.000,Media,Trabaja,"Segundo grado, primer ciclo y menos",PSOE
2,47,16,6,2,18,17,18,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",Abstención
2,49,10,5,10,3,3,3,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",CS
1,68,6,4,2,18,6,1,Menos de 10.000,Media baja / Baja,Pensionista,"Segundo grado, segundo ciclo",PSOE
1,56,14,5,10,2,2,18,Más de 10.000,Media,Estudiante,"Tercer grado, primer ciclo",Abstención
2,53,14,4,5,6,6,1,Más de 10.000,Media,Parado,"Segundo grado, segundo ciclo",PSOE
2,38,15,7,3,2,4,13,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",Otros
1,61,17,6,0,17,15,1,Menos de 10.000,Alta / Media Alta,Pensionista,"Tercer grado, segundo ciclo y más",PSOE
1,66,8,4,6,4,15,18,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",Abstención
2,56,9,3,8,2,2,2,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, primer ciclo y menos",PP
1,40,16,6,99,18,16,16,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",Blanco
1,37,13,4,6,18,16,20,Más de 10.000,Media,Parado,"Segundo grado, segundo ciclo",Abstención
2,62,2,6,0,17,15,18,Más de 10.000,Media baja / Baja,Trabajo del hogar no remunerado,"Tercer grado, segundo ciclo y más",Abstención
1,67,10,4,10,18,2,2,Más de 10.000,Media baja / Baja,Pensionista,"Segundo grado, segundo ciclo",PP
2,50,12,6,7,2,2,2,Más de 10.000,Media baja / Baja,Trabajo del hogar no remunerado,"Tercer grado, segundo ciclo y más",PP
2,67,9,4,10,7,7,7,Más de 10.000,Media baja / Baja,Pensionista,"Segundo grado, segundo ciclo",ERC
1,74,12,4,0,17,16,1,Más de 10.000,Media baja / Baja,Pensionista,"Segundo grado, segundo ciclo",PSOE
2,52,13,4,9,18,1,1,Más de 10.000,Media baja / Baja,Trabajo del hogar no remunerado,"Segundo grado, segundo ciclo",PSOE
1,66,13,3,0,17,1,1,Menos de 10.000,Media baja / Baja,Pensionista,"Segundo grado, primer ciclo y menos",PSOE
2,39,12,3,99,3,2,19,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, primer ciclo y menos",Abstención
2,51,9,4,9,18,6,4,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",UP
2,56,7,4,10,4,4,4,Menos de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",UP
1,55,8,7,10,1,4,1,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",PSOE
1,29,11,4,4,18,1,17,Menos de 10.000,Alta / Media Alta,Parado,"Segundo grado, segundo ciclo",Nulo
2,47,2,6,1,18,1,1,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",PSOE
1,66,1,4,99,6,16,4,Más de 10.000,Media,Pensionista,"Segundo grado, segundo ciclo",UP
1,57,9,4,10,1,1,1,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",PSOE
2,36,9,4,4,1,4,4,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",UP
1,78,1,5,10,18,1,1,Más de 10.000,Media,Pensionista,"Tercer grado, primer ciclo",PSOE
2,37,10,7,10,12,4,4,Menos de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",UP
1,65,16,4,9,10,7,10,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",BILDU
1,24,12,7,7,18,4,13,Más de 10.000,Alta / Media Alta,Estudiante,"Tercer grado, segundo ciclo y más",Otros
1,60,12,6,8,13,13,13,Menos de 10.000,Media,Trabaja,"Tercer grado, segundo ciclo y más",Otros
2,41,7,4,2,5,5,5,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",VOX
2,69,7,4,7,6,6,1,Menos de 10.000,Media,Pensionista,"Segundo grado, segundo ciclo",PSOE
1,69,16,4,2,6,6,1,Más de 10.000,Media baja / Baja,Pensionista,"Segundo grado, segundo ciclo",PSOE
1,74,5,4,1,3,3,18,Más de 10.000,Media baja / Baja,Pensionista,"Segundo grado, segundo ciclo",Abstención
2,52,12,4,10,16,15,16,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, segundo ciclo",Blanco
2,30,9,6,10,19,17,19,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",Abstención
2,43,13,4,10,6,1,1,Menos de 10.000,Media baja / Baja,Parado,"Segundo grado, segundo ciclo",PSOE
2,42,7,4,9,4,4,4,Menos de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",UP
2,36,13,6,10,2,2,2,Menos de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",PP
1,61,2,5,10,2,2,2,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",PP
2,22,5,4,0,5,17,18,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",Abstención
1,44,7,3,10,18,1,1,Más de 10.000,Media,Trabaja,"Segundo grado, primer ciclo y menos",PSOE
2,43,8,3,4,18,15,2,Menos de 10.000,Media,Trabaja,"Segundo grado, primer ciclo y menos",PP
2,26,1,5,10,4,4,4,Más de 10.000,Media baja / Baja,Estudiante,"Tercer grado, primer ciclo",UP
2,30,5,6,10,5,15,3,Más de 10.000,Media baja / Baja,Trabaja,"Tercer grado, segundo ciclo y más",CS
1,66,9,4,10,18,16,16,Más de 10.000,Media baja / Baja,Pensionista,"Segundo grado, segundo ciclo",Blanco
1,48,1,4,7,12,12,1,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, segundo ciclo",PSOE
1,68,12,4,10,1,1,1,Más de 10.000,Media,Pensionista,"Segundo grado, segundo ciclo",PSOE
1,38,1,5,8,1,5,6,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",MP
1,37,13,7,9,2,9,3,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",CS
1,78,12,4,10,2,2,3,Más de 10.000,Media baja / Baja,Pensionista,"Segundo grado, segundo ciclo",CS
2,61,9,6,8,2,2,2,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",PP
2,49,9,6,10,18,15,8,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",JXCAT
2,51,4,4,10,3,3,3,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",CS
1,52,5,6,5,18,1,4,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",UP
2,54,13,4,10,18,1,4,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, segundo ciclo",UP
1,76,16,6,10,9,4,1,Más de 10.000,Media baja / Baja,Pensionista,"Tercer grado, segundo ciclo y más",PSOE
2,47,5,4,10,4,4,4,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",UP
1,81,13,5,10,5,5,5,Más de 10.000,Media,Pensionista,"Tercer grado, primer ciclo",VOX
1,46,10,6,9,5,1,1,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",PSOE
1,70,13,4,6,3,3,3,Más de 10.000,Media,Pensionista,"Segundo grado, segundo ciclo",CS
2,51,10,4,10,1,1,1,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",PSOE
1,58,13,5,10,2,2,2,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",PP
2,65,13,3,7,1,1,1,Más de 10.000,Media baja / Baja,Pensionista,"Segundo grado, primer ciclo y menos",PSOE
1,67,12,5,10,2,3,18,Más de 10.000,Media baja / Baja,Parado,"Tercer grado, primer ciclo",Abstención
2,50,13,4,8,18,15,1,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, segundo ciclo",PSOE
2,69,4,5,10,1,1,1,Más de 10.000,Alta / Media Alta,Pensionista,"Tercer grado, primer ciclo",PSOE
1,53,16,4,10,9,9,9,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",PNV
1,33,9,6,5,18,1,3,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",CS
2,52,4,4,2,5,2,5,Menos de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",VOX
1,64,10,6,10,6,10,4,Más de 10.000,Media baja / Baja,Parado,"Tercer grado, segundo ciclo y más",UP
2,30,10,4,5,17,12,18,Menos de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",Abstención
1,18,13,4,5,1,1,18,Menos de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",Abstención
2,54,12,4,9,5,5,5,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, segundo ciclo",VOX
2,42,1,5,9,2,2,3,Más de 10.000,Media baja / Baja,Parado,"Tercer grado, primer ciclo",CS
2,45,13,5,5,18,16,1,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",PSOE
1,28,6,6,5,6,6,1,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",PSOE
1,68,4,3,9,4,4,4,Más de 10.000,Media,Trabaja,"Segundo grado, primer ciclo y menos",UP
1,42,7,5,10,1,1,1,Menos de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",PSOE
2,46,12,5,10,18,15,1,Menos de 10.000,Media,Trabaja,"Tercer grado, primer ciclo",PSOE
2,53,14,3,10,18,16,19,Más de 10.000,Media,Parado,"Segundo grado, primer ciclo y menos",Abstención
1,32,4,4,2,2,2,17,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",Nulo
2,63,4,4,8,1,1,1,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",PSOE
2,56,5,4,10,1,1,1,Más de 10.000,Media,Trabajo del hogar no remunerado,"Segundo grado, segundo ciclo",PSOE
2,67,10,6,10,3,3,3,Más de 10.000,Media baja / Baja,Trabajo del hogar no remunerado,"Tercer grado, segundo ciclo y más",CS
1,56,1,4,8,5,5,5,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, segundo ciclo",VOX
2,76,11,4,10,14,14,12,Menos de 10.000,Media,Pensionista,"Segundo grado, segundo ciclo",Otros
2,69,1,5,0,17,1,18,Menos de 10.000,Media baja / Baja,Pensionista,"Tercer grado, primer ciclo",Abstención
2,55,13,3,10,5,2,2,Más de 10.000,Media baja / Baja,Trabajo del hogar no remunerado,"Segundo grado, primer ciclo y menos",PP
1,72,9,4,10,16,1,17,Más de 10.000,Alta / Media Alta,Pensionista,"Segundo grado, segundo ciclo",Nulo
1,49,13,4,9,5,5,5,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",VOX
1,59,9,4,8,18,7,4,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, segundo ciclo",UP
1,57,9,5,10,1,1,1,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",PSOE
2,39,14,6,5,14,4,4,Más de 10.000,Media baja / Baja,Parado,"Tercer grado, segundo ciclo y más",UP
2,25,9,4,5,16,5,18,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",Abstención
1,69,10,5,10,4,4,14,Más de 10.000,Media,Parado,"Tercer grado, primer ciclo",Otros
2,26,10,6,6,12,4,19,Más de 10.000,Media baja / Baja,Trabaja,"Tercer grado, segundo ciclo y más",Abstención
2,26,10,4,99,18,16,18,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",Abstención
2,41,13,7,1,16,15,17,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",Nulo
1,46,13,4,10,1,1,18,Menos de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",Abstención
1,73,10,5,10,18,16,5,Más de 10.000,Media baja / Baja,Parado,"Tercer grado, primer ciclo",VOX
1,71,13,5,9,5,5,5,Más de 10.000,Media,Pensionista,"Tercer grado, primer ciclo",VOX
2,48,7,4,10,2,2,18,Menos de 10.000,Media baja / Baja,Trabajo del hogar no remunerado,"Segundo grado, segundo ciclo",Abstención
1,67,3,4,10,1,1,1,Más de 10.000,Media,Pensionista,"Segundo grado, segundo ciclo",PSOE
2,37,10,5,10,18,3,2,Más de 10.000,Media,Trabaja,"Tercer grado, primer ciclo",PP
1,25,2,5,0,18,1,18,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",Abstención
1,20,7,4,8,2,2,2,Más de 10.000,Media,Estudiante,"Segundo grado, segundo ciclo",PP
2,47,9,3,0,18,17,18,Más de 10.000,Media baja / Baja,Trabajo del hogar no remunerado,"Segundo grado, primer ciclo y menos",Abstención
1,60,1,4,10,4,1,4,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",UP
1,57,9,4,10,8,7,8,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",JXCAT
2,23,13,4,10,19,2,20,Más de 10.000,Alta / Media Alta,Estudiante,"Segundo grado, segundo ciclo",Abstención
1,38,5,3,0,17,2,5,Más de 10.000,Media,Trabaja,"Segundo grado, primer ciclo y menos",VOX
1,25,1,4,8,3,3,3,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, segundo ciclo",CS
1,49,16,4,10,9,9,9,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, segundo ciclo",PNV
2,45,15,4,10,2,2,2,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",PP
1,54,8,7,9,2,3,3,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",CS
1,51,12,5,9,6,14,6,Más de 10.000,Media,Trabaja,"Tercer grado, primer ciclo",MP
2,64,9,4,99,18,16,20,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, segundo ciclo",Abstención
1,51,7,6,10,18,3,3,Más de 10.000,Media baja / Baja,Trabaja,"Tercer grado, segundo ciclo y más",CS
1,61,9,3,0,14,14,15,Menos de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, primer ciclo y menos",Otros
1,67,13,7,9,5,5,2,Más de 10.000,Media baja / Baja,Pensionista,"Tercer grado, segundo ciclo y más",PP
1,53,13,6,10,2,2,2,Más de 10.000,Media baja / Baja,Parado,"Tercer grado, segundo ciclo y más",PP
1,67,12,4,9,5,1,1,Más de 10.000,Media,Pensionista,"Segundo grado, segundo ciclo",PSOE
2,35,1,4,10,4,4,4,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",UP
1,53,10,4,10,2,2,2,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",PP
2,61,12,6,10,15,15,16,Más de 10.000,Media,Trabajo del hogar no remunerado,"Tercer grado, segundo ciclo y más",Blanco
1,19,1,5,2,15,14,18,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",Abstención
1,42,12,8,10,6,6,6,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",MP
2,58,5,6,10,14,14,12,Más de 10.000,Media baja / Baja,Parado,"Tercer grado, segundo ciclo y más",Otros
2,72,13,4,10,5,5,2,Más de 10.000,Media,Pensionista,"Segundo grado, segundo ciclo",PP
2,36,13,6,8,6,6,6,Más de 10.000,Media baja / Baja,Estudiante,"Tercer grado, segundo ciclo y más",MP
1,67,4,1,10,5,5,5,Más de 10.000,Media baja / Baja,Pensionista,"Segundo grado, primer ciclo y menos",VOX
2,59,12,5,10,1,6,1,Más de 10.000,Media,Trabaja,"Tercer grado, primer ciclo",PSOE
1,51,8,4,10,1,1,1,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",PSOE
1,42,3,4,10,4,4,4,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",UP
2,45,1,3,10,1,1,1,Más de 10.000,Media,Trabaja,"Segundo grado, primer ciclo y menos",PSOE
2,67,13,4,5,2,2,18,Más de 10.000,Alta / Media Alta,Pensionista,"Segundo grado, segundo ciclo",Abstención
2,30,8,6,6,4,4,12,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",Otros
1,45,7,4,0,17,15,18,Menos de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",Abstención
2,57,5,3,99,5,5,18,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, primer ciclo y menos",Abstención
1,67,12,6,10,18,1,1,Menos de 10.000,Media,Pensionista,"Tercer grado, segundo ciclo y más",PSOE
2,50,13,4,99,18,16,2,Menos de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",PP
1,46,1,3,10,5,5,5,Menos de 10.000,Media baja / Baja,Parado,"Segundo grado, primer ciclo y menos",VOX
1,67,2,4,10,18,1,1,Menos de 10.000,Media,Pensionista,"Segundo grado, segundo ciclo",PSOE
2,51,6,4,10,1,16,1,Menos de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",PSOE
2,42,10,4,10,1,1,1,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",PSOE
2,58,9,4,10,8,8,8,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",JXCAT
1,57,2,4,10,5,5,5,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",VOX
1,71,5,6,10,1,6,6,Más de 10.000,Alta / Media Alta,Pensionista,"Tercer grado, segundo ciclo y más",MP
1,55,5,4,99,18,17,20,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",Abstención
1,63,13,5,10,2,5,5,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",VOX
1,66,9,5,10,5,5,5,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",VOX
1,42,13,4,8,14,3,6,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",MP
1,56,1,5,10,18,3,3,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",CS
2,38,13,5,10,1,1,1,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",PSOE
2,64,13,3,10,12,12,12,Más de 10.000,Media baja / Baja,Trabajo del hogar no remunerado,"Segundo grado, primer ciclo y menos",Otros
2,50,10,7,10,18,1,1,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",PSOE
2,50,9,3,4,12,12,1,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, primer ciclo y menos",PSOE
1,70,1,4,10,5,5,18,Más de 10.000,Media baja / Baja,Pensionista,"Segundo grado, segundo ciclo",Abstención
2,24,13,6,6,6,12,12,Menos de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",Otros
2,60,13,5,9,5,5,20,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",Abstención
1,63,9,5,10,7,7,7,Más de 10.000,Media,Trabaja,"Tercer grado, primer ciclo",ERC
2,44,10,4,10,1,1,1,Menos de 10.000,Alta / Media Alta,Pensionista,"Segundo grado, segundo ciclo",PSOE
2,59,11,3,10,1,1,1,Menos de 10.000,Media baja / Baja,Trabajo del hogar no remunerado,"Segundo grado, primer ciclo y menos",PSOE
2,71,2,3,10,1,1,1,Menos de 10.000,Media baja / Baja,Pensionista,"Segundo grado, primer ciclo y menos",PSOE
1,59,9,3,10,6,6,4,Más de 10.000,Media,Parado,"Segundo grado, primer ciclo y menos",UP
2,41,13,4,7,5,5,5,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, segundo ciclo",VOX
2,31,8,4,7,18,16,1,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, segundo ciclo",PSOE
2,68,10,4,10,3,15,3,Más de 10.000,Media,Pensionista,"Segundo grado, segundo ciclo",CS
2,58,12,5,10,1,1,1,Menos de 10.000,Media,Trabaja,"Tercer grado, primer ciclo",PSOE
2,40,13,4,10,1,1,1,Más de 10.000,Alta / Media Alta,Parado,"Segundo grado, segundo ciclo",PSOE
2,41,7,4,7,4,4,1,Menos de 10.000,Media,Parado,"Segundo grado, segundo ciclo",PSOE
2,53,16,6,8,9,16,9,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",PNV
1,63,7,4,10,4,4,4,Más de 10.000,Media,Pensionista,"Segundo grado, segundo ciclo",UP
1,55,5,4,10,1,1,2,Más de 10.000,Media baja / Baja,Pensionista,"Segundo grado, segundo ciclo",PP
2,59,17,3,99,18,15,19,Más de 10.000,Alta / Media Alta,Parado,"Segundo grado, primer ciclo y menos",Abstención
2,46,9,4,10,18,17,20,Más de 10.000,Alta / Media Alta,Trabajo del hogar no remunerado,"Segundo grado, segundo ciclo",Abstención
1,47,12,4,10,2,1,1,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",PSOE
1,40,1,4,6,17,1,18,Más de 10.000,Media baja / Baja,Estudiante,"Segundo grado, segundo ciclo",Abstención
1,39,9,4,10,18,7,7,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",ERC
1,21,13,4,3,19,3,18,Más de 10.000,Media,Estudiante,"Segundo grado, segundo ciclo",Abstención
2,54,13,9,99,19,16,19,Más de 10.000,Media baja / Baja,Trabajo del hogar no remunerado,Otros,Abstención
2,50,13,5,8,4,3,4,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",UP
