"winery","wine","year","rating","num_reviews","country","region","price","type","body","acidity"
"Vizcarra","Celia","2014",4.3,50,"Espana","Ribera del Duero",79.98,"Ribera Del Duero Red",5,3
"Marques de Caceres","Gaudium","1998",4.3,50,"Espana","Rioja",60,"Rioja Red",4,3
"Barahonda","Summum Monastrell","2019",4.3,50,"Espana","Yecla",13.99,"Monastrell",5,3
"Mas Doix","Doix","2002",4.3,49,"Espana","Priorato",195.52,"Priorat Red",4,3
"Altos del Enebro","Finca La Herradura","2014",4.3,49,"Espana","Ribera del Duero",68,"Ribera Del Duero Red",5,3
"Pago de Larrainzar","Reserva Especial","2014",4.3,49,"Espana","Navarra",16.9,"Red",4,3
"Albamar","Alma de Mar Albarino","2019",4.3,49,"Espana","Rias Baixas",27.5,"Albarino",3,3
"Williams & Humbert","Canasta 20 Anos Cream","N.V.",4.3,49,"Espana","Jerez-Xeres-Sherry",29.25,"Pedro Ximenez",5,1
"Pujanza","Rioja Anadas Frias","2016",4.3,49,"Espana","Rioja",75,"Rioja White",3,3
"Finca Rio Negro","5o Ano","2016",4.3,49,"Espana","La Mancha",23.9,"Red",4,3
"Oxer Wines","Suzzane Rioja","2019",4.3,48,"Espana","Rioja",34.9,"Rioja Red",4,3
"Marques de Murrieta","Castillo Ygay Gran Reserva Especial Tinto","1925",4.3,48,"Espana","Rioja",532,"Rioja Red",4,3
"Dominio de Atauta","Llanos del Almendro Ribera del Duero","2010",4.3,48,"Espana","Ribera del Duero",95,"Ribera Del Duero Red",5,3
"Can Bas","Monreal","2015",4.3,48,"Espana","Penedes",44.1,"Red",4,3
"Atlantida","Blanco","2019",4.3,48,"Espana","Cadiz",17.7,NA,NA,NA
"Atlan & Artisan","8 Vents Mallorca","2019",4.3,47,"Espana","Mallorca",18.9,"Red",4,3
"Venus la Universal","Venus","2017",4.3,47,"Espana","Montsant",35.35,"Montsant Red",4,3
"La Rioja Alta","Gran Reserva 890","1981",4.3,47,"Espana","Rioja",270,"Rioja Red",4,3
"Olivardots","Vd'O 1 Samso - Pissarra","2012",4.3,46,"Espana","Emporda",34.95,"Red",4,3
"Terroir Al Limit Soc. Lda","Les Manyes","2012",4.3,46,"Espana","Priorato",348.85,"Priorat Red",4,3
"Lar de Paula","Tempranillo Reserva","2012",4.3,46,"Espana","Rioja",14.9,"Rioja Red",4,3
"Venta Las Vacas","La Cuartilleja Reserva","2015",4.3,46,"Espana","Ribera del Duero",39.7,"Ribera Del Duero Red",5,3
"Juve & Camps","Cava Gran Reserva La Capella Brut","2010",4.3,46,"Espana","Cava",75.5,"Cava",2,3
"Bodega Contador (Benjamin Romeo)","Coleccion No. 3 Cosecha","2014",4.3,45,"Espana","Rioja",189.9,"Rioja Red",4,3
"Luis Canas","Rioja Gran Reserva","2016",4.3,45,"Espana","Rioja",21.01,"Rioja Red",4,3
"La Val","Albarino Sobre Lias","2015",4.3,45,"Espana","Rias Baixas",23.9,"Albarino",3,3
"Tres Piedras","Nobbis","2019",4.3,45,"Espana","Ribera del Duero",12.8,"Tempranillo",4,2
"Raul Perez","Rara Avis Prieto Picudo","2013",4.3,45,"Espana","Castilla y Leon",39.95,"Red",4,3
"Javi Revert","Sensal","2020",4.3,45,"Espana","Valencia",22.35,"Red",4,3
"Bodega Campo Eliseo","Campo Eliseo Blanco","2018",4.3,45,"Espana","Rueda",27.25,"Verdejo",3,3
"Alta Alella","Blanc de Neu","2016",4.3,45,"Espana","Alella",16.99,"Sparkling",2,3
"Contino","Reserva","1995",4.3,45,"Espana","Rioja",55,"Rioja Red",4,3
"Terras Gauda","La Mar","2019",4.3,45,"Espana","Rias Baixas",21.5,"Albarino",3,3
"Descendientes de J. Palacios","Las Lamas Bierzo (Corullon)","2017",4.3,44,"Espana","Bierzo",106.92,"Mencia",3,3
"Lambuena","Vinas Viejas","2014",4.3,44,"Espana","Ribera del Duero",37.065126,"Ribera Del Duero Red",5,3
"Tarsus","T3rno Seleccion de 3 Parcelas Ribera del Duero","2017",4.3,44,"Espana","Ribera del Duero",38.5,"Ribera Del Duero Red",5,3
"Bodegas Luis Perez","Fino La Barajuela","2016",4.3,44,"Espana","Andalucia",69.95,NA,NA,NA
"Marco Abella","Clos Abella Seleccion Especial","2016",4.3,44,"Espana","Priorato",43.5,"Priorat Red",4,3
"Vivanco","Parcelas de Maturana Tinta Coleccion Rioja","2017",4.3,44,"Espana","Rioja",36.5,"Rioja Red",4,3
"Familia Torres","Reserva Real","1998",4.3,43,"Espana","Penedes",213.5,"Red",4,3
"Attis","Attis Embaixador Albarino","2018",4.3,43,"Espana","Rias Baixas",21.89,"Albarino",3,3
"Miguel Merino","Vitola Reserva","2016",4.3,42,"Espana","Rioja",21.9,"Rioja Red",4,3
"San Cobate","San Cucufate Monasterio","2017",4.3,42,"Espana","Ribera del Duero",33,"Ribera Del Duero Red",5,3
"Pazo Senorans","Tras Los Muros Albarino","2017",4.3,42,"Espana","Rias Baixas",38,"Albarino",3,3
"Avancia","Godello","2020",4.3,42,"Espana","Valdeorras",24.77,NA,NA,NA
"Carlos Moro","CM Tinto","2017",4.3,42,"Espana","Rioja",17.75,"Tempranillo",4,2
"Bodegas Frontonio","La Loma & Los Santos Garnacha Blanca - Macabeo","2018",4.3,41,"Espana","Valdejalon",40.9,NA,NA,NA
"Vinicola Real","200 Monges Rioja Gran Reserva","2005",4.3,40,"Espana","Rioja",52.5,"Rioja Red",4,3
"Terra Remota","Clos Adrien","2016",4.3,40,"Espana","Emporda",48.91,"Red",4,3
"Cal Batllet - Celler Ripoll Sans","Gratallops Escanya-Vella","2018",4.3,40,"Espana","Priorato",27.1,NA,NA,NA
"Ramon Bilbao","Lalomba Finca Ladero","2016",4.3,40,"Espana","Rioja",58.25,"Rioja Red",4,3
"Santa Petronila","Oloroso En Rama","N.V.",4.3,40,"Espana","Jerez-Xeres-Sherry",24.9,"Sherry",4,3
"Jimenez-Landi","El Reventon Cebreros","2016",4.3,40,"Espana","Castilla y Leon",67.95,"Grenache",5,3
"Hidalgo (La Gitana)","Amontillado Napoleon Vinos Viejos 30 Year Old Sherry","N.V.",4.3,40,"Espana","Jerez-Xeres-Sherry",74.9,"Sherry",4,3
"Chivite","Navarra Vendimia Tardia Coleccion 125","2018",4.3,39,"Espana","Navarra",25.95,NA,NA,NA
"Espectacle del Montsant","Tinto","2018",4.3,39,"Espana","Montsant",119,"Montsant Red",4,3
"Gallina de Piel","Manar dos Seixas","2019",4.3,38,"Espana","Ribeiro",13.5,NA,NA,NA
"Vinicola Real","200 Monges Edicion Exclusiva Blanco Reserva","2010",4.3,38,"Espana","Rioja",51.45,"Rioja White",3,3
"Cartoixa de Montsalvat","Montsalvat","2005",4.3,38,"Espana","Priorato",56.27,"Priorat Red",4,3
"Arid","Eolic Sauvignon Blanc","2016",4.3,38,"Espana","Penedes",11.65,"Sauvignon Blanc",3,3
"Carlos Moro","Finca Valmediano Tinta de Toro 16 Meses Barrica","2012",4.3,38,"Espana","Toro",32.9,"Toro Red",5,3
"Jimenez-Landi","Cantos del Diablo","2018",4.3,38,"Espana","Mentrida",197,"Grenache",5,3
"Bodegas Reyes","Teofilo Reyes Crianza","2019",4.3,38,"Espana","Ribera del Duero",14.71,"Ribera Del Duero Red",5,3
"Gutierrez de la Vega","Recondita Armonia Monastrell Dulce","2018",4.3,38,"Espana","Alicante",16.45,NA,NA,NA
"Hugas de Batlle","Falguera","2009",4.3,38,"Espana","Emporda",53.55,"Red",4,3
"Atlan & Artisan","Epistem No. 3","2016",4.3,38,"Espana","Yecla",18.9,"Red",4,3
"Telmo Rodriguez","Molino Real","2015",4.3,38,"Espana","Malaga",53.3,NA,NA,NA
"Bodegas Arrocal","Angel Ribera del Duero","2015",4.3,37,"Espana","Ribera del Duero",31.9,"Ribera Del Duero Red",5,3
"Buil & Gine","Pleret","2012",4.3,37,"Espana","Priorato",55.5,"Priorat Red",4,3
"Luis A. Rodriguez Vazquez","A Torna dos Pasas Escolma Ribeiro","2016",4.3,37,"Espana","Ribeiro",40.75,"Red",4,3
"Castell del Remei","Costers Del Segre 1780","2017",4.3,37,"Espana","Costers del Segre",22.9,"Red",4,3
"Vizcarra","Ines","2010",4.3,37,"Espana","Ribera del Duero",76.87,"Ribera Del Duero Red",5,3
"Vizcarra","Ines","2014",4.3,37,"Espana","Ribera del Duero",79.98,"Ribera Del Duero Red",5,3
"Valdubon","Honoris","2005",4.3,37,"Espana","Ribera del Duero",35,"Ribera Del Duero Red",5,3
"Emilio Moro","La Revelia Godello","2019",4.3,37,"Espana","Bierzo",21.65,NA,NA,NA
"Altanza","Club Rioja Reserva","2012",4.3,36,"Espana","Rioja",20.95,"Rioja Red",4,3
"Bodegas Y Vinedos Alilian","Camino del Abuelo Vinas Viejas","2013",4.3,36,"Espana","Ribera del Duero",243.8,"Ribera Del Duero Red",5,3
"Artadi","La Morera de San Lazaro","2016",4.3,36,"Espana","Vino de Espana",80,"Tempranillo",4,2
"Real de Asua","Tinto","2000",4.3,36,"Espana","Rioja",60.4,"Rioja Red",4,3
"Artadi","Quintanilla","2016",4.3,35,"Espana","Vino de Espana",65.9,"Tempranillo",4,2
"Taron","Reserva","2014",4.3,35,"Espana","Rioja Alta",10.2,"Rioja Red",4,3
"Sebio","Salvaxe","2018",4.3,35,"Espana","Ribeiro",26.75,NA,NA,NA
"R. Lopez de Heredia","Vina Tondonia Reserva","2014",4.3,35,"Espana","Rioja",47.95,"Rioja Red",4,3
"Gramona","Vi De Glass Gewurztraminer","2017",4.3,35,"Espana","Cataluna",18.58,NA,NA,NA
"Goyo Garcia Viadero","Finca Los Quemados","2016",4.3,35,"Espana","Ribera del Duero",27.7,"Ribera Del Duero Red",5,3
"Bodegas Reyes","Teofilo Reyes Crianza","2018",4.3,35,"Espana","Ribera del Duero",11.94,"Ribera Del Duero Red",5,3
"Marques de Caceres","Rioja Reserva","1985",4.3,35,"Espana","Rioja",45,"Rioja Red",4,3
"Santiago Ruiz","Albarino (O Rosal)","2021",4.3,35,"Espana","Rias Baixas",13.45,"Albarino",3,3
"Terroir Al Limit Soc. Lda","Les Manyes","2017",4.3,35,"Espana","Priorato",180,"Priorat Red",4,3
"Pujanza","Rioja","2005",4.3,34,"Espana","Rioja",29,"Rioja Red",4,3
"Mauro Estevez","Vino de Autor Ribeiro Blanco","2020",4.3,34,"Espana","Ribeiro",15.9,NA,NA,NA
"Finca Valpiedra","Rioja Reserva","1994",4.3,34,"Espana","Rioja",65,"Rioja Red",4,3
"Mas Bertran","Argila Reserva 3 Anys Brut Nature","2013",4.3,34,"Espana","Penedes",21.6,"Sparkling",2,3
"Bodegas Gama","Octogenarius","2014",4.3,34,"Espana","Rioja",46.5,"Grenache",5,3
"Edetaria","Finca La Pedrissa","2015",4.3,34,"Espana","Terra Alta",37.9,"Red",4,3
"Hacienda Zorita Natural Reserve","Magister","2017",4.3,35,"Espana","Arribes",35.5,"Red",4,3
"Valtravieso","Ribera del Duero Vendimia Seleccionada VT","2018",4.3,34,"Espana","Ribera del Duero",27.9,"Ribera Del Duero Red",5,3
"Ton Rimbau","Porcellanic VI Xarel-lo Sur Lie","2011",4.3,33,"Espana","Penedes",110.47,NA,NA,NA
"Can Xanet","Sibila","2017",4.3,33,"Espana","Mallorca",32.46,"Red",4,3
"Castillo Perelada","Emporda Reserva Especial Don Miguel Mateu","2015",4.3,33,"Espana","Emporda",15.56,"Red",4,3
"A Coroa","200 Cestos Godello","2020",4.3,33,"Espana","Valdeorras",23.7,NA,NA,NA
"Sebio","Heaven & Hell","2017",4.3,32,"Espana","Galicia",18.5,NA,NA,NA
"Celler de Capcanes","Cabrida Montsant","2018",4.3,32,"Espana","Montsant",36.85,"Montsant Red",4,3
"Alonso & Pedrajo","Suane Blanco","2017",4.3,32,"Espana","Rioja",23.9,"Rioja White",3,3
"Bodegas Amaren","Garnacha","2014",4.3,32,"Espana","Rioja",38,"Grenache",5,3
"Jimenez-Landi","Cantos del Diablo","2017",4.3,33,"Espana","Mentrida",101.01,"Grenache",5,3
"Bodegas Ochoa","Vendimia Tardia Moscatel","2020",4.3,32,"Espana","Navarra",13.75,NA,NA,NA
"Mandia Vell","Pinot Noir","2017",4.3,31,"Espana","Mallorca",29.38,"Red",4,3
"Bodega Juan Carlos Sancha","Cerro La Isa Blanco","2018",4.3,31,"Espana","Rioja",44.9,"Rioja White",3,3
"Valdecuevas","Cuvee Verdejo","2018",4.3,31,"Espana","Rueda",12,"Verdejo",3,3
"Algueira","Anadelia","2015",4.3,31,"Espana","Ribeira Sacra",38.5,NA,NA,NA
"Sebio","Salvaxe","2017",4.3,31,"Espana","Ribeiro",28.35,NA,NA,NA
"Telmo Rodriguez","Tabuerniga","2018",4.3,31,"Espana","Rioja",65.22,"Rioja Red",4,3
"Mocen","Seleccion Especial Verdejo","2021",4.3,32,"Espana","Rueda",6.26,"Verdejo",3,3
"Estones","Coster d'en Fornos","2017",4.3,31,"Espana","Montsant",40.55,"Montsant Red",4,3
"Bodega Tameran","Malvasia Volcanica","2020",4.3,31,"Espana","Gran Canaria",31.9,NA,NA,NA
"Inurrieta","Laderas de Inurrieta","2017",4.3,30,"Espana","Navarra",26.1,"Red",4,3
"Telmo Rodriguez","El Velado Tinto","2017",4.3,30,"Espana","Rioja",73.95,"Rioja Red",4,3
"Trus","Pico de Luyas","2018",4.3,30,"Espana","Ribera del Duero",48.9,"Ribera Del Duero Red",5,3
"Flor de Chasna","Blanco Afrutado","2020",4.3,30,"Espana","Abona",11.99,NA,NA,NA
"Lagar de Sabariz","A Pita Cega","2015",4.3,30,"Espana","Galicia",44.8,NA,NA,NA
"Mestres","Mas Via Gran Reserva Brut","2002",4.3,29,"Espana","Cava",76.17,"Cava",2,3
"Muga","Prado Enea Gran Reserva","1970",4.3,29,"Espana","Rioja",120,"Rioja Red",4,3
"Campillo","Finca Cuesta Clara Raro Reserva","2016",4.3,29,"Espana","Rioja",39.5,"Rioja Red",4,3
"Naia","Naiades","2018",4.3,29,"Espana","Rueda",19.03,"Verdejo",3,3
"AGE","Fuenmayor Gran Reserva","1959",4.3,29,"Espana","Rioja",230,"Rioja Red",4,3
"Marques de Murrieta","Dalmau Rioja","1996",4.3,29,"Espana","Rioja",110,"Rioja Red",4,3
"Marques de Riscal","Rioja Reserva","1964",4.3,29,"Espana","Rioja",310,"Rioja Red",4,3
"Navajas","Mirador de Navajas Reserva Rioja","2011",4.3,29,"Espana","Rioja",28.7550102072719,"Rioja Red",4,3
"Altanza","Coleccion Roberto Amillo Amontillado","N.V.",4.3,29,"Espana","Jerez Amontillado",39.9,"Sherry",4,3
"Alvaro Domecq","1730 Amontillado","N.V.",4.3,29,"Espana","Jerez Amontillado",34.65,"Sherry",4,3
"Allende","Aurus","2011",4.3,29,"Espana","Rioja",211.92,"Rioja Red",4,3
"Bodega Juan Carlos Sancha","Cerro La Isa Garnacha","2018",4.3,28,"Espana","Rioja",43.9,"Rioja Red",4,3
"Vinyes del Terrer","Nus del Terrer","2016",4.3,28,"Espana","Tarragona",25.9,"Red",4,3
"Cepas Familiares","Nivel","2018",4.3,28,"Espana","Ribera del Duero",35,"Ribera Del Duero Red",5,3
"Bodegas Faustino","I Gran Reserva","1968",4.3,28,"Espana","Rioja",160,"Rioja Red",4,3
"Dominio de Loalva","Seleccion Especial","2016",4.3,28,"Espana","Ribera del Duero",32,"Ribera Del Duero Red",5,3
"El Regajal","Galia Clos Santuy","2017",4.3,28,"Espana","Castilla y Leon",74.9,"Red",4,3
"Ysios","Seleccion","2016",4.3,28,"Espana","Rioja",30,"Rioja Red",4,3
"Antidoto","Le Rose","2018",4.3,28,"Espana","Ribera del Duero",49,NA,NA,NA
"Zifar","Pago de las Sabinas","2016",4.3,28,"Espana","Ribera del Duero",39.55,"Ribera Del Duero Red",5,3
"Romate","Old & Plus Oloroso","N.V.",4.3,28,"Espana","Jerez Oloroso",45,"Sherry",4,3
"Altanza","Coleccion Roberto Amillo Palo Cortado","N.V.",4.3,27,"Espana","Jerez-Xeres-Sherry",47.7,"Sherry",4,3
"Volver","Alicante Bouschet by Tarima","2018",4.3,27,"Espana","Alicante",14.9,"Red",4,3
"Marques de Riscal","Rioja Gran Reserva","2016",4.3,27,"Espana","Rioja",46.45,"Rioja Red",4,3
"Rodriguez de Vera","Tinto","2017",4.3,27,"Espana","Almansa",15.45,"Red",4,3
"Bordalas Garcia","Gueta-Lupia","2011",4.3,27,"Espana","Priorato",31.75,"Priorat Red",4,3
"Sierra Cantabria","Amancio","2002",4.3,27,"Espana","Rioja",110,"Rioja Red",4,3
"Bodega Tameran","Marmajuelo","2020",4.3,27,"Espana","Gran Canaria",29.75,NA,NA,NA
"Bodega Tameran","Marmajuelo","2020",4.3,27,"Espana","Gran Canaria",29.75,NA,NA,NA
"Rimarts","Cava Reserva Especial Chardonnay Brut Nature","2016",4.3,27,"Espana","Cava",18.5,"Cava",2,3
"Pinna Fidelis","Ribera del Duero Vendimia Seleccionada","2016",4.3,26,"Espana","Ribera del Duero",19.8563175,"Ribera Del Duero Red",5,3
"Habla","No. 23","2017",4.3,26,"Espana","Extremadura",23.1,"Red",4,3
"Jimenez-Landi","Las Iruelas El Tiemblo","2018",4.3,26,"Espana","Castilla y Leon",97.07,"Grenache",5,3
"Loess","Tinto","2019",4.3,26,"Espana","Ribera del Duero",8.57,"Ribera Del Duero Red",5,3
"Jimenez-Landi","Cantos del Diablo","2016",4.3,26,"Espana","Mentrida",67.95,"Grenache",5,3
"Javier Sanz Viticultor","V Dulce de Invierno","2018",4.3,26,"Espana","Castilla y Leon",17.74,NA,NA,NA
"Dominio de Anza","Diego Magana","2020",4.3,26,"Espana","Rioja",37.9,"Rioja Red",4,3
"Bodegas Amaren","Graciano","2012",4.3,26,"Espana","Rioja",68,"Rioja Red",4,3
"Gomez Cruzado","Cerro Las Cuevas Seleccion Terroir","2019",4.3,26,"Espana","Rioja",39.89,"Rioja Red",4,3
"Hacienda Solano","Pena Lobera","2018",4.3,25,"Espana","Ribera del Duero",68.9,"Ribera Del Duero Red",5,3
"Altos de Rioja","Altos R Pigeage Graciano","2016",4.3,25,"Espana","Rioja",35,"Rioja Red",4,3
"Samsara","Ronda","2015",4.3,25,"Espana","Sierras de Malaga",32.5,"Red",4,3
"Ordonez","Nisia Las Suertes Verdejo Old Vines","2020",4.3,25,"Espana","Rueda",16.9,"Verdejo",3,3
"Josep Grau Viticultor","Territori","2019",4.3,25,"Espana","Montsant",23.6,"Red",4,3
"Cuentavinas","Alomado","2018",4.3,25,"Espana","Rioja",46.95,"Rioja Red",4,3
"Bodegas Gama","Octogenarius","2015",4.3,25,"Espana","Rioja",36.9,"Grenache",5,3
"Miguel Merino","Gran Reserva","2000",4.3,25,"Espana","Rioja",48.81,"Rioja Red",4,3
"Los Aguilares","Pinot Noir","2020",4.3,25,"Espana","Sierras de Malaga",33.5,"Red",4,3
"Nin-Ortiz","Selma de Nin Blanco","2017",4.3,25,"Espana","Cataluna",56.95,NA,NA,NA
"Zifar","Senda de Los Olivos Roble","2020",4.3,25,"Espana","Ribera del Duero",8.9,"Ribera Del Duero Red",5,3
"Felix Solis","Mucho Mas Tinto","N.V.",4.2,32624,"Espana","Vino de Espana",4.99,"Red",4,3
"Marques de Riscal","Rioja Reserva","2016",4.2,16505,"Espana","Rioja",15.9,"Rioja Red",4,3
"La Rioja Alta","Vina Ardanza Reserva","2007",4.2,9098,"Espana","Rioja",23.7,"Rioja Red",4,3
"Marques de Murrieta","Reserva Rioja (Finca Ygay)","2016",4.2,8318,"Espana","Rioja",23,"Rioja Red",4,3
"Emilio Moro","Ribera del Duero","2018",4.2,7825,"Espana","Ribera del Duero",19.5,"Ribera Del Duero Red",5,3
"Emilio Moro","Ribera del Duero","2017",4.2,7294,"Espana","Ribera del Duero",21.2,"Ribera Del Duero Red",5,3
"Tinto Pesquera","Reserva","2012",4.2,6567,"Espana","Ribera del Duero",27,"Ribera Del Duero Red",5,3
"La Rioja Alta","Vina Ardanza Reserva","2008",4.2,6532,"Espana","Rioja",33,"Rioja Red",4,3
"El Coto","Coto de Imaz Rioja Gran Reserva","2012",4.2,6256,"Espana","Rioja",16.14,"Rioja Red",4,3
"Dominio de Pingus","PSI","2016",4.2,6163,"Espana","Ribera del Duero",37.95,"Ribera Del Duero Red",5,3
"La Rioja Alta","Vina Alberdi Reserva","2015",4.2,5802,"Espana","Rioja",17.02,"Rioja Red",4,3
"Abadia Retuerta","Seleccion Especial","2014",4.2,5178,"Espana","Sardon de Duero",49.85,"Red",4,3
"Mar de Frades","Rias Baixas Albarino Atlantico","2019",4.2,4610,"Espana","Rias Baixas",14.95,"Albarino",3,3
"Matarromera","Crianza","2016",4.2,4127,"Espana","Ribera del Duero",9.76,"Ribera Del Duero Red",5,3
"Arzuaga","Ribera del Duero Crianza","2016",4.2,4091,"Espana","Ribera del Duero",19.16,"Ribera Del Duero Red",5,3
"La Rioja Alta","Vina Alberdi Reserva","2016",4.2,3825,"Espana","Rioja",15.8,"Rioja Red",4,3
"Imperial","Rioja Reserva","2015",4.2,3788,"Espana","Rioja",19.8333333333333,"Rioja Red",4,3
"Protos","27 Ribera del Duero","2016",4.2,3725,"Espana","Ribera del Duero",21,"Ribera Del Duero Red",5,3
"Terras Gauda","Terras Gauda O Rosal","2020",4.2,3648,"Espana","Rias Baixas",12.29,"Albarino",3,3
"Protos","27 Ribera del Duero","2017",4.2,3545,"Espana","Ribera del Duero",23.75,"Ribera Del Duero Red",5,3
"Remelluri","Rioja Reserva","2012",4.2,3453,"Espana","Rioja",15.83,"Rioja Red",4,3
"Arzuaga","Ribera del Duero Crianza","2017",4.2,3354,"Espana","Ribera del Duero",15.45,"Ribera Del Duero Red",5,3
"Familia Torres","Salmos","2016",4.2,3225,"Espana","Priorato",24.85,"Priorat Red",4,3
"Pago de Los Capellanes","Crianza Tinto","2017",4.2,3224,"Espana","Ribera del Duero",20.95,"Ribera Del Duero Red",5,3
"Marques de Riscal","Rioja Gran Reserva","2007",4.2,3101,"Espana","Rioja",28.43,"Rioja Red",4,3
"R. Lopez de Heredia","Vina Bosconia Reserva","2008",4.2,2901,"Espana","Rioja Alta",22.58,"Rioja Red",4,3
"Bodegas Mauro","Red","2011",4.2,2820,"Espana","Castilla y Leon",58.26,"Red",4,3
"R. Lopez de Heredia","Vina Bosconia Reserva","2007",4.2,2820,"Espana","Rioja Alta",20.95,"Rioja Red",4,3
"Familia Torres","Mas La Plana Cabernet Sauvignon","2010",4.2,2788,"Espana","Penedes",48.4,"Cabernet Sauvignon",4,3
"Rafael Palacios","Louro Godello","2019",4.2,2685,"Espana","Valdeorras",19.7,NA,NA,NA
"Imperial","Rioja Reserva","2016",4.2,2676,"Espana","Rioja",24.75,"Rioja Red",4,3
"Bodegas Roda","Roda Reserva Rioja","2015",4.2,2478,"Espana","Rioja",55.47,"Rioja Red",4,3
"Bodegas Roda","Roda Reserva Rioja","2012",4.2,2375,"Espana","Rioja",28.4,"Rioja Red",4,3
"Imperial","Rioja Reserva","2014",4.2,2364,"Espana","Rioja",27.6,"Rioja Red",4,3
"Juan Gil","Jumilla Blue Label","2015",4.2,2271,"Espana","Jumilla",24.76,"Red",4,3
"Juan Gil","Jumilla Blue Label","2018",4.2,2234,"Espana","Jumilla",24.6,"Red",4,3
"Juan Gil","Jumilla Blue Label","2017",4.2,2135,"Espana","Jumilla",22.5,"Red",4,3
"Bodegas Faustino","I Gran Reserva","1994",4.2,2074,"Espana","Rioja",124.5,"Rioja Red",4,3
"Carmelo Rodero","Crianza","2017",4.2,2050,"Espana","Ribera del Duero",19.99,"Ribera Del Duero Red",5,3
"Atalaya","La Atalaya del Camino","2017",4.2,2022,"Espana","Almansa",11.8,"Red",4,3
"Protos","27 Ribera del Duero","2018",4.2,1981,"Espana","Ribera del Duero",23.74,"Ribera Del Duero Red",5,3
"Bodegas Roda","Roda Reserva Rioja","2013",4.2,1931,"Espana","Rioja",30.35,"Rioja Red",4,3
"Protos","Gran Reserva","2012",4.2,1921,"Espana","Ribera del Duero",38.84,"Ribera Del Duero Red",5,3
"Remelluri","Rioja Reserva","2013",4.2,1768,"Espana","Rioja",21.5,"Rioja Red",4,3
"Tinto Pesquera","Reserva","2015",4.2,1688,"Espana","Ribera del Duero",29.95,"Ribera Del Duero Red",5,3
"Marques de Riscal","Rioja 150 Aniversario","2010",4.2,1686,"Espana","Rioja",59,"Rioja Red",4,3
"Pintia","Toro","2006",4.2,1665,"Espana","Toro",98.9,"Toro Red",5,3
"Bodegas Roda","Roda Reserva Rioja","2014",4.2,1645,"Espana","Rioja",59.9,"Rioja Red",4,3
"Alto Moncayo","Veraton Garnacha","2014",4.2,1627,"Espana","Campo de Borja",19.94,"Grenache",5,3
"R. Lopez de Heredia","Vina Bosconia Reserva","2009",4.2,1611,"Espana","Rioja Alta",23.52,"Rioja Red",4,3
"Casa Rojo","Alexander vs. The Ham Factory","2016",4.2,1573,"Espana","Ribera del Duero",33.3733333333333,"Ribera Del Duero Red",5,3
"Dominio de Pingus","PSI","2019",4.2,1355,"Espana","Ribera del Duero",34.5,"Ribera Del Duero Red",5,3
"Alto Moncayo","Veraton Garnacha","2018",4.2,1343,"Espana","Campo de Borja",21.6,"Grenache",5,3
"La Rioja Alta","Vina Alberdi Crianza","2015",4.2,1341,"Espana","Rioja",11.2,"Rioja Red",4,3
"Huerta de Albala","Taberner Tierra de Cadiz","2014",4.2,1337,"Espana","Cadiz",32.0010770950795,"Syrah",4,3
"Marques de Riscal","Rioja Gran Reserva","2011",4.2,1319,"Espana","Rioja",39.5,"Rioja Red",4,3
"Garmon","Ribera del Duero","2015",4.2,1308,"Espana","Ribera del Duero",33.59,"Ribera Del Duero Red",5,3
"Marques de Murrieta","Capellania Reserva","2015",4.2,1301,"Espana","Rioja",29.15,"Rioja White",3,3
"Aster","Finca El Otero","2014",4.2,1267,"Espana","Ribera del Duero",28.75,"Ribera Del Duero Red",5,3
"Matarromera","Crianza","2017",4.2,1209,"Espana","Ribera del Duero",16.88,"Ribera Del Duero Red",5,3
"Gramona","Gessami","2019",4.2,1164,"Espana","Penedes",9.95,NA,NA,NA
"Dominio de Atauta","Dominio de Atauta","2016",4.2,1159,"Espana","Ribera del Duero",25.71,"Ribera Del Duero Red",5,3
"Bodegas Ximenez-Spinola","Finest Old Harvest Medium","N.V.",4.2,1155,"Espana","Jerez-Xeres-Sherry",18.87,"Pedro Ximenez",5,1
"Huerta de Albala","Taberner Tierra de Cadiz","2015",4.2,1125,"Espana","Cadiz",17.04,"Syrah",4,3
"Montecastro","Ribera del Duero Red","2015",4.2,1095,"Espana","Ribera del Duero",18.9,"Ribera Del Duero Red",5,3
"Bosque de Matasnos","Bosque de Matasnos Etiqueta Blanca","2017",4.2,1093,"Espana","Ribera del Duero",55.75,"Ribera Del Duero Red",5,3
"Garmon","Ribera del Duero","2014",4.2,1086,"Espana","Ribera del Duero",37.9,"Ribera Del Duero Red",5,3
"Bodegas La Horra","Corimbo I","2014",4.2,1078,"Espana","Ribera del Duero",39,"Ribera Del Duero Red",5,3
"Carmelo Rodero","Crianza","2018",4.2,1070,"Espana","Ribera del Duero",16.49,"Ribera Del Duero Red",5,3
"Lustau","Vermut Rojo","N.V.",4.2,1058,"Espana","Jerez-Xeres-Sherry",11.9,NA,NA,NA
"Atalaya","La Atalaya del Camino","2019",4.2,1048,"Espana","Almansa",11.66,"Red",4,3
"R. Lopez de Heredia","Vina Tondonia Reserva Blanco","2005",4.2,1043,"Espana","Rioja Alta",26.9,"Rioja White",3,3
"Protos","Reserva 5 Ano","2015",4.2,1040,"Espana","Ribera del Duero",22.95,"Ribera Del Duero Red",5,3
