id,sexo,edad,edad_r,hab,prov,ccaa,edu,cs,p1_1,p1_2,p1_3,p1_4,p1_5,p1_6,p1_7,p1_8,p1_9,p1_10,p2_1,p2_2,p2_3,p3_1,p3_2,p3_3,p3_4,p3_5,p3_6,p4_1,p4_2,p4_3,p4_4,p4_5,p4_6,p4_7,p4_8,p4_9,p5_1,p5_2,p5_3,p5_4,p5_5,p5_6,p5_7,p5_8,p5_9,p5_10,p5_11,p5_12,p6,p7,p8,p9,hab_r,clase_social_r,situacion_laboral_r,educacion_r,recuerdo_r,ponde
448,2,39,3,1,29,1,6,2,2,2,3,1,1,2,1,1,2,2,1,4,2,2,2,1,1,1,2,1,1,1,2,1,1,1,2,1,6,2,2,2,2,6,6,2,3,2,3,2,10,2,2,2,Menos de 10.000,Alta / Media Alta,Parado,"Tercer grado, segundo ciclo y más",PP,1.1333923325758934
449,1,52,4,5,39,6,5,5,5,5,5,4,6,2,4,3,4,4,5,5,5,3,3,3,3,3,3,3,2,3,3,4,2,2,2,3,1,6,1,1,1,1,6,6,1,6,6,1,10,1,1,1,Más de 10.000,Media baja / Baja,Parado,"Tercer grado, primer ciclo",PSOE,0.698462033438945
450,2,66,6,6,46,10,4,6,3,3,4,4,1,1,3,1,3,3,4,5,4,1,1,1,1,2,2,3,4,2,2,2,2,2,1,1,6,5,6,2,2,6,2,6,2,2,5,2,10,2,2,2,Más de 10.000,Media baja / Baja,Pensionista,"Segundo grado, segundo ciclo",PP,1.3313693865768501
451,2,73,6,4,48,16,3,6,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,4,2,4,3,3,2,2,2,3,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,10,4,4,4,Más de 10.000,Media baja / Baja,Pensionista,"Segundo grado, primer ciclo y menos",UP,2.0679499829453287
452,2,58,5,5,7,4,5,4,3,4,4,4,4,4,4,3,3,3,4,4,4,3,3,3,3,3,3,3,3,2,2,3,3,3,2,3,6,6,6,6,6,6,6,6,6,6,6,6,99,18,2,18,Más de 10.000,Media,Trabaja,"Tercer grado, primer ciclo",Abstención,0.7603899326343931
453,2,45,4,2,8,9,4,2,5,5,5,6,5,6,5,6,3,5,4,3,6,1,1,1,1,1,1,1,4,2,1,1,1,2,2,1,5,5,5,5,5,5,5,5,5,5,5,5,4,19,17,18,Más de 10.000,Alta / Media Alta,Trabajo del hogar no remunerado,"Segundo grado, segundo ciclo",Abstención,0.7527434631449468
454,2,34,2,6,8,9,3,2,2,2,1,3,3,2,3,3,2,2,3,3,1,2,2,2,2,3,2,3,3,2,3,1,2,3,2,3,4,6,5,6,4,2,2,4,4,4,4,4,6,4,4,1,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, primer ciclo y menos",PSOE,0.8414024785375358
455,2,51,4,6,28,13,6,2,3,3,3,4,2,6,2,2,2,2,3,3,2,3,3,2,3,3,2,1,2,3,4,3,2,3,2,3,1,2,6,5,1,5,1,5,2,2,1,5,6,16,15,18,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",Abstención,0.598966234694371
456,1,40,3,5,15,12,5,3,5,5,5,4,4,5,4,4,4,4,5,5,5,3,3,3,4,3,3,2,2,3,3,3,2,2,3,4,1,1,1,1,4,4,1,4,1,1,1,1,10,1,1,1,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",PSOE,0.7709263579450699
457,1,62,5,4,8,9,4,5,4,5,4,5,5,3,4,5,4,4,5,5,5,3,4,3,3,4,3,4,4,2,2,2,3,2,2,2,3,1,1,1,4,4,2,4,4,1,2,1,5,7,7,7,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",ERC,0.8366546796555676
458,2,56,5,2,43,9,4,3,5,5,5,5,4,6,4,6,5,6,4,5,3,2,3,2,3,3,3,3,3,2,2,3,2,3,3,3,1,1,1,1,4,1,1,4,4,5,6,1,10,1,4,4,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",UP,0.8456828304680482
459,1,66,6,2,38,5,4,1,4,4,4,3,4,4,2,3,4,2,4,4,4,2,2,3,2,2,2,3,2,2,3,3,2,2,2,2,1,2,2,2,1,2,2,1,1,2,1,2,8,2,2,2,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",PP,1.6540269870466944
460,2,37,3,6,46,10,4,4,6,6,6,6,6,6,6,3,6,6,2,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,2,1,1,1,1,1,1,10,1,1,1,Más de 10.000,Media,Pensionista,"Segundo grado, segundo ciclo",PSOE,0.6635463077766557
461,2,59,5,2,46,10,4,4,5,5,5,5,4,5,4,4,5,4,5,5,5,3,3,3,3,3,3,4,4,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,Más de 10.000,Media,Trabajo del hogar no remunerado,"Segundo grado, segundo ciclo",PSOE,0.7476382096693618
462,1,49,4,6,41,1,6,1,4,4,4,2,4,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,10,2,2,2,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",PP,0.7491810099401898
463,2,58,5,6,46,10,4,5,2,2,3,2,2,2,2,3,2,2,3,3,3,2,2,2,3,1,2,3,3,2,2,2,2,2,1,2,6,6,6,4,4,6,6,4,6,4,6,4,5,4,4,4,Más de 10.000,Media baja / Baja,Trabajo del hogar no remunerado,"Segundo grado, segundo ciclo",UP,0.6883546807462374
464,2,56,5,6,8,9,4,4,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,2,2,3,3,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,2,1,1,1,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",PSOE,0.605287317816439
465,2,46,4,3,48,16,5,4,3,3,3,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,18,16,18,Más de 10.000,Media,Trabaja,"Tercer grado, primer ciclo",Abstención,0.8799895685072777
466,1,66,6,6,46,10,6,6,1,3,4,4,1,1,1,1,1,3,4,4,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,2,2,2,5,2,5,5,5,5,3,5,2,3,10,18,15,20,Más de 10.000,Media baja / Baja,Parado,"Tercer grado, segundo ciclo y más",Abstención,1.3142019316064377
467,1,34,2,1,17,9,5,2,1,2,1,3,2,3,2,3,1,3,1,2,1,2,1,1,1,1,1,4,4,2,1,1,1,2,2,1,3,5,5,5,4,4,5,4,4,5,5,4,10,8,8,8,Menos de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",JXCAT,1.2611001734711458
468,2,35,3,5,3,10,5,6,1,4,4,5,5,1,4,4,3,4,5,4,3,3,3,1,1,1,1,3,3,3,3,3,3,3,3,3,4,3,3,2,5,5,3,3,2,5,4,2,2,2,12,10,Más de 10.000,Media baja / Baja,Pensionista,"Tercer grado, primer ciclo",BILDU,0.7722572850802591
469,2,32,2,3,3,10,5,2,3,4,4,5,3,5,5,2,3,3,3,4,2,1,2,2,2,2,3,2,1,2,3,3,1,1,2,2,5,5,5,5,4,5,5,5,5,5,5,5,10,16,17,17,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",Nulo,0.9741151625128166
470,2,79,6,6,8,9,4,5,5,5,5,4,5,4,2,2,5,5,4,5,3,4,2,3,2,2,2,2,3,1,1,2,2,1,2,1,5,5,5,1,1,1,2,1,2,2,5,2,10,2,1,1,Más de 10.000,Media baja / Baja,Pensionista,"Segundo grado, segundo ciclo",PSOE,1.3286932134397602
471,1,58,5,1,12,10,4,3,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,10,6,6,6,Menos de 10.000,Alta / Media Alta,Parado,"Segundo grado, segundo ciclo",MP,1.0337577830868379
472,2,35,3,1,31,15,3,4,1,3,1,5,5,5,3,4,1,1,2,3,3,1,1,2,1,1,2,4,4,2,3,2,2,3,1,2,5,5,5,5,5,5,5,5,5,5,5,5,4,16,4,4,Menos de 10.000,Media,Trabaja,"Segundo grado, primer ciclo y menos",UP,1.1078871264999706
473,1,57,5,2,50,2,5,2,1,2,1,2,1,1,3,1,1,1,1,3,1,2,1,2,1,1,1,4,4,1,2,1,1,1,2,1,3,3,3,3,3,3,3,3,3,3,3,3,10,5,5,5,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",VOX,0.7614258127239046
474,1,33,2,6,28,13,7,6,4,3,4,1,5,3,5,4,5,4,5,4,4,2,3,3,3,2,2,4,2,2,1,1,2,2,4,2,1,1,1,1,1,1,1,1,2,1,1,4,1,1,1,18,Más de 10.000,Media baja / Baja,Estudiante,"Tercer grado, segundo ciclo y más",Abstención,0.9096345390659502
475,2,30,2,5,28,13,6,3,5,2,5,5,2,4,3,3,3,2,5,4,3,2,2,3,2,2,2,4,3,2,2,2,1,2,2,1,6,2,6,1,4,4,1,4,6,6,2,6,9,6,6,4,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",UP,0.9515894222661645
476,1,68,6,6,28,13,4,5,4,3,1,4,2,2,2,1,6,6,1,5,1,2,1,1,2,1,2,2,2,2,2,2,1,1,2,2,5,2,5,5,6,5,6,6,5,5,5,5,0,17,15,3,Más de 10.000,Media baja / Baja,Pensionista,"Segundo grado, segundo ciclo",CS,1.2843276019464442
477,2,70,6,6,46,10,4,6,4,4,4,4,4,4,4,3,4,4,3,4,3,2,2,5,5,2,2,3,3,2,2,2,2,2,2,2,6,1,1,1,4,4,1,4,1,4,5,1,10,6,6,6,Más de 10.000,Media baja / Baja,Pensionista,"Segundo grado, segundo ciclo",MP,1.3313693865768501
478,2,56,5,2,7,4,4,4,1,4,3,3,3,2,2,2,1,1,3,3,3,2,1,2,2,1,1,3,4,1,2,2,2,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,18,15,4,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",UP,0.9095088903553821
479,1,77,6,5,28,13,4,6,3,4,4,2,3,2,3,1,2,3,2,3,2,2,2,2,2,2,2,2,3,2,1,1,1,1,2,1,2,2,2,2,2,5,2,2,3,2,5,3,10,18,16,2,Más de 10.000,Media baja / Baja,Pensionista,"Segundo grado, segundo ciclo",PP,1.3192089687062265
480,1,71,6,5,47,7,6,1,3,4,4,4,4,3,5,2,5,3,4,4,3,2,3,3,3,3,2,3,2,2,3,2,2,2,3,2,5,5,5,4,5,3,6,5,5,2,5,5,10,6,6,16,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",Blanco,1.4395196024418633
481,1,30,2,1,45,8,4,4,2,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,5,3,1,1,1,1,1,1,1,1,1,5,5,1,5,4,5,5,5,5,5,5,5,5,18,16,19,Menos de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",Abstención,1.279333475273045
482,2,37,3,5,8,9,3,6,5,4,5,4,4,3,4,6,6,6,4,2,2,5,5,5,2,1,2,3,3,2,2,2,2,2,2,2,6,3,3,6,3,3,3,3,3,3,3,3,8,5,5,5,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, primer ciclo y menos",VOX,0.7694214979228401
483,1,74,6,2,8,9,6,2,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,4,3,3,4,4,3,2,3,2,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,10,4,4,4,Más de 10.000,Alta / Media Alta,Pensionista,"Tercer grado, segundo ciclo y más",UP,1.4407365199234334
484,2,50,4,2,30,14,5,2,5,4,1,1,1,3,1,1,1,1,1,1,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,10,2,2,2,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",PP,0.8354609993950816
485,2,22,1,3,30,14,6,1,3,4,3,4,4,4,5,2,4,3,3,4,4,2,2,3,2,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,4,3,3,2,3,5,11,9,2,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",PP,1.28052272761909
486,2,62,5,2,8,9,3,2,4,3,5,5,3,5,5,5,3,4,5,5,3,3,3,3,3,2,3,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, primer ciclo y menos",PSOE,0.7533744475386986
487,2,43,3,3,8,9,7,2,5,4,4,5,4,5,4,5,4,4,5,4,3,2,3,2,3,2,2,4,4,3,1,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,8,14,14,4,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",UP,0.7712575937037494
488,1,46,4,5,48,16,4,6,5,5,5,5,3,3,5,4,6,6,4,3,3,3,3,4,3,5,3,3,3,2,2,2,3,2,2,3,6,1,4,5,4,6,4,4,5,4,6,1,10,18,6,6,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",MP,0.8764416677660328
489,2,57,5,6,28,13,5,2,3,3,3,2,6,2,2,2,6,6,2,4,3,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,5,2,2,2,5,6,6,6,5,6,5,6,5,18,16,16,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",Blanco,0.5994683159012901
490,2,30,2,5,28,13,8,2,5,4,4,5,4,5,3,4,4,5,5,5,3,2,3,4,3,2,3,2,3,3,3,3,2,5,3,3,1,1,1,1,1,1,1,4,1,1,1,1,10,1,1,1,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",PSOE,0.8477210716063215
491,2,53,4,5,28,13,6,2,1,1,1,3,2,3,2,1,1,1,3,5,2,1,1,1,1,1,1,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,10,2,2,2,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",PP,0.6162599825854138
492,2,55,5,6,29,1,6,2,5,5,5,3,5,5,5,1,5,5,5,5,4,2,3,3,4,3,4,2,1,4,2,4,3,4,3,3,1,1,1,1,4,4,1,1,2,4,1,1,10,1,1,1,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",PSOE,0.683417415097356
493,2,71,6,4,8,9,4,5,5,5,5,5,4,5,3,1,4,5,5,4,2,3,3,3,3,3,3,3,4,2,2,3,2,2,1,2,1,5,1,5,5,1,1,1,2,5,1,5,10,1,1,1,Más de 10.000,Media baja / Baja,Pensionista,"Segundo grado, segundo ciclo",PSOE,1.6420744897101154
494,1,64,5,5,36,12,2,5,3,3,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,3,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,2,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, primer ciclo y menos",PP,0.7044338315125523
495,2,50,4,3,15,12,6,1,3,2,2,5,3,3,2,1,2,2,5,5,4,1,2,2,2,2,2,3,2,2,2,2,2,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,0,17,17,18,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",Abstención,0.7930948764543746
496,1,43,3,3,50,2,3,6,4,4,5,4,4,4,4,2,3,3,3,5,4,2,3,3,3,2,3,3,3,2,2,2,2,2,2,2,1,5,2,2,5,1,2,1,2,1,5,1,5,18,1,1,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, primer ciclo y menos",PSOE,0.8718227917030529
497,2,50,4,2,7,4,4,3,5,5,5,5,5,5,5,3,5,5,5,5,5,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,1,1,1,1,4,1,1,4,4,1,4,1,10,4,4,4,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",UP,1.0317079506137217
498,2,25,2,2,49,7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,10,5,5,18,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",Abstención,1.237484057284382
499,1,73,6,6,28,13,6,2,4,3,4,3,4,4,5,1,5,4,4,5,4,2,2,3,2,2,2,3,3,3,2,2,2,2,3,2,1,2,2,1,6,5,6,1,1,1,6,2,10,1,1,1,Más de 10.000,Alta / Media Alta,Pensionista,"Tercer grado, segundo ciclo y más",PSOE,1.1464098604321495
500,2,51,4,4,45,8,5,6,3,4,4,6,6,6,6,6,6,3,3,4,6,5,2,3,3,2,2,3,1,2,2,2,3,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,2,17,2,18,Más de 10.000,Media baja / Baja,Parado,"Tercer grado, primer ciclo",Abstención,0.8674535768762008
501,2,36,3,2,15,12,3,5,1,1,3,1,2,3,2,6,1,1,1,1,1,3,1,3,1,2,1,2,1,1,1,1,1,1,1,2,5,5,5,5,5,5,5,5,5,5,5,5,0,12,12,18,Más de 10.000,Media baja / Baja,Trabajo del hogar no remunerado,"Segundo grado, primer ciclo y menos",Abstención,0.9323076035594151
502,1,41,3,3,13,8,4,3,5,5,4,5,4,4,5,3,3,3,5,4,3,3,3,3,3,2,2,4,3,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,10,6,6,4,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",UP,0.8768208897179347
503,2,51,4,5,33,3,4,6,4,3,5,5,5,5,3,2,6,6,4,3,4,2,2,2,2,2,2,4,4,2,1,5,2,2,1,3,5,2,6,5,2,2,6,6,2,6,5,2,10,2,15,2,Más de 10.000,Media baja / Baja,Pensionista,"Segundo grado, segundo ciclo",PP,0.8144396061908337
504,2,36,3,4,30,14,7,6,5,5,5,5,5,1,2,1,5,2,5,5,1,2,3,3,3,4,4,2,2,2,2,3,2,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,Más de 10.000,Media baja / Baja,Trabaja,"Tercer grado, segundo ciclo y más",PSOE,1.025770052794933
505,2,31,2,3,41,1,5,4,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,2,2,1,2,3,1,1,1,1,5,2,5,5,5,5,5,5,3,5,5,6,10,18,16,1,Más de 10.000,Media,Trabaja,"Tercer grado, primer ciclo",PSOE,1.0712797205090412
506,2,48,4,1,34,7,2,6,5,5,5,5,4,5,4,3,4,3,3,3,3,5,2,3,5,3,5,4,3,2,1,2,2,2,2,2,6,1,1,1,1,6,1,1,6,1,1,1,10,18,1,18,Menos de 10.000,Media baja / Baja,Trabaja,"Segundo grado, primer ciclo y menos",Abstención,1.116893147889189
507,1,58,5,3,28,13,3,1,5,5,5,5,5,5,5,4,5,4,5,5,3,3,3,3,3,3,3,4,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,6,1,10,1,1,1,Más de 10.000,Alta / Media Alta,Parado,"Segundo grado, primer ciclo y menos",PSOE,0.7586468609359607
508,1,73,6,1,10,11,5,4,4,4,5,4,4,5,5,3,4,5,4,5,4,3,3,3,3,3,3,4,4,2,2,2,2,2,2,2,1,1,1,4,4,1,1,4,1,1,1,1,10,1,1,1,Menos de 10.000,Media,Pensionista,"Tercer grado, primer ciclo",PSOE,1.5646453291799407
509,1,50,4,4,8,9,4,4,5,5,5,5,5,5,1,1,5,5,5,5,3,1,1,1,1,1,1,3,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,10,2,2,2,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",PP,0.7377842050172744
510,2,71,6,4,29,1,5,2,4,3,4,4,4,4,6,1,3,3,4,4,3,2,3,2,2,3,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,2,2,10,2,2,2,Más de 10.000,Alta / Media Alta,Pensionista,"Tercer grado, primer ciclo",PP,1.636305247578662
511,2,61,5,5,26,17,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,4,4,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,99,18,15,18,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",Abstención,0.7061818331702271
512,1,68,6,6,8,9,5,2,4,4,5,5,4,4,4,5,3,2,1,4,5,2,3,2,2,2,2,3,4,2,2,2,2,2,1,1,1,5,4,4,4,4,1,4,5,4,5,5,10,14,14,7,Más de 10.000,Alta / Media Alta,Pensionista,"Tercer grado, primer ciclo",ERC,1.1707181406938434
513,2,51,4,5,20,16,4,3,3,3,5,5,6,6,6,2,6,3,4,5,3,5,2,2,2,2,2,3,3,2,2,2,5,2,2,2,5,6,5,6,4,6,6,4,5,4,5,2,10,19,9,9,Más de 10.000,Alta / Media Alta,Parado,"Segundo grado, segundo ciclo",PNV,0.8911361333533384
514,2,45,4,2,31,15,4,6,4,3,5,4,6,6,6,6,6,6,3,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,6,5,5,5,5,5,0,17,16,18,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",Abstención,0.929177663321391
515,2,53,4,2,27,12,6,3,5,5,5,5,4,5,5,4,5,4,4,5,4,3,3,4,3,2,3,3,3,3,3,2,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,Más de 10.000,Alta / Media Alta,Trabajo del hogar no remunerado,"Tercer grado, segundo ciclo y más",PSOE,0.8545630131694835
516,2,47,4,6,8,9,2,7,2,4,2,4,3,4,2,3,3,2,2,2,2,2,2,2,1,1,1,3,5,2,2,2,2,5,2,2,6,6,5,6,6,6,6,6,6,6,6,6,5,19,7,7,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, primer ciclo y menos",ERC,0.9307429763155548
517,1,69,6,1,39,6,5,4,2,3,1,1,3,1,1,1,2,1,1,3,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,2,3,2,3,2,2,2,3,2,2,3,10,5,2,2,Menos de 10.000,Media,Pensionista,"Tercer grado, primer ciclo",PP,1.7639427299876833
518,1,60,5,3,30,14,4,7,5,2,4,4,4,2,4,1,4,4,4,4,2,2,2,3,2,2,2,4,4,2,1,1,2,2,2,2,3,3,1,2,1,1,3,3,3,1,3,3,10,5,5,5,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, segundo ciclo",VOX,1.177186309725094
519,1,77,6,6,8,9,5,4,1,1,3,4,3,3,3,5,2,1,3,4,3,2,2,2,1,2,2,3,4,1,1,1,2,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,10,8,8,8,Más de 10.000,Media,Pensionista,"Tercer grado, primer ciclo",JXCAT,1.1575379901371696
520,1,21,1,6,28,13,6,4,2,5,4,2,5,1,4,6,3,4,3,4,2,3,2,4,2,2,2,3,3,1,5,2,2,5,2,3,2,1,1,1,1,4,1,3,1,1,3,1,6,1,1,1,Más de 10.000,Media,Trabaja,"Tercer grado, segundo ciclo y más",PSOE,0.8600668542947981
521,2,61,5,4,8,9,3,4,5,4,5,5,5,5,5,5,4,4,5,4,4,3,4,4,4,3,4,3,3,3,4,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,Más de 10.000,Media,Pensionista,"Segundo grado, primer ciclo y menos",PSOE,0.7480484234267486
522,1,18,1,5,3,10,4,7,2,2,3,1,1,5,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,5,3,3,3,5,5,2,3,3,2,5,3,10,5,5,18,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",Abstención,1.395841339469663
523,2,64,5,6,8,9,3,7,5,5,5,5,4,4,5,4,4,5,4,4,4,2,3,3,3,2,2,4,4,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,10,4,4,4,Más de 10.000,Media baja / Baja,Pensionista,"Segundo grado, primer ciclo y menos",UP,0.9315231681357475
524,2,29,2,5,28,13,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,10,18,6,4,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",UP,0.8381772788132804
525,1,75,6,2,3,10,5,2,5,5,5,4,4,5,5,4,5,3,4,5,3,3,4,4,3,3,4,4,3,2,2,2,3,3,1,2,1,1,1,1,4,4,1,4,1,4,1,1,10,1,1,1,Más de 10.000,Alta / Media Alta,Pensionista,"Tercer grado, primer ciclo",PSOE,1.4460465120817674
526,1,69,6,5,20,16,4,4,2,2,3,4,2,2,1,2,4,1,2,1,1,3,3,3,3,2,2,3,4,1,1,2,2,1,1,2,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10,10,Más de 10.000,Media,Pensionista,"Segundo grado, segundo ciclo",BILDU,1.5023388693324788
527,1,44,3,1,8,9,3,4,5,5,5,5,5,5,2,5,4,2,5,5,5,3,3,3,3,3,3,3,3,3,3,4,4,3,2,4,1,4,1,4,4,1,1,4,4,5,4,1,10,7,7,7,Menos de 10.000,Media,Trabaja,"Segundo grado, primer ciclo y menos",ERC,0.9908760649391666
528,2,48,4,1,30,14,1,5,1,5,5,4,1,5,1,1,3,1,4,4,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,10,2,2,2,Menos de 10.000,Media baja / Baja,Parado,"Segundo grado, primer ciclo y menos",PP,1.1548142426582753
529,2,49,4,5,37,7,4,6,4,4,2,4,2,2,3,1,3,4,2,4,3,1,1,2,1,1,2,2,2,1,2,2,2,1,1,2,6,6,3,6,6,6,6,3,3,3,3,3,10,5,5,2,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, segundo ciclo",PP,0.7568171924682192
530,2,50,4,4,28,13,4,4,4,4,5,5,3,2,3,4,3,3,5,4,2,3,3,3,3,3,4,4,3,3,3,3,2,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",PSOE,0.7319027578588414
531,2,36,3,4,29,1,5,2,2,1,1,2,1,1,2,3,1,1,3,1,3,1,2,3,1,2,1,1,2,1,3,3,2,1,2,3,2,1,2,2,3,1,2,1,2,2,2,2,8,11,13,11,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",Otros,0.9224995094621852
532,1,42,3,6,28,13,4,2,5,5,5,5,5,5,5,4,5,6,5,5,5,3,4,4,3,4,4,4,4,2,3,3,4,5,5,3,1,1,1,1,4,4,6,4,4,4,6,1,10,18,4,4,Más de 10.000,Alta / Media Alta,Parado,"Segundo grado, segundo ciclo",UP,0.6463112768575467
533,2,33,2,5,30,14,4,3,3,4,4,2,4,2,3,3,4,4,3,4,3,2,2,2,2,2,4,4,3,3,3,2,3,3,4,3,5,1,3,3,1,5,3,3,3,2,1,2,8,5,5,5,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",VOX,1.0785523498270642
