MAGNITUD,ANO,MES,DIA,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
7,2019,7,7,45.0,8.0,4.0,3.0,1.0,2.0,2.0,19.0,5.0,3.0,7.0,3.0,4.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,13.0,3.0
8,2019,7,7,81.0,48.0,36.0,22.0,18.0,23.0,30.0,68.0,32.0,21.0,28.0,17.0,20.0,23.0,26.0,16.0,15.0,18.0,18.0,25.0,21.0,44.0,65.0,31.0
12,2019,7,7,150.0,61.0,43.0,28.0,20.0,26.0,33.0,96.0,41.0,26.0,39.0,22.0,26.0,31.0,35.0,19.0,19.0,22.0,20.0,27.0,23.0,50.0,84.0,36.0
14,2019,7,7,27.19,44.53,55.09,71.46,71.85,62.96,54.39,18.46,54.4,74.22,81.12,99.18,102.7,102.7,103.7,111.5,110.6,103.4,103.6,101.7,103.3,78.5,53.81,75.88
6,2019,7,8,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
7,2019,7,8,3.0,5.0,2.0,1.0,1.0,2.0,12.0,25.0,25.0,24.0,14.0,11.0,11.0,5.0,7.0,7.0,9.0,13.0,8.0,12.0,4.0,5.0,4.0,1.0
8,2019,7,8,21.0,19.0,21.0,21.0,16.0,15.0,49.0,66.0,62.0,59.0,35.0,31.0,27.0,20.0,24.0,25.0,25.0,34.0,29.0,34.0,27.0,24.0,17.0,15.0
12,2019,7,8,25.0,26.0,25.0,22.0,17.0,18.0,67.0,105.0,101.0,96.0,56.0,48.0,43.0,28.0,35.0,36.0,38.0,54.0,42.0,53.0,33.0,33.0,23.0,16.0
14,2019,7,8,80.09,83.75,76.93,69.03,61.89,58.22,32.57,22.75,26.44,32.99,57.6,75.98,87.03,93.87,93.45,94.67,94.51,87.71,88.06,81.6,87.19,85.47,95.63,92.85
6,2019,7,9,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.2
7,2019,7,9,4.0,2.0,1.0,1.0,1.0,1.0,2.0,9.0,14.0,16.0,12.0,11.0,5.0,9.0,7.0,8.0,6.0,4.0,12.0,11.0,9.0,7.0,8.0,5.0
8,2019,7,9,33.0,22.0,19.0,12.0,14.0,18.0,27.0,53.0,58.0,56.0,36.0,30.0,25.0,29.0,34.0,41.0,37.0,28.0,70.0,51.0,52.0,47.0,44.0,33.0
12,2019,7,9,39.0,24.0,20.0,14.0,15.0,19.0,29.0,67.0,79.0,80.0,54.0,48.0,32.0,42.0,44.0,53.0,46.0,33.0,89.0,68.0,66.0,59.0,56.0,41.0
14,2019,7,9,69.76,78.79,81.62,93.15,85.97,71.12,55.44,34.2,41.77,56.28,82.9,99.4,111.1,111.4,119.1,123.9,125.9,132.5,103.7,84.08,77.34,68.12,64.17,64.12
6,2019,7,10,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.8,0.8
7,2019,7,10,2.0,1.0,1.0,1.0,1.0,1.0,12.0,26.0,25.0,25.0,17.0,16.0,15.0,13.0,6.0,9.0,7.0,13.0,5.0,24.0,20.0,9.0,55.0,138.0
8,2019,7,10,28.0,19.0,15.0,12.0,12.0,17.0,45.0,69.0,68.0,59.0,48.0,49.0,51.0,47.0,33.0,47.0,37.0,48.0,43.0,71.0,85.0,102.0,170.0,172.0
12,2019,7,10,32.0,21.0,16.0,13.0,14.0,19.0,63.0,110.0,106.0,97.0,74.0,73.0,74.0,66.0,43.0,61.0,48.0,68.0,51.0,108.0,116.0,116.0,254.0,384.0
14,2019,7,10,64.73,68.01,69.2,72.12,73.17,68.63,46.54,30.01,37.52,45.13,62.0,81.08,89.77,98.69,115.0,110.5,126.1,122.2,133.5,112.6,110.0,87.39,17.28,4.41
6,2019,7,11,0.8,0.4,0.3,0.3,0.3,0.3,0.5,0.4,0.5,0.4,0.3,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.7,1.1,1.0
7,2019,7,11,125.0,21.0,3.0,6.0,11.0,9.0,102.0,41.0,55.0,34.0,24.0,22.0,31.0,12.0,10.0,8.0,5.0,9.0,75.0,15.0,22.0,69.0,177.0,198.0
8,2019,7,11,153.0,96.0,61.0,65.0,66.0,63.0,98.0,84.0,92.0,84.0,74.0,68.0,80.0,56.0,52.0,49.0,49.0,53.0,84.0,69.0,93.0,168.0,193.0,191.0
12,2019,7,11,345.0,127.0,66.0,74.0,84.0,77.0,254.0,146.0,177.0,137.0,111.0,101.0,128.0,74.0,67.0,61.0,57.0,67.0,199.0,92.0,126.0,274.0,465.0,495.0
14,2019,7,11,5.06,22.91,35.38,27.11,19.35,20.7,6.32,11.56,14.96,35.75,52.11,67.81,83.86,115.2,131.8,142.2,136.4,121.2,91.02,93.93,67.4,14.66,2.36,3.28
6,2019,7,12,1.0,0.5,0.3,0.3,0.4,0.3,0.4,0.4,0.5,0.4,0.3,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.4,1.0,1.2,1.2
7,2019,7,12,167.0,29.0,6.0,7.0,13.0,10.0,26.0,35.0,41.0,46.0,21.0,24.0,16.0,10.0,12.0,9.0,18.0,18.0,15.0,9.0,48.0,316.0,284.0,224.0
8,2019,7,12,166.0,118.0,74.0,63.0,78.0,66.0,77.0,85.0,94.0,102.0,82.0,87.0,80.0,68.0,79.0,65.0,67.0,76.0,73.0,72.0,116.0,194.0,196.0,177.0
12,2019,7,12,422.0,162.0,83.0,73.0,98.0,81.0,116.0,139.0,158.0,174.0,114.0,124.0,104.0,83.0,99.0,79.0,96.0,103.0,96.0,85.0,189.0,679.0,632.0,520.0
14,2019,7,12,3.43,4.04,26.58,25.19,7.65,16.49,11.82,8.7,14.12,31.98,56.13,66.26,80.97,103.9,120.8,111.7,100.7,86.23,87.88,81.82,42.04,2.13,3.8,4.44
6,2019,7,13,0.5,0.3,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
7,2019,7,13,63.0,9.0,22.0,26.0,35.0,27.0,24.0,49.0,51.0,20.0,9.0,8.0,7.0,6.0,7.0,2.0,3.0,3.0,19.0,18.0,5.0,5.0,5.0,5.0
8,2019,7,13,100.0,64.0,86.0,89.0,85.0,85.0,84.0,86.0,92.0,74.0,51.0,65.0,57.0,43.0,38.0,21.0,23.0,22.0,41.0,32.0,24.0,26.0,22.0,14.0
12,2019,7,13,196.0,77.0,119.0,129.0,139.0,126.0,121.0,162.0,170.0,104.0,64.0,78.0,67.0,52.0,48.0,24.0,27.0,27.0,70.0,60.0,31.0,33.0,30.0,22.0
14,2019,7,13,27.91,41.25,16.08,9.15,9.13,7.46,8.73,9.55,15.41,37.66,79.77,88.06,83.07,97.11,123.8,131.6,108.6,105.9,95.03,94.92,92.49,90.71,91.48,90.41
6,2019,7,14,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3
7,2019,7,14,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,6.0,3.0,3.0,3.0,3.0,4.0,3.0,8.0,2.0,2.0,6.0,12.0
8,2019,7,14,16.0,18.0,13.0,16.0,19.0,17.0,14.0,14.0,14.0,15.0,17.0,20.0,24.0,17.0,28.0,23.0,26.0,28.0,30.0,28.0,23.0,31.0,46.0,64.0
12,2019,7,14,19.0,20.0,14.0,18.0,21.0,20.0,16.0,17.0,18.0,20.0,23.0,27.0,34.0,21.0,33.0,27.0,30.0,34.0,35.0,40.0,26.0,34.0,55.0,82.0
14,2019,7,14,81.9,69.9,70.11,62.27,58.88,55.68,54.53,52.92,62.6,69.52,77.19,86.73,92.27,104.4,105.3,109.9,109.7,109.2,105.3,102.8,92.43,82.04,69.55,58.96
6,2019,7,15,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3
7,2019,7,15,4.0,5.0,2.0,2.0,1.0,2.0,6.0,16.0,29.0,22.0,15.0,12.0,13.0,10.0,8.0,17.0,4.0,5.0,7.0,8.0,12.0,5.0,10.0,11.0
8,2019,7,15,48.0,51.0,34.0,19.0,15.0,18.0,41.0,64.0,76.0,63.0,54.0,51.0,54.0,49.0,37.0,51.0,27.0,28.0,36.0,44.0,45.0,42.0,57.0,62.0
12,2019,7,15,54.0,59.0,37.0,21.0,17.0,21.0,49.0,89.0,120.0,97.0,78.0,70.0,74.0,65.0,49.0,76.0,34.0,36.0,47.0,56.0,63.0,49.0,72.0,80.0
14,2019,7,15,72.54,59.47,71.22,79.12,80.13,73.84,54.58,38.46,36.49,51.11,63.06,77.71,88.15,104.2,121.0,111.4,107.3,88.47,79.71,77.34,77.38,73.45,55.76,56.56
6,2019,7,16,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.3
7,2019,7,16,3.0,2.0,1.0,1.0,1.0,2.0,11.0,19.0,26.0,32.0,15.0,18.0,15.0,9.0,7.0,8.0,7.0,9.0,17.0,22.0,44.0,81.0,8.0,11.0
8,2019,7,16,40.0,34.0,23.0,14.0,18.0,23.0,54.0,76.0,72.0,77.0,52.0,56.0,55.0,50.0,40.0,34.0,33.0,40.0,61.0,70.0,99.0,118.0,75.0,66.0
12,2019,7,16,45.0,37.0,25.0,16.0,19.0,25.0,71.0,104.0,112.0,126.0,75.0,84.0,78.0,64.0,52.0,47.0,43.0,54.0,86.0,103.0,167.0,242.0,88.0,83.0
14,2019,7,16,78.45,76.64,78.67,77.67,74.26,68.28,44.16,27.44,36.33,40.93,69.73,77.25,89.5,106.9,111.8,102.7,103.8,102.7,87.61,84.48,58.88,47.77,60.78,60.6
6,2019,7,17,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.2,0.5,0.5,0.2
7,2019,7,17,1.0,2.0,1.0,1.0,1.0,1.0,7.0,65.0,57.0,34.0,17.0,13.0,10.0,11.0,6.0,7.0,7.0,6.0,17.0,18.0,12.0,164.0,85.0,4.0
8,2019,7,17,25.0,13.0,13.0,10.0,8.0,12.0,32.0,90.0,81.0,58.0,42.0,38.0,29.0,42.0,31.0,35.0,38.0,35.0,48.0,62.0,52.0,166.0,104.0,30.0
12,2019,7,17,27.0,16.0,15.0,12.0,9.0,13.0,43.0,189.0,168.0,110.0,68.0,58.0,44.0,58.0,41.0,45.0,49.0,45.0,74.0,90.0,71.0,418.0,234.0,36.0
14,2019,7,17,83.24,84.8,79.62,71.09,65.38,57.89,37.17,5.2,11.91,30.21,53.05,72.06,91.56,90.73,107.6,110.1,106.1,104.4,104.0,90.22,88.93,11.53,43.25,77.96
6,2019,7,18,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.5,0.2,0.3,0.3,0.4,0.3
7,2019,7,18,2.0,17.0,15.0,1.0,1.0,5.0,10.0,25.0,24.0,31.0,24.0,20.0,16.0,16.0,10.0,9.0,4.0,7.0,31.0,8.0,28.0,14.0,14.0,4.0
8,2019,7,18,23.0,68.0,67.0,20.0,18.0,22.0,45.0,68.0,65.0,65.0,63.0,64.0,61.0,63.0,45.0,47.0,34.0,52.0,84.0,54.0,110.0,87.0,105.0,57.0
12,2019,7,18,26.0,94.0,90.0,21.0,19.0,30.0,60.0,106.0,102.0,112.0,100.0,95.0,86.0,87.0,60.0,61.0,39.0,64.0,131.0,66.0,152.0,108.0,127.0,63.0
14,2019,7,18,77.54,31.17,28.52,75.24,72.82,66.38,49.11,34.26,37.61,39.85,46.83,64.39,88.69,105.9,118.3,122.8,140.3,130.7,108.3,127.3,70.94,76.05,57.63,76.75
6,2019,7,19,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.7,0.4
7,2019,7,19,3.0,1.0,1.0,1.0,1.0,2.0,7.0,17.0,57.0,43.0,16.0,22.0,13.0,7.0,12.0,10.0,9.0,11.0,18.0,10.0,39.0,89.0,286.0,71.0
8,2019,7,19,35.0,22.0,19.0,17.0,13.0,18.0,37.0,63.0,82.0,77.0,52.0,60.0,53.0,44.0,56.0,48.0,44.0,48.0,60.0,57.0,94.0,149.0,182.0,102.0
12,2019,7,19,41.0,24.0,20.0,19.0,15.0,21.0,48.0,89.0,170.0,142.0,76.0,93.0,72.0,55.0,74.0,63.0,59.0,65.0,88.0,73.0,153.0,286.0,620.0,211.0
14,2019,7,19,72.85,69.19,67.66,67.51,70.11,66.02,50.53,31.22,23.12,36.19,64.42,67.72,90.14,117.9,112.3,105.3,102.7,104.9,95.31,96.71,65.6,20.37,5.92,38.6
6,2019,7,20,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3
7,2019,7,20,4.0,5.0,1.0,1.0,9.0,5.0,3.0,7.0,6.0,7.0,6.0,6.0,7.0,6.0,4.0,2.0,3.0,3.0,6.0,8.0,16.0,10.0,5.0,4.0
8,2019,7,20,41.0,50.0,28.0,22.0,60.0,48.0,33.0,44.0,35.0,32.0,29.0,29.0,32.0,35.0,35.0,26.0,33.0,27.0,29.0,43.0,67.0,66.0,57.0,45.0
12,2019,7,20,47.0,58.0,30.0,24.0,74.0,55.0,38.0,55.0,44.0,42.0,38.0,39.0,43.0,44.0,41.0,30.0,37.0,32.0,39.0,56.0,92.0,81.0,65.0,52.0
14,2019,7,20,77.65,61.99,80.85,82.53,41.01,46.48,63.93,56.28,67.33,73.21,83.22,93.47,102.3,115.0,130.2,142.6,131.0,116.6,108.3,96.07,72.9,70.11,68.08,75.21
6,2019,7,21,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2
7,2019,7,21,12.0,4.0,3.0,1.0,2.0,2.0,1.0,6.0,3.0,4.0,4.0,3.0,5.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,6.0,12.0,10.0,5.0
8,2019,7,21,69.0,29.0,21.0,19.0,20.0,17.0,23.0,40.0,27.0,23.0,21.0,20.0,26.0,27.0,27.0,24.0,20.0,29.0,27.0,33.0,47.0,74.0,52.0,31.0
12,2019,7,21,87.0,35.0,25.0,21.0,22.0,19.0,25.0,50.0,31.0,29.0,27.0,24.0,33.0,32.0,31.0,28.0,22.0,34.0,29.0,38.0,56.0,93.0,68.0,39.0
14,2019,7,21,51.25,68.28,76.06,79.65,77.38,78.77,72.97,59.75,72.87,80.74,88.91,97.76,98.92,112.4,116.8,115.3,113.8,102.4,105.0,101.4,83.92,50.48,58.15,67.31
6,2019,7,22,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
7,2019,7,22,3.0,3.0,1.0,1.0,2.0,2.0,9.0,28.0,32.0,24.0,18.0,14.0,16.0,12.0,12.0,17.0,13.0,14.0,10.0,15.0,15.0,8.0,7.0,6.0
8,2019,7,22,25.0,21.0,17.0,11.0,12.0,26.0,52.0,83.0,93.0,69.0,58.0,50.0,53.0,46.0,45.0,47.0,47.0,50.0,44.0,56.0,60.0,52.0,55.0,47.0
12,2019,7,22,31.0,26.0,19.0,12.0,14.0,29.0,66.0,125.0,143.0,106.0,87.0,72.0,77.0,65.0,63.0,73.0,67.0,71.0,59.0,79.0,83.0,64.0,66.0,56.0
14,2019,7,22,73.02,78.5,78.17,82.74,84.68,70.14,47.89,26.56,26.36,51.82,63.81,76.73,84.82,91.33,87.49,81.4,73.44,73.57,76.27,67.29,65.72,73.73,70.98,72.89
6,2019,7,23,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.2,0.2
7,2019,7,23,2.0,2.0,1.0,1.0,1.0,1.0,15.0,38.0,53.0,20.0,13.0,15.0,10.0,10.0,11.0,9.0,8.0,13.0,14.0,8.0,26.0,33.0,2.0,2.0
8,2019,7,23,30.0,24.0,22.0,20.0,19.0,22.0,67.0,74.0,104.0,72.0,56.0,61.0,54.0,48.0,49.0,42.0,36.0,50.0,59.0,52.0,81.0,100.0,28.0,37.0
12,2019,7,23,34.0,27.0,23.0,22.0,21.0,24.0,89.0,131.0,186.0,103.0,76.0,85.0,69.0,64.0,66.0,56.0,48.0,69.0,80.0,65.0,121.0,151.0,30.0,41.0
14,2019,7,23,81.42,88.77,85.47,87.33,88.04,84.18,45.66,36.95,22.47,47.61,66.66,72.41,92.71,102.8,95.6,94.96,92.63,84.47,75.85,71.07,36.86,29.98,86.48,100.0
6,2019,7,24,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.6,0.2
7,2019,7,24,3.0,2.0,1.0,1.0,2.0,7.0,6.0,13.0,26.0,48.0,19.0,16.0,12.0,8.0,12.0,12.0,7.0,8.0,11.0,13.0,15.0,38.0,125.0,5.0
8,2019,7,24,51.0,36.0,36.0,21.0,28.0,52.0,52.0,65.0,79.0,103.0,68.0,60.0,57.0,45.0,47.0,45.0,40.0,45.0,52.0,62.0,85.0,113.0,148.0,47.0
12,2019,7,24,56.0,39.0,38.0,23.0,31.0,63.0,61.0,85.0,118.0,175.0,97.0,84.0,75.0,57.0,64.0,64.0,50.0,57.0,68.0,82.0,109.0,172.0,340.0,55.0
14,2019,7,24,78.55,83.22,78.19,83.44,64.53,36.18,37.1,27.73,25.84,26.31,58.21,74.08,90.97,104.7,103.1,105.9,105.2,96.75,90.34,84.17,64.7,39.36,14.35,65.9
6,2019,7,25,0.2,0.2,0.2,0.2,0.2,0.4,0.5,0.4,0.5,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.3
7,2019,7,25,4.0,3.0,1.0,2.0,4.0,8.0,93.0,71.0,37.0,40.0,34.0,27.0,16.0,9.0,14.0,6.0,7.0,17.0,69.0,3.0,6.0,3.0,4.0,16.0
8,2019,7,25,42.0,34.0,20.0,21.0,34.0,52.0,98.0,97.0,83.0,83.0,79.0,71.0,68.0,40.0,44.0,38.0,39.0,55.0,84.0,35.0,38.0,34.0,36.0,68.0
12,2019,7,25,48.0,40.0,22.0,24.0,40.0,65.0,240.0,206.0,140.0,144.0,131.0,113.0,93.0,54.0,66.0,48.0,50.0,81.0,189.0,40.0,47.0,39.0,41.0,93.0
14,2019,7,25,63.68,68.55,77.65,73.8,53.09,28.26,5.38,8.48,13.34,25.73,33.3,47.45,71.36,97.58,98.43,106.8,108.2,87.55,66.2,102.5,94.7,86.15,80.45,47.9
6,2019,7,26,0.3,0.3,0.3,0.2,0.1,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
7,2019,7,26,22.0,11.0,6.0,3.0,1.0,2.0,4.0,12.0,9.0,19.0,8.0,7.0,11.0,9.0,9.0,8.0,9.0,7.0,9.0,15.0,2.0,2.0,2.0,1.0
8,2019,7,26,91.0,82.0,55.0,23.0,13.0,15.0,23.0,31.0,31.0,36.0,20.0,19.0,22.0,21.0,22.0,27.0,29.0,25.0,31.0,40.0,27.0,23.0,24.0,21.0
12,2019,7,26,124.0,99.0,63.0,28.0,14.0,17.0,29.0,50.0,45.0,65.0,32.0,31.0,39.0,36.0,36.0,39.0,42.0,36.0,45.0,63.0,30.0,27.0,27.0,23.0
14,2019,7,26,21.37,24.94,38.18,53.31,50.73,44.27,35.47,32.13,30.92,32.36,50.02,59.9,59.46,62.3,80.95,85.34,87.12,86.58,81.16,76.02,86.95,85.63,81.24,79.72
6,2019,7,27,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2
7,2019,7,27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0
8,2019,7,27,17.0,13.0,18.0,9.0,8.0,8.0,11.0,18.0,16.0,14.0,13.0,16.0,15.0,16.0,12.0,10.0,10.0,12.0,10.0,10.0,14.0,20.0,22.0,21.0
12,2019,7,27,19.0,15.0,20.0,11.0,9.0,9.0,12.0,23.0,19.0,17.0,17.0,22.0,20.0,22.0,17.0,13.0,13.0,16.0,11.0,12.0,15.0,23.0,27.0,23.0
14,2019,7,27,78.55,73.28,63.39,62.92,61.92,64.93,64.07,57.54,56.79,61.89,71.2,73.6,76.34,73.9,59.02,57.12,64.86,74.99,79.46,86.78,83.46,69.84,63.3,57.02
6,2019,7,28,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2
7,2019,7,28,4.0,4.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,6.0,4.0,5.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,6.0,21.0,8.0
8,2019,7,28,29.0,23.0,17.0,15.0,10.0,11.0,15.0,17.0,16.0,19.0,13.0,15.0,12.0,16.0,17.0,16.0,13.0,12.0,19.0,22.0,27.0,42.0,80.0,58.0
12,2019,7,28,35.0,29.0,21.0,18.0,12.0,13.0,17.0,21.0,20.0,28.0,19.0,22.0,15.0,20.0,23.0,20.0,16.0,14.0,22.0,27.0,32.0,51.0,113.0,69.0
14,2019,7,28,46.7,43.05,44.95,43.52,48.07,46.06,41.3,38.97,42.32,44.86,51.56,57.11,68.75,79.29,89.14,92.82,92.54,90.75,84.24,80.69,76.61,64.77,27.73,43.61
6,2019,7,29,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.5,0.4,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
7,2019,7,29,1.0,7.0,1.0,7.0,2.0,2.0,12.0,94.0,80.0,50.0,58.0,39.0,7.0,26.0,6.0,7.0,6.0,7.0,10.0,10.0,5.0,4.0,2.0,1.0
8,2019,7,29,21.0,28.0,27.0,36.0,33.0,33.0,43.0,85.0,83.0,76.0,84.0,80.0,28.0,31.0,24.0,25.0,23.0,25.0,33.0,34.0,27.0,32.0,26.0,15.0
12,2019,7,29,23.0,39.0,29.0,46.0,35.0,37.0,62.0,230.0,206.0,153.0,173.0,140.0,39.0,70.0,33.0,37.0,32.0,36.0,49.0,50.0,34.0,37.0,30.0,16.0
14,2019,7,29,68.89,61.31,52.53,38.92,34.04,26.5,19.13,4.94,7.27,14.97,20.17,34.9,86.23,86.4,91.74,87.44,83.02,79.3,70.93,72.79,73.52,69.06,68.9,72.28
6,2019,7,30,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.6,0.8,0.2
7,2019,7,30,1.0,1.0,1.0,1.0,1.0,1.0,2.0,14.0,18.0,22.0,21.0,17.0,12.0,7.0,4.0,6.0,4.0,7.0,5.0,4.0,19.0,87.0,137.0,4.0
8,2019,7,30,11.0,8.0,8.0,6.0,6.0,9.0,20.0,41.0,58.0,55.0,49.0,45.0,33.0,29.0,26.0,32.0,36.0,48.0,41.0,43.0,67.0,182.0,174.0,40.0
12,2019,7,30,13.0,10.0,10.0,7.0,8.0,10.0,22.0,63.0,86.0,89.0,81.0,71.0,51.0,41.0,33.0,42.0,42.0,60.0,49.0,50.0,96.0,315.0,384.0,46.0
14,2019,7,30,70.33,70.21,68.91,71.77,69.16,65.32,55.37,35.83,31.23,41.64,50.06,59.25,75.47,86.47,99.75,108.8,117.8,117.3,123.0,120.3,97.79,9.72,10.69,57.16
6,2019,7,31,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2
7,2019,7,31,3.0,1.0,1.0,2.0,1.0,2.0,4.0,12.0,25.0,27.0,24.0,14.0,10.0,8.0,8.0,8.0,8.0,9.0,14.0,13.0,23.0,9.0,9.0,6.0
8,2019,7,31,22.0,13.0,9.0,10.0,9.0,13.0,28.0,48.0,63.0,60.0,56.0,42.0,40.0,35.0,31.0,31.0,32.0,38.0,47.0,54.0,70.0,38.0,37.0,28.0
12,2019,7,31,26.0,14.0,11.0,12.0,10.0,16.0,35.0,66.0,101.0,102.0,92.0,64.0,56.0,47.0,43.0,44.0,43.0,52.0,68.0,74.0,106.0,51.0,51.0,37.0
14,2019,7,31,61.46,67.75,66.78,62.21,61.23,56.52,42.94,30.74,24.4,31.13,37.96,64.63,84.14,83.15,79.91,79.24,84.02,83.47,77.7,68.71,47.21,55.19,50.68,53.76
6,2019,8,1,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.4
7,2019,8,1,4.0,2.0,4.0,1.0,2.0,2.0,7.0,16.0,17.0,16.0,15.0,17.0,11.0,8.0,5.0,5.0,6.0,26.0,69.0,5.0,7.0,6.0,7.0,44.0
8,2019,8,1,22.0,15.0,14.0,14.0,15.0,17.0,33.0,52.0,52.0,43.0,40.0,47.0,39.0,34.0,27.0,25.0,29.0,45.0,69.0,39.0,48.0,48.0,44.0,100.0
9,2019,8,1,10.0,10.0,9.0,10.0,10.0,8.0,6.0,7.0,9.0,9.0,9.0,12.0,14.0,12.0,8.0,11.0,8.0,25.0,34.0,26.0,17.0,5.0,1.0,8.0
10,2019,8,1,19.0,21.0,18.0,18.0,19.0,15.0,13.0,14.0,17.0,19.0,22.0,27.0,31.0,32.0,26.0,28.0,22.0,44.0,65.0,48.0,24.0,12.0,1.0,17.0
12,2019,8,1,29.0,18.0,19.0,15.0,18.0,20.0,44.0,76.0,78.0,67.0,63.0,73.0,56.0,46.0,35.0,33.0,38.0,85.0,175.0,47.0,59.0,56.0,55.0,167.0
14,2019,8,1,58.87,63.73,66.5,66.62,62.57,60.03,48.02,34.36,38.65,45.01,48.54,50.82,63.91,82.85,98.5,97.32,89.55,69.84,54.69,74.5,69.99,61.76,60.4,15.57
6,2019,8,2,0.5,0.5,0.3,0.3,0.3,0.2,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.7,0.9,0.5
