"sex","age","hab","prov","ccaa","edu","cs","p1_1","p1_2","p1_3","p1_4","p1_5","p1_6","p1_7","p1_8","p1_9","p1_10","p2_1","p2_2","p2_3","p3_1","p3_2","p3_3","p3_4","p3_5","p3_6","p4_1","p4_2","p4_3","p4_4","p4_5","p4_6","p4_7","p4_8","p4_9","p5_1","p5_2","p5_3","p5_4","p5_5","p5_6","p5_7","p5_8","p5_9","p5_10","p5_11","p5_12","p6","p7","p8","p9","label"
1,1,6,28,13,7,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,4,4,1,1,1,2,1,3,1,5,5,5,5,5,5,5,5,5,5,5,5,10,14,14,4,5
2,1,6,29,1,7,1,4,3,5,5,5,2,4,2,6,6,4,4,3,2,2,3,2,2,3,3,2,2,4,4,2,3,3,4,2,4,1,1,1,2,1,4,1,1,1,1,10,3,3,3,2
2,3,6,8,9,7,1,3,1,4,4,4,5,1,1,2,2,1,2,1,1,2,1,1,1,1,1,2,2,4,1,1,2,2,2,2,2,2,2,6,2,2,5,3,2,2,2,10,2,5,2,3
2,6,3,38,5,4,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,10,5,5,2,3
1,6,5,28,13,4,2,5,4,5,4,5,5,5,4,2,5,4,4,4,3,3,3,4,3,4,3,3,3,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,10,4,4,4,5
2,6,1,3,10,3,4,3,4,4,1,3,6,2,2,3,3,4,4,3,2,2,2,2,1,1,5,5,2,1,2,1,1,2,2,2,2,2,2,2,6,6,2,6,2,2,2,10,2,2,2,3
1,5,6,41,1,1,4,5,4,4,4,4,4,3,3,3,5,3,4,5,2,2,3,3,2,3,3,3,3,4,2,4,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,4,15,15,18,1
1,3,6,8,9,6,1,5,4,5,4,4,3,3,3,4,3,3,4,4,3,3,3,3,2,3,3,2,3,2,2,2,5,2,2,6,6,6,6,6,6,6,6,5,6,6,6,8,19,16,20,1
2,4,1,46,10,3,7,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,99,18,16,19,1
2,5,5,14,1,4,5,5,5,5,4,5,5,5,3,5,5,5,5,5,2,2,3,3,2,2,3,4,2,2,1,2,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,10,18,15,1,4
2,3,1,26,17,4,4,4,4,2,5,5,4,2,1,3,2,4,4,3,2,2,1,2,2,2,4,4,2,3,3,2,3,2,4,5,2,2,2,1,2,2,1,5,5,1,5,6,18,17,20,1
2,6,6,46,10,4,6,3,5,2,3,3,5,4,1,4,4,3,2,3,1,2,3,3,2,2,3,3,2,2,1,2,2,1,2,1,2,1,3,3,3,2,3,3,1,2,2,9,5,3,1,4
2,4,1,46,10,4,1,3,3,4,5,4,5,2,1,3,2,3,3,2,1,2,1,3,2,2,4,3,2,1,1,2,2,2,2,5,1,1,5,5,1,2,1,5,6,2,5,0,16,3,18,1
1,6,2,18,1,4,2,4,5,3,2,6,3,3,2,4,4,4,5,4,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,6,2,2,2,5,6,2,1,5,2,5,5,10,2,2,2,3
1,3,6,28,13,4,2,5,5,5,5,5,5,5,2,5,4,5,5,1,3,3,4,4,3,4,2,3,4,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,10,6,6,4,5
1,5,2,46,10,6,2,5,5,5,5,4,5,5,4,5,4,5,5,4,3,3,3,3,3,4,2,2,3,3,2,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,4
2,3,5,33,3,5,4,4,3,5,4,3,4,1,1,3,3,4,4,2,1,1,1,1,1,2,2,3,2,2,2,1,1,3,1,5,2,2,2,5,1,2,1,3,5,5,3,10,18,3,3,2
1,4,3,28,13,8,2,5,5,4,5,5,5,5,5,4,5,5,4,3,3,4,4,4,3,4,2,3,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,10,4,4,4,5
1,6,5,26,17,4,4,2,2,2,2,2,2,2,2,3,2,2,2,2,1,1,1,1,1,1,4,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,3,3,2,2,10,2,17,2,3
1,6,5,4,1,3,4,2,2,2,2,2,2,2,2,2,2,5,4,3,2,2,2,2,2,2,3,4,2,4,3,2,2,1,2,1,3,5,5,1,5,2,2,5,3,5,2,10,5,5,5,6
2,6,5,7,4,4,7,4,4,4,4,6,4,6,3,4,4,4,4,4,3,3,3,3,3,4,3,2,3,4,3,3,3,3,3,1,1,1,1,1,6,1,1,5,1,1,1,10,19,17,18,1
2,6,1,28,13,6,2,5,5,5,5,3,5,1,1,5,1,5,5,3,2,2,3,2,2,2,3,3,3,2,2,1,2,1,2,5,2,2,2,5,1,6,1,2,5,5,5,1,12,3,3,2
2,2,3,13,8,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,1,1,1,3,3,4,5,2,2,1,6,6,6,6,6,6,6,6,6,6,6,6,5,2,1,20,1
2,6,5,28,13,7,3,4,4,4,3,4,3,4,6,3,4,3,4,3,5,5,5,5,2,5,5,5,2,5,5,5,2,5,2,6,6,6,6,6,6,6,6,6,6,6,3,99,19,17,20,1
2,1,3,36,12,4,6,5,3,4,5,4,3,3,4,2,4,1,2,2,3,1,2,1,1,1,4,4,1,1,1,1,1,2,1,5,5,5,5,5,5,5,4,5,5,5,5,4,13,13,19,1
2,3,3,8,9,4,2,4,4,4,5,3,4,3,3,3,3,4,4,4,3,3,3,3,2,3,2,2,2,2,2,2,2,2,2,6,6,1,6,4,4,6,4,6,6,4,1,99,18,16,18,1
1,6,6,8,9,5,2,4,4,4,4,3,4,4,3,6,6,5,5,3,3,3,3,3,3,3,4,4,2,2,3,2,2,2,2,1,6,6,1,4,1,1,4,6,1,6,1,10,1,1,1,4
1,4,5,28,13,4,2,5,5,5,5,3,3,2,1,4,1,4,5,2,2,3,3,3,3,3,3,3,2,2,2,2,1,1,2,5,5,1,5,5,5,5,5,3,5,5,2,10,18,1,1,4
2,4,5,39,6,4,3,3,5,5,5,4,4,3,1,4,4,4,5,5,3,3,3,3,3,3,2,2,3,3,3,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,4
2,1,2,23,1,6,1,5,3,5,5,5,5,3,4,5,4,5,3,5,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,5,5,5,5,1,5,5,4,5,5,5,5,4,16,16,4,5
1,5,6,8,9,6,4,5,5,4,5,5,5,5,5,3,5,5,5,3,3,3,3,3,2,3,3,3,2,2,2,2,2,2,2,4,4,4,4,4,4,6,4,6,4,6,4,10,4,4,4,5
1,4,3,38,5,5,4,3,2,3,4,3,6,3,3,3,3,2,3,4,2,2,2,2,2,2,4,4,2,2,2,1,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,9,18,3,1,4
2,3,2,13,8,5,3,3,1,2,1,3,2,2,1,3,2,3,4,3,2,1,2,1,2,1,2,2,1,4,4,2,1,2,3,5,5,3,3,5,5,3,5,5,3,3,3,10,5,5,5,6
2,5,2,15,12,4,2,4,5,5,5,5,5,4,2,4,5,5,3,4,2,2,3,2,2,2,3,3,2,3,2,2,1,2,2,5,5,5,5,5,1,1,5,1,1,5,1,10,18,1,1,4
1,3,1,41,1,5,3,5,3,5,5,1,4,5,4,1,4,4,5,5,5,3,3,3,5,5,4,4,1,3,1,1,1,3,1,5,6,5,5,6,5,6,6,6,6,6,6,10,18,17,20,1
1,2,2,17,9,5,1,5,3,5,5,3,5,3,4,4,4,5,5,1,3,3,3,3,2,2,3,4,3,2,2,2,2,3,2,5,5,6,4,6,4,4,4,1,4,6,1,10,14,6,1,4
2,4,4,8,9,5,2,3,1,4,1,3,1,6,1,3,3,5,5,5,5,3,3,3,2,2,2,3,2,2,2,1,2,2,2,1,1,1,5,1,5,1,6,6,1,6,1,99,3,3,3,2
2,6,5,3,10,5,3,3,3,3,4,2,4,4,2,3,2,3,1,3,3,2,3,3,2,2,4,4,2,2,2,1,2,1,2,5,5,5,5,5,5,2,4,2,5,5,1,3,1,15,1,4
2,1,1,23,1,5,4,5,5,5,5,4,5,6,2,4,6,5,5,5,2,2,2,2,2,2,3,3,1,2,1,1,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,9,18,16,1,4
2,5,5,11,1,4,4,5,3,3,5,6,5,6,1,4,4,3,5,3,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,4
2,3,3,44,2,3,4,5,3,5,5,6,6,6,1,5,3,5,5,1,2,2,2,1,1,1,4,4,2,4,2,2,2,2,2,5,5,5,5,5,5,5,2,5,5,5,5,0,17,15,18,1
2,6,2,27,12,4,4,5,4,4,5,4,4,4,4,5,5,5,5,4,3,3,3,3,4,5,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,10,4,4,4,5
1,6,1,28,13,2,5,4,1,4,1,1,1,1,1,1,4,2,2,2,2,1,2,2,2,1,4,3,3,4,3,1,1,3,3,6,3,3,3,4,6,3,4,3,1,3,3,10,5,5,1,4
2,1,5,28,13,4,4,3,3,3,3,4,5,4,2,3,3,4,5,4,2,2,3,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,18,1
2,6,5,38,5,6,6,3,4,3,3,4,4,1,1,3,2,1,3,4,1,1,1,2,1,1,3,3,2,2,2,2,2,2,1,6,6,6,3,3,6,6,3,3,6,6,3,10,5,2,3,2
2,4,6,46,10,5,5,4,4,5,5,3,4,4,2,4,3,5,4,3,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,1,2,6,2,1,6,6,1,3,1,5,5,9,16,15,18,1
2,2,1,33,3,6,3,4,6,6,4,6,6,5,4,6,6,5,4,4,3,4,3,3,5,5,5,5,3,3,4,5,5,3,5,1,1,1,1,4,1,1,1,1,4,1,1,7,1,6,4,5
1,3,6,50,2,4,5,3,2,4,2,2,1,1,1,3,4,2,3,3,1,1,4,1,2,2,1,1,1,4,2,1,1,2,3,2,2,2,2,3,4,2,2,2,3,2,3,10,5,3,2,3
1,4,1,5,7,3,5,3,2,4,1,1,4,1,1,2,1,2,5,2,1,1,1,1,1,2,1,1,1,2,3,1,1,1,2,6,2,2,2,6,6,6,2,2,6,2,2,10,2,5,2,3
2,4,1,8,9,3,3,4,4,4,5,3,3,3,3,3,4,3,5,3,2,2,5,5,2,2,2,3,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,10,18,15,1,4
1,6,6,50,2,5,2,2,1,5,2,4,3,1,1,2,2,2,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,10,2,2,2,3
2,2,4,8,9,4,3,5,4,3,5,4,5,6,6,4,4,4,5,3,5,3,5,3,5,5,3,2,2,2,2,3,5,2,2,1,6,6,6,6,6,6,1,6,6,6,1,5,18,16,18,1
1,5,3,3,10,4,6,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,5,2,2,2,2,2,2,2,3,3,2,3,2,0,2,2,2,3
1,6,6,28,13,3,5,4,3,5,4,5,4,3,1,3,5,4,4,3,2,2,3,2,2,2,3,3,2,2,2,2,2,2,1,2,5,1,2,5,6,2,2,5,2,5,2,10,2,3,3,2
2,5,5,3,10,5,6,4,5,5,5,3,5,5,5,6,6,5,3,4,5,3,3,4,3,4,3,5,4,4,3,3,5,3,5,1,1,1,1,1,1,1,1,1,1,1,1,10,1,12,4,5
2,2,1,8,9,4,4,2,1,3,5,4,5,2,4,2,4,1,1,1,1,1,2,1,1,1,2,3,2,2,2,3,2,2,2,1,2,2,3,3,2,2,3,2,1,2,3,5,2,2,18,1
2,4,5,28,13,6,4,1,1,1,1,1,6,1,1,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,10,2,2,2,3
2,4,4,8,9,3,1,5,4,5,5,6,5,5,1,4,5,5,4,5,2,3,3,3,3,3,3,2,3,2,3,2,2,2,2,1,1,6,1,5,1,6,1,5,6,5,1,10,1,1,1,4
2,5,2,8,9,5,6,3,2,2,2,2,3,3,3,3,4,3,2,2,2,2,2,3,3,3,1,2,2,2,1,2,1,2,2,2,3,2,3,3,2,4,2,2,4,3,2,3,11,12,4,5
1,3,1,29,1,4,6,3,1,4,6,6,1,1,1,1,1,1,2,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,10,5,5,5,6
2,5,5,14,1,4,4,4,4,4,5,6,4,4,4,4,2,5,5,4,2,3,3,3,3,3,3,3,3,3,3,2,3,2,3,1,1,1,1,1,4,1,1,1,1,1,1,10,1,1,1,4
2,1,6,41,1,4,2,4,4,4,5,2,5,4,3,5,4,5,4,4,2,3,3,3,3,3,3,4,3,2,2,3,2,2,2,3,1,1,1,1,1,1,4,1,1,4,1,10,1,1,1,4
2,5,6,29,1,5,4,4,5,5,5,3,4,2,1,6,1,3,5,1,2,3,2,1,1,3,2,2,3,3,3,3,2,2,2,5,2,6,2,1,5,2,1,3,5,6,2,10,18,2,3,2
2,4,4,29,1,4,3,4,3,3,4,3,3,2,1,2,3,3,4,4,1,1,2,1,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,3,2,2,2,10,2,2,2,3
2,3,6,28,13,7,2,5,5,5,5,5,1,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5
1,4,3,13,8,4,6,4,2,4,1,3,3,2,1,2,3,1,1,3,1,2,1,1,1,2,4,3,1,3,4,1,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,7,15,15,18,1
1,1,5,28,13,4,2,4,4,4,4,5,4,4,3,6,4,4,5,3,2,2,3,3,5,3,3,3,2,2,2,2,2,3,3,6,4,6,4,6,4,6,6,3,4,6,4,2,4,4,18,1
2,6,1,32,12,3,3,1,3,1,2,3,2,2,1,1,1,4,5,3,1,1,1,1,1,1,5,5,1,1,2,1,1,1,2,6,2,2,2,5,6,5,6,5,6,5,2,10,2,2,2,3
2,6,5,26,17,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,2,3,3,3,3,4,3,3,2,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,10,18,1,18,1
2,6,6,50,2,7,1,4,3,3,4,5,5,3,3,3,4,5,5,4,2,3,3,2,1,2,3,3,1,1,2,2,1,1,4,2,2,2,2,2,2,2,2,2,2,2,2,10,2,3,3,2
2,2,6,29,1,6,2,3,2,2,4,3,3,4,4,4,2,4,2,4,3,1,3,2,3,2,3,4,2,1,2,3,4,2,4,2,1,2,2,1,2,2,1,1,2,2,2,5,1,1,1,4
2,2,5,14,1,6,5,5,5,5,5,5,5,5,2,5,5,4,4,5,2,3,3,3,2,4,4,2,2,2,3,2,2,3,3,1,4,6,1,4,6,6,4,6,1,5,1,10,4,4,4,5
1,5,1,41,1,4,2,5,5,5,5,5,4,3,3,5,2,4,5,4,3,3,3,3,3,3,2,5,2,2,3,2,1,2,2,1,5,1,1,5,5,6,1,4,1,1,1,8,1,1,1,4
1,2,6,8,9,6,3,3,3,3,3,1,3,3,1,4,2,2,2,2,2,2,2,1,2,2,4,4,1,3,2,2,2,1,2,5,5,1,5,5,5,4,2,5,5,3,5,10,3,3,3,2
2,4,3,8,9,4,1,1,4,1,3,1,3,3,3,2,2,3,3,2,2,2,3,2,2,1,3,5,2,2,2,2,5,2,2,5,5,5,5,5,5,5,5,5,5,5,5,10,16,17,20,1
1,3,5,37,7,4,4,4,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,10,5,5,5,6
1,5,5,8,9,6,2,4,4,3,5,3,5,3,4,3,3,3,3,4,2,3,3,3,3,3,3,3,3,3,2,2,2,3,2,4,4,4,4,4,4,4,4,4,4,5,4,10,4,4,4,5
1,5,1,18,1,4,6,2,3,3,2,3,2,2,2,3,2,2,3,3,1,1,2,2,2,2,2,3,1,2,1,1,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,9,5,5,5,6
2,2,1,41,1,6,2,5,4,4,5,4,4,4,1,4,4,5,4,2,2,2,4,3,2,3,1,2,2,3,1,2,2,3,1,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,4
2,4,6,50,2,5,3,5,5,5,5,5,5,5,3,5,5,5,5,5,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,6,1,1,1,10,1,1,1,4
2,2,6,8,9,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,0,17,15,18,1
1,6,3,43,9,6,5,4,4,4,4,3,3,4,3,4,4,5,5,4,4,4,3,4,3,4,2,3,3,3,3,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,0,17,1,18,1
1,4,6,50,2,7,3,5,5,4,5,5,5,6,1,6,2,5,3,1,3,3,4,4,2,2,4,4,2,4,3,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,5,10,10,4,5
1,3,5,14,1,4,2,5,4,5,5,2,3,3,3,4,3,4,5,4,3,2,3,3,2,3,3,5,3,3,3,2,2,2,2,5,1,1,1,4,4,1,4,4,4,4,4,10,6,6,4,5
2,4,2,6,11,4,2,5,5,5,4,5,5,6,3,6,5,4,5,5,2,3,3,5,3,3,3,3,2,2,3,2,2,3,2,6,6,2,6,5,5,5,6,6,6,5,2,10,18,2,20,1
1,3,3,8,9,3,7,5,4,3,5,5,5,5,5,1,4,5,4,5,1,3,2,5,1,4,4,4,4,4,1,2,2,1,1,1,1,1,1,1,3,1,1,2,1,3,1,10,1,1,1,4
2,5,5,3,10,3,5,4,4,5,4,4,4,3,2,3,3,5,5,4,3,3,3,3,3,3,4,4,3,2,3,3,2,3,2,1,1,1,1,4,1,1,4,6,1,4,1,10,1,16,1,4
1,4,6,46,10,4,4,4,5,5,4,4,4,3,3,3,4,3,4,5,2,2,3,2,1,3,4,4,2,3,2,1,2,3,4,1,5,6,5,1,5,1,1,5,5,5,2,10,14,1,1,4
2,4,4,33,3,5,7,4,3,3,4,6,6,6,3,6,3,2,2,3,5,2,5,5,5,5,5,5,2,2,2,5,2,5,2,6,6,6,6,6,6,6,6,6,6,6,6,5,18,16,1,4
2,4,2,21,1,4,3,5,5,5,6,4,5,6,2,4,4,4,4,3,2,2,3,3,3,3,2,2,2,3,3,2,2,2,1,6,1,6,1,4,6,6,1,5,1,1,2,9,18,16,1,4
2,4,6,46,10,4,4,4,4,4,5,3,5,4,4,4,4,4,5,4,2,3,3,3,3,3,1,2,2,2,2,2,3,2,2,1,1,1,1,4,4,2,4,4,4,5,1,10,4,4,4,5
2,3,4,8,9,7,1,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,99,19,17,20,1
2,5,1,43,9,6,2,4,4,3,4,3,4,4,3,3,3,4,4,4,2,2,3,3,2,2,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,4
1,5,6,8,9,4,4,5,5,4,1,1,3,1,1,1,1,2,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,3,1,2,2,2,2,2,2,2,2,3,2,2,2,10,2,2,2,3
1,5,5,8,9,5,4,5,5,5,3,3,5,3,5,4,2,5,1,2,3,1,3,3,3,3,4,4,4,1,1,1,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,10,5,5,5,6
1,3,5,28,13,6,3,1,1,1,4,4,1,4,1,2,2,5,1,1,1,1,1,1,1,2,1,1,1,3,3,1,2,1,1,2,2,2,2,3,3,2,3,3,2,2,3,10,2,5,2,3
2,5,3,3,10,6,6,5,3,5,4,5,5,4,5,4,4,5,5,4,3,3,3,3,3,4,3,2,3,2,3,3,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,10,4,4,4,5
1,3,5,38,5,4,6,4,4,4,5,5,4,4,3,5,4,4,4,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,2,1,3,1,2,3,2,4,10,1,1,1,4
1,6,5,11,1,3,6,3,3,3,4,3,3,3,2,3,3,4,4,3,2,2,3,3,2,2,4,4,2,2,2,2,3,2,2,4,2,2,2,2,4,2,4,2,2,4,4,10,2,4,4,5
2,4,4,11,1,4,7,4,6,2,6,6,6,6,6,3,3,4,4,3,2,2,3,5,2,2,3,3,2,2,2,2,2,2,2,6,2,2,2,2,6,2,6,6,6,6,2,10,2,2,20,1
2,4,4,46,10,2,4,2,3,2,3,3,2,3,3,2,2,4,4,3,4,2,2,2,1,3,2,2,1,1,1,1,2,2,1,5,5,5,5,5,5,5,5,5,5,5,5,3,15,2,2,3
1,5,4,3,10,4,5,5,5,5,5,5,4,5,3,3,5,5,5,5,3,2,2,2,2,1,4,2,2,3,2,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,10,2,2,2,3
1,5,1,50,2,4,4,4,2,2,4,3,3,1,3,3,1,4,4,3,2,2,3,3,2,3,3,3,4,3,1,2,3,3,4,5,2,5,2,2,5,2,3,5,2,2,3,10,3,3,3,2
1,6,4,45,8,6,1,3,2,3,3,3,3,3,2,4,2,3,3,2,2,2,2,2,2,2,3,3,2,2,2,2,1,2,2,5,6,6,5,4,2,6,5,2,4,1,6,99,18,2,2,3
2,5,6,28,13,4,6,2,5,4,4,3,5,3,2,3,2,4,5,4,2,2,3,2,2,2,3,3,2,2,2,2,2,2,3,2,6,1,1,1,6,6,1,5,6,2,1,7,18,17,1,4
1,2,3,30,14,5,6,2,1,6,4,1,4,6,1,6,6,6,6,6,1,3,2,5,2,2,4,4,2,5,2,2,5,1,2,6,6,6,6,6,6,6,6,6,6,6,6,10,15,16,4,5
1,5,5,21,1,4,5,5,5,4,4,5,5,4,2,5,5,4,5,5,3,3,2,2,1,2,3,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,2,2,10,2,2,2,3
2,4,2,46,10,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,99,19,16,19,1
1,6,5,43,9,4,5,3,1,1,1,1,1,3,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,3,3,3,3,3,3,3,3,5,3,10,5,15,5,6
2,5,4,38,5,5,5,3,4,4,4,3,5,2,1,3,3,4,3,3,2,2,5,2,1,3,2,5,2,2,2,5,2,2,1,6,6,5,6,3,6,6,3,6,6,6,6,10,19,5,20,1
2,2,6,46,10,6,1,4,5,4,4,4,4,3,2,5,5,5,5,5,3,3,2,3,2,2,3,4,4,3,3,3,4,3,4,1,1,1,1,4,1,1,4,4,1,1,2,8,5,5,5,6
2,5,5,30,14,4,4,1,3,1,3,2,3,4,1,1,1,2,2,3,2,2,3,2,1,2,2,3,1,1,1,2,2,1,2,6,2,5,6,6,6,1,2,6,6,6,2,5,18,16,1,4
1,5,2,39,6,4,2,4,3,2,3,3,3,2,1,3,2,3,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,10,2,2,2,3
1,4,5,8,9,4,4,5,4,4,4,3,3,1,1,3,3,4,4,1,2,3,2,1,2,2,2,2,2,3,2,1,1,2,2,6,2,2,2,5,5,2,4,2,6,3,3,10,2,3,2,3
2,5,4,23,1,4,4,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,3,3,3,3,3,2,3,3,3,3,3,10,5,5,2,3
1,4,3,33,3,4,6,4,3,4,4,4,4,4,3,4,4,4,4,4,2,2,3,3,3,5,5,3,2,2,3,2,2,2,3,1,5,1,1,4,1,1,4,5,4,5,5,10,18,16,18,1
1,6,6,8,9,5,5,5,4,4,2,4,5,4,2,3,4,3,4,4,1,2,2,2,2,2,2,3,2,2,2,2,2,3,2,6,3,2,2,2,3,2,2,2,2,2,3,6,3,3,3,2
1,6,6,28,13,6,2,4,3,3,3,3,2,3,2,3,3,2,3,3,2,2,2,1,1,1,3,3,2,1,1,2,1,1,2,5,5,5,5,5,5,5,5,5,5,5,5,0,17,17,18,1
2,3,1,17,9,3,7,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,4,19,17,19,1
1,4,1,24,7,3,7,4,4,3,4,5,3,4,4,3,4,4,4,4,2,3,2,2,3,4,3,2,3,2,2,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,5,6
2,4,1,23,1,6,4,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,5,5,5,4,3,3,4,3,3,3,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,18,17,18,1
2,6,5,37,7,5,5,4,2,4,1,3,6,2,1,2,4,4,3,1,2,2,2,2,2,2,3,1,2,2,2,2,1,2,1,5,2,5,5,5,1,6,1,2,1,5,5,3,16,15,18,1
2,2,5,25,9,5,3,4,5,6,3,5,4,6,3,6,4,5,4,4,3,3,3,4,3,4,3,3,3,4,2,5,5,4,4,6,6,6,6,6,6,3,4,6,6,6,6,6,17,16,18,1
1,3,1,20,16,3,1,1,1,1,3,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,0,17,15,18,1
1,5,5,33,3,1,7,4,2,4,3,2,4,4,2,4,4,2,4,3,3,3,3,3,3,4,3,4,2,2,2,2,2,2,2,5,1,1,1,4,6,1,4,1,4,6,6,10,1,1,1,4
1,1,4,13,8,4,4,1,3,3,5,4,1,2,1,1,1,5,4,3,1,1,2,2,3,2,5,3,1,4,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,17,2,19,1
2,5,4,10,11,5,5,5,2,4,1,6,2,2,1,1,2,3,3,2,2,1,2,1,1,2,2,1,2,5,1,1,2,1,2,6,6,6,5,5,5,5,5,3,5,3,3,99,19,5,5,6
2,6,3,28,13,6,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,4,4,4,5,5,4,3,3,3,5,4,3,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,4
2,1,6,29,1,4,2,5,5,5,5,4,5,1,3,3,5,5,3,1,3,2,3,3,2,2,4,4,2,2,1,1,1,1,1,1,1,1,1,1,4,1,4,1,4,1,6,10,1,4,18,1
2,5,6,8,9,6,6,4,3,4,4,4,4,6,3,3,3,4,4,3,2,2,3,3,2,3,3,3,2,2,2,2,2,2,2,6,6,6,2,4,4,1,1,6,6,6,1,10,18,17,20,1
1,6,1,14,1,8,2,5,5,5,5,4,5,4,3,5,4,4,5,5,2,2,3,3,3,3,5,5,3,2,2,5,2,2,2,6,6,6,6,4,6,6,6,6,6,6,6,10,18,15,18,1
2,3,1,50,2,4,5,4,3,4,5,5,5,3,1,3,3,4,4,4,1,2,2,2,1,1,5,4,2,2,2,3,3,3,5,5,5,2,1,1,6,5,1,5,6,5,6,6,14,14,3,2
