Emo,CLDR Short Name,Other Keywords,theme,category,№,Code,sentimiento,confianzaSentimiento
🧟‍♂️,man zombie,man zombie | undead | walking dead,People & Body,person-fantasy,353,U+1F9DF U+200D U+2642 U+FE0F,NEGATIVE,0.9970959424972534
🧟‍♀️,woman zombie,undead | walking dead | woman zombie,People & Body,person-fantasy,354,U+1F9DF U+200D U+2640 U+FE0F,NEGATIVE,0.9996067881584167
💆,person getting massage,face | massage | person getting massage | salon,People & Body,person-activity,355,U+1F486,POSITIVE,0.9972713589668274
💆‍♂️,man getting massage,face | man | man getting massage | massage,People & Body,person-activity,356,U+1F486 U+200D U+2642 U+FE0F,POSITIVE,0.9994850158691406
💆‍♀️,woman getting massage,face | massage | woman | woman getting massage,People & Body,person-activity,357,U+1F486 U+200D U+2640 U+FE0F,POSITIVE,0.9984616041183472
💇,person getting haircut,barber | beauty | haircut | parlor | person getting haircut,People & Body,person-activity,358,U+1F487,POSITIVE,0.9928368926048279
💇‍♂️,man getting haircut,haircut | man | man getting haircut,People & Body,person-activity,359,U+1F487 U+200D U+2642 U+FE0F,NEGATIVE,0.929257869720459
💇‍♀️,woman getting haircut,haircut | woman | woman getting haircut,People & Body,person-activity,360,U+1F487 U+200D U+2640 U+FE0F,NEGATIVE,0.9251362085342407
🚶,person walking,hike | person walking | walk | walking,People & Body,person-activity,361,U+1F6B6,POSITIVE,0.9851652383804321
🚶‍♂️,man walking,hike | man | man walking | walk,People & Body,person-activity,362,U+1F6B6 U+200D U+2642 U+FE0F,POSITIVE,0.9952468276023865
🚶‍♀️,woman walking,hike | walk | woman | woman walking,People & Body,person-activity,363,U+1F6B6 U+200D U+2640 U+FE0F,POSITIVE,0.9968582391738892
🧍,person standing,person standing | stand | standing,People & Body,person-activity,364,U+1F9CD,POSITIVE,0.9996728897094727
🧍‍♂️,man standing,man | standing,People & Body,person-activity,365,U+1F9CD U+200D U+2642 U+FE0F,POSITIVE,0.9996803998947144
🧍‍♀️,woman standing,standing | woman,People & Body,person-activity,366,U+1F9CD U+200D U+2640 U+FE0F,POSITIVE,0.9996529817581177
🧎,person kneeling,kneel | kneeling | person kneeling,People & Body,person-activity,367,U+1F9CE,NEGATIVE,0.9949709177017212
🧎‍♂️,man kneeling,kneeling | man,People & Body,person-activity,368,U+1F9CE U+200D U+2642 U+FE0F,NEGATIVE,0.9184264540672302
🧎‍♀️,woman kneeling,kneeling | woman,People & Body,person-activity,369,U+1F9CE U+200D U+2640 U+FE0F,NEGATIVE,0.9815239310264587
🧑‍🦯,⊛ person with white cane,accessibility | blind | person with white cane,People & Body,person-activity,370,U+1F9D1 U+200D U+1F9AF,POSITIVE,0.5440151691436768
👨‍🦯,man with white cane,accessibility | blind | man | man with white cane,People & Body,person-activity,371,U+1F468 U+200D U+1F9AF,POSITIVE,0.8378154635429382
👩‍🦯,woman with white cane,accessibility | blind | woman | woman with white cane,People & Body,person-activity,372,U+1F469 U+200D U+1F9AF,POSITIVE,0.7590094804763794
🧑‍🦼,⊛ person in motorized wheelchair,accessibility | person in motorized wheelchair | wheelchair,People & Body,person-activity,373,U+1F9D1 U+200D U+1F9BC,POSITIVE,0.9894102811813354
👨‍🦼,man in motorized wheelchair,accessibility | man | man in motorized wheelchair | wheelchair,People & Body,person-activity,374,U+1F468 U+200D U+1F9BC,POSITIVE,0.9942208528518677
👩‍🦼,woman in motorized wheelchair,accessibility | wheelchair | woman | woman in motorized wheelchair,People & Body,person-activity,375,U+1F469 U+200D U+1F9BC,POSITIVE,0.9774277210235596
🧑‍🦽,⊛ person in manual wheelchair,accessibility | person in manual wheelchair | wheelchair,People & Body,person-activity,376,U+1F9D1 U+200D U+1F9BD,POSITIVE,0.98232102394104
👨‍🦽,man in manual wheelchair,accessibility | man | man in manual wheelchair | wheelchair,People & Body,person-activity,377,U+1F468 U+200D U+1F9BD,POSITIVE,0.9906027317047119
👩‍🦽,woman in manual wheelchair,accessibility | wheelchair | woman | woman in manual wheelchair,People & Body,person-activity,378,U+1F469 U+200D U+1F9BD,POSITIVE,0.9583929181098938
🏃,person running,marathon | person running | running,People & Body,person-activity,379,U+1F3C3,POSITIVE,0.9937887787818909
🏃‍♂️,man running,man | marathon | racing | running,People & Body,person-activity,380,U+1F3C3 U+200D U+2642 U+FE0F,POSITIVE,0.9979490637779236
🏃‍♀️,woman running,marathon | racing | running | woman,People & Body,person-activity,381,U+1F3C3 U+200D U+2640 U+FE0F,POSITIVE,0.9968137145042419
💃,woman dancing,dancing | woman,People & Body,person-activity,382,U+1F483,POSITIVE,0.99980229139328
🕺,man dancing,dance | man | man dancing,People & Body,person-activity,383,U+1F57A,POSITIVE,0.9999551773071289
🕴,person in suit levitating,business | person | person in suit levitating | suit,People & Body,person-activity,384,U+1F574,POSITIVE,0.9690982103347778
👯,people with bunny ears,bunny ear | dancer | partying | people with bunny ears,People & Body,person-activity,385,U+1F46F,POSITIVE,0.9961607456207275
👯‍♂️,men with bunny ears,bunny ear | dancer | men | men with bunny ears | partying,People & Body,person-activity,386,U+1F46F U+200D U+2642 U+FE0F,POSITIVE,0.984649121761322
👯‍♀️,women with bunny ears,bunny ear | dancer | partying | women | women with bunny ears,People & Body,person-activity,387,U+1F46F U+200D U+2640 U+FE0F,POSITIVE,0.9961349964141846
🧖,person in steamy room,person in steamy room | sauna | steam room | hamam | steambath,People & Body,person-activity,388,U+1F9D6,POSITIVE,0.9828823804855347
🧖‍♂️,man in steamy room,man in steamy room | sauna | steam room,People & Body,person-activity,389,U+1F9D6 U+200D U+2642 U+FE0F,POSITIVE,0.9976584911346436
🧖‍♀️,woman in steamy room,sauna | steam room | woman in steamy room,People & Body,person-activity,390,U+1F9D6 U+200D U+2640 U+FE0F,POSITIVE,0.9942917823791504
🧗,person climbing,climber | person climbing,People & Body,person-activity,391,U+1F9D7,POSITIVE,0.9990401864051819
🧗‍♂️,man climbing,climber | man climbing,People & Body,person-activity,392,U+1F9D7 U+200D U+2642 U+FE0F,POSITIVE,0.9980438947677612
🧗‍♀️,woman climbing,climber | woman climbing,People & Body,person-activity,393,U+1F9D7 U+200D U+2640 U+FE0F,POSITIVE,0.9969956874847412
🤺,person fencing,fencer | fencing | person fencing | sword,People & Body,person-sport,394,U+1F93A,POSITIVE,0.9929670095443726
🏇,horse racing,horse | jockey | racehorse | racing,People & Body,person-sport,395,U+1F3C7,POSITIVE,0.978524386882782
⛷,skier,ski | skier | snow,People & Body,person-sport,396,U+26F7,POSITIVE,0.9843500852584839
🏂,snowboarder,ski | snow | snowboard | snowboarder,People & Body,person-sport,397,U+1F3C2,POSITIVE,0.9994091987609863
🏌,person golfing,ball | golf | person golfing,People & Body,person-sport,398,U+1F3CC,POSITIVE,0.9909534454345703
🏌️‍♂️,man golfing,golf | man | man golfing,People & Body,person-sport,399,U+1F3CC U+FE0F U+200D U+2642 U+FE0F,POSITIVE,0.9937698245048523
🏌️‍♀️,woman golfing,golf | woman | woman golfing,People & Body,person-sport,400,U+1F3CC U+FE0F U+200D U+2640 U+FE0F,POSITIVE,0.9544679522514343
🏄,person surfing,person surfing | surfing,People & Body,person-sport,401,U+1F3C4,NEGATIVE,0.9839572906494141
🏄‍♂️,man surfing,man | surfing,People & Body,person-sport,402,U+1F3C4 U+200D U+2642 U+FE0F,POSITIVE,0.982150673866272
🏄‍♀️,woman surfing,surfing | woman,People & Body,person-sport,403,U+1F3C4 U+200D U+2640 U+FE0F,NEGATIVE,0.9520106911659241
🚣,person rowing boat,boat | person rowing boat | rowboat,People & Body,person-sport,404,U+1F6A3,POSITIVE,0.9639824628829956
🚣‍♂️,man rowing boat,boat | man | man rowing boat | rowboat,People & Body,person-sport,405,U+1F6A3 U+200D U+2642 U+FE0F,POSITIVE,0.9895479679107666
🚣‍♀️,woman rowing boat,boat | rowboat | woman | woman rowing boat,People & Body,person-sport,406,U+1F6A3 U+200D U+2640 U+FE0F,POSITIVE,0.9766526222229004
🏊,person swimming,person swimming | swim,People & Body,person-sport,407,U+1F3CA,POSITIVE,0.8928617835044861
🏊‍♂️,man swimming,man | man swimming | swim,People & Body,person-sport,408,U+1F3CA U+200D U+2642 U+FE0F,POSITIVE,0.9938451051712036
🏊‍♀️,woman swimming,swim | woman | woman swimming,People & Body,person-sport,409,U+1F3CA U+200D U+2640 U+FE0F,POSITIVE,0.7464752197265625
⛹,person bouncing ball,ball | person bouncing ball,People & Body,person-sport,410,U+26F9,NEGATIVE,0.9846280813217163
⛹️‍♂️,man bouncing ball,ball | man | man bouncing ball,People & Body,person-sport,411,U+26F9 U+FE0F U+200D U+2642 U+FE0F,POSITIVE,0.8260883092880249
⛹️‍♀️,woman bouncing ball,ball | woman | woman bouncing ball,People & Body,person-sport,412,U+26F9 U+FE0F U+200D U+2640 U+FE0F,POSITIVE,0.7572913765907288
🏋,person lifting weights,lifter | person lifting weights | weight,People & Body,person-sport,413,U+1F3CB,POSITIVE,0.9564387798309326
🏋️‍♂️,man lifting weights,man | man lifting weights | weight lifter,People & Body,person-sport,414,U+1F3CB U+FE0F U+200D U+2642 U+FE0F,POSITIVE,0.9784494042396545
🏋️‍♀️,woman lifting weights,weight lifter | woman | woman lifting weights,People & Body,person-sport,415,U+1F3CB U+FE0F U+200D U+2640 U+FE0F,POSITIVE,0.9407748579978943
🚴,person biking,bicycle | biking | cyclist | person biking,People & Body,person-sport,416,U+1F6B4,POSITIVE,0.9974361062049866
🚴‍♂️,man biking,bicycle | biking | cyclist | man,People & Body,person-sport,417,U+1F6B4 U+200D U+2642 U+FE0F,POSITIVE,0.9993194341659546
🚴‍♀️,woman biking,bicycle | biking | cyclist | woman,People & Body,person-sport,418,U+1F6B4 U+200D U+2640 U+FE0F,POSITIVE,0.9980195760726929
🚵,person mountain biking,bicycle | bicyclist | bike | cyclist | mountain | person mountain biking,People & Body,person-sport,419,U+1F6B5,POSITIVE,0.9961207509040833
🚵‍♂️,man mountain biking,bicycle | bike | cyclist | man | man mountain biking | mountain,People & Body,person-sport,420,U+1F6B5 U+200D U+2642 U+FE0F,POSITIVE,0.9988021850585938
🚵‍♀️,woman mountain biking,bicycle | bike | biking | cyclist | mountain | woman,People & Body,person-sport,421,U+1F6B5 U+200D U+2640 U+FE0F,POSITIVE,0.9990414977073669
🤸,person cartwheeling,cartwheel | gymnastics | person cartwheeling,People & Body,person-sport,422,U+1F938,NEGATIVE,0.834766685962677
🤸‍♂️,man cartwheeling,cartwheel | gymnastics | man | man cartwheeling,People & Body,person-sport,423,U+1F938 U+200D U+2642 U+FE0F,POSITIVE,0.9153522253036499
🤸‍♀️,woman cartwheeling,cartwheel | gymnastics | woman | woman cartwheeling,People & Body,person-sport,424,U+1F938 U+200D U+2640 U+FE0F,POSITIVE,0.9284825921058655
🤼,people wrestling,people wrestling | wrestle | wrestler,People & Body,person-sport,425,U+1F93C,POSITIVE,0.965857982635498
🤼‍♂️,men wrestling,men | men wrestling | wrestle,People & Body,person-sport,426,U+1F93C U+200D U+2642 U+FE0F,POSITIVE,0.6029316782951355
🤼‍♀️,women wrestling,women | women wrestling | wrestle,People & Body,person-sport,427,U+1F93C U+200D U+2640 U+FE0F,POSITIVE,0.9483343362808228
🤽,person playing water polo,person playing water polo | polo | water,People & Body,person-sport,428,U+1F93D,POSITIVE,0.9629789590835571
🤽‍♂️,man playing water polo,man | man playing water polo | water polo,People & Body,person-sport,429,U+1F93D U+200D U+2642 U+FE0F,POSITIVE,0.9620271921157837
🤽‍♀️,woman playing water polo,water polo | woman | woman playing water polo,People & Body,person-sport,430,U+1F93D U+200D U+2640 U+FE0F,POSITIVE,0.8046602606773376
🤾,person playing handball,ball | handball | person playing handball,People & Body,person-sport,431,U+1F93E,POSITIVE,0.9706210494041443
🤾‍♂️,man playing handball,handball | man | man playing handball,People & Body,person-sport,432,U+1F93E U+200D U+2642 U+FE0F,POSITIVE,0.9554067850112915
🤾‍♀️,woman playing handball,handball | woman | woman playing handball,People & Body,person-sport,433,U+1F93E U+200D U+2640 U+FE0F,POSITIVE,0.76146399974823
🤹,person juggling,balance | juggle | multitask | person juggling | skill,People & Body,person-sport,434,U+1F939,POSITIVE,0.9998689889907837
🤹‍♂️,man juggling,juggling | man | multitask,People & Body,person-sport,435,U+1F939 U+200D U+2642 U+FE0F,POSITIVE,0.9997344613075256
🤹‍♀️,woman juggling,juggling | multitask | woman,People & Body,person-sport,436,U+1F939 U+200D U+2640 U+FE0F,POSITIVE,0.9994803071022034
🧘,person in lotus position,meditation | person in lotus position | yoga | serenity,People & Body,person-resting,437,U+1F9D8,POSITIVE,0.9995077848434448
🧘‍♂️,man in lotus position,man in lotus position | meditation | yoga,People & Body,person-resting,438,U+1F9D8 U+200D U+2642 U+FE0F,POSITIVE,0.9994144439697266
🧘‍♀️,woman in lotus position,meditation | woman in lotus position | yoga,People & Body,person-resting,439,U+1F9D8 U+200D U+2640 U+FE0F,POSITIVE,0.9996127486228943
🛀,person taking bath,bath | bathtub | person taking bath,People & Body,person-resting,440,U+1F6C0,POSITIVE,0.9380739331245422
🛌,person in bed,hotel | person in bed | sleep,People & Body,person-resting,441,U+1F6CC,NEGATIVE,0.9046359658241272
🧑‍🤝‍🧑,people holding hands,couple | hand | hold | holding hands | people holding hands | person,People & Body,family,442,U+1F9D1 U+200D U+1F91D U+200D U+1F9D1,POSITIVE,0.9994829893112183
👭,women holding hands,couple | hand | holding hands | women | women holding hands,People & Body,family,443,U+1F46D,POSITIVE,0.9988709092140198
👫,woman and man holding hands,couple | hand | hold | holding hands | man | woman | woman and man holding hands,People & Body,family,444,U+1F46B,POSITIVE,0.9997038245201111
👬,men holding hands,couple | Gemini | holding hands | man | men | men holding hands | twins | zodiac,People & Body,family,445,U+1F46C,POSITIVE,0.9987103939056396
💏,kiss,couple | kiss,People & Body,family,446,U+1F48F,POSITIVE,0.9996337890625
👩‍❤️‍💋‍👨,kiss: woman; man,couple | kiss | man | woman,People & Body,family,447,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,POSITIVE,0.9998522996902466
👨‍❤️‍💋‍👨,kiss: man; man,couple | kiss | man,People & Body,family,448,U+1F468 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,POSITIVE,0.9998542070388794
👩‍❤️‍💋‍👩,kiss: woman; woman,couple | kiss | woman,People & Body,family,449,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469,POSITIVE,0.9998763799667358
💑,couple with heart,couple | couple with heart | love,People & Body,family,450,U+1F491,POSITIVE,0.9988698363304138
👩‍❤️‍👨,couple with heart: woman; man,couple | couple with heart | love | man | woman,People & Body,family,451,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F468,POSITIVE,0.9996684789657593
👨‍❤️‍👨,couple with heart: man; man,couple | couple with heart | love | man,People & Body,family,452,U+1F468 U+200D U+2764 U+FE0F U+200D U+1F468,POSITIVE,0.9995606541633606
👩‍❤️‍👩,couple with heart: woman; woman,couple | couple with heart | love | woman,People & Body,family,453,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F469,POSITIVE,0.9995285272598267
👪,family,family,People & Body,family,454,U+1F46A,POSITIVE,0.9954735636711121
👨‍👩‍👦,family: man; woman; boy,boy | family | man | woman,People & Body,family,455,U+1F468 U+200D U+1F469 U+200D U+1F466,POSITIVE,0.997412383556366
👨‍👩‍👧,family: man; woman; girl,family | girl | man | woman,People & Body,family,456,U+1F468 U+200D U+1F469 U+200D U+1F467,POSITIVE,0.998819887638092
👨‍👩‍👧‍👦,family: man; woman; girl; boy,boy | family | girl | man | woman,People & Body,family,457,U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,POSITIVE,0.9950025677680969
👨‍👩‍👦‍👦,family: man; woman; boy; boy,boy | family | man | woman,People & Body,family,458,U+1F468 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,POSITIVE,0.997412383556366
👨‍👩‍👧‍👧,family: man; woman; girl; girl,family | girl | man | woman,People & Body,family,459,U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,POSITIVE,0.998819887638092
👨‍👨‍👦,family: man; man; boy,boy | family | man,People & Body,family,460,U+1F468 U+200D U+1F468 U+200D U+1F466,POSITIVE,0.9976578950881958
👨‍👨‍👧,family: man; man; girl,family | girl | man,People & Body,family,461,U+1F468 U+200D U+1F468 U+200D U+1F467,POSITIVE,0.9989055395126343
👨‍👨‍👧‍👦,family: man; man; girl; boy,boy | family | girl | man,People & Body,family,462,U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F466,POSITIVE,0.9946014881134033
👨‍👨‍👦‍👦,family: man; man; boy; boy,boy | family | man,People & Body,family,463,U+1F468 U+200D U+1F468 U+200D U+1F466 U+200D U+1F466,POSITIVE,0.9976578950881958
👨‍👨‍👧‍👧,family: man; man; girl; girl,family | girl | man,People & Body,family,464,U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F467,POSITIVE,0.9989055395126343
👩‍👩‍👦,family: woman; woman; boy,boy | family | woman,People & Body,family,465,U+1F469 U+200D U+1F469 U+200D U+1F466,POSITIVE,0.9955145716667175
👩‍👩‍👧,family: woman; woman; girl,family | girl | woman,People & Body,family,466,U+1F469 U+200D U+1F469 U+200D U+1F467,POSITIVE,0.9987488985061646
👩‍👩‍👧‍👦,family: woman; woman; girl; boy,boy | family | girl | woman,People & Body,family,467,U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,POSITIVE,0.9907031059265137
👩‍👩‍👦‍👦,family: woman; woman; boy; boy,boy | family | woman,People & Body,family,468,U+1F469 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,POSITIVE,0.9955145716667175
👩‍👩‍👧‍👧,family: woman; woman; girl; girl,family | girl | woman,People & Body,family,469,U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,POSITIVE,0.9987488985061646
👨‍👦,family: man; boy,boy | family | man,People & Body,family,470,U+1F468 U+200D U+1F466,POSITIVE,0.9976578950881958
👨‍👦‍👦,family: man; boy; boy,boy | family | man,People & Body,family,471,U+1F468 U+200D U+1F466 U+200D U+1F466,POSITIVE,0.9976578950881958
👨‍👧,family: man; girl,family | girl | man,People & Body,family,472,U+1F468 U+200D U+1F467,POSITIVE,0.9989055395126343
👨‍👧‍👦,family: man; girl; boy,boy | family | girl | man,People & Body,family,473,U+1F468 U+200D U+1F467 U+200D U+1F466,POSITIVE,0.9946014881134033
👨‍👧‍👧,family: man; girl; girl,family | girl | man,People & Body,family,474,U+1F468 U+200D U+1F467 U+200D U+1F467,POSITIVE,0.9989055395126343
👩‍👦,family: woman; boy,boy | family | woman,People & Body,family,475,U+1F469 U+200D U+1F466,POSITIVE,0.9955145716667175
👩‍👦‍👦,family: woman; boy; boy,boy | family | woman,People & Body,family,476,U+1F469 U+200D U+1F466 U+200D U+1F466,POSITIVE,0.9955145716667175
👩‍👧,family: woman; girl,family | girl | woman,People & Body,family,477,U+1F469 U+200D U+1F467,POSITIVE,0.9987488985061646
👩‍👧‍👦,family: woman; girl; boy,boy | family | girl | woman,People & Body,family,478,U+1F469 U+200D U+1F467 U+200D U+1F466,POSITIVE,0.9907031059265137
👩‍👧‍👧,family: woman; girl; girl,family | girl | woman,People & Body,family,479,U+1F469 U+200D U+1F467 U+200D U+1F467,POSITIVE,0.9987488985061646
🗣,speaking head,face | head | silhouette | speak | speaking,People & Body,person-symbol,480,U+1F5E3,POSITIVE,0.9839231371879578
👤,bust in silhouette,bust | bust in silhouette | silhouette,People & Body,person-symbol,481,U+1F464,NEGATIVE,0.9579222798347473
👥,busts in silhouette,bust | busts in silhouette | silhouette,People & Body,person-symbol,482,U+1F465,NEGATIVE,0.5440047979354858
👣,footprints,clothing | footprint | footprints | print,People & Body,person-symbol,483,U+1F463,NEGATIVE,0.5297755002975464
🦰,red hair,ginger | red hair | redhead,Component,hair-style,484,U+1F9B0,POSITIVE,0.9929916858673096
🦱,curly hair,afro | curly | curly hair | ringlets,Component,hair-style,485,U+1F9B1,POSITIVE,0.9962982535362244
🦳,white hair,gray | hair | old | white,Component,hair-style,486,U+1F9B3,NEGATIVE,0.9972394704818726
🦲,bald,bald | chemotherapy | hairless | no hair | shaven,Component,hair-style,487,U+1F9B2,NEGATIVE,0.9998883008956909
🐵,monkey face,face | monkey,Animals & Nature,animal-mammal,488,U+1F435,NEGATIVE,0.7850355505943298
🐒,monkey,monkey,Animals & Nature,animal-mammal,489,U+1F412,NEGATIVE,0.5567626953125
🦍,gorilla,gorilla,Animals & Nature,animal-mammal,490,U+1F98D,NEGATIVE,0.5541907548904419
🦧,orangutan,ape | orangutan,Animals & Nature,animal-mammal,491,U+1F9A7,NEGATIVE,0.9790909886360168
🐶,dog face,dog | face | pet,Animals & Nature,animal-mammal,492,U+1F436,POSITIVE,0.9831311702728271
🐕,dog,dog | pet,Animals & Nature,animal-mammal,493,U+1F415,POSITIVE,0.9445156455039978
🦮,guide dog,accessibility | blind | guide | guide dog,Animals & Nature,animal-mammal,494,U+1F9AE,POSITIVE,0.9846928119659424
🐕‍🦺,service dog,accessibility | assistance | dog | service,Animals & Nature,animal-mammal,495,U+1F415 U+200D U+1F9BA,POSITIVE,0.994782030582428
🐩,poodle,dog | poodle,Animals & Nature,animal-mammal,496,U+1F429,POSITIVE,0.9165183901786804
🐺,wolf,face | wolf,Animals & Nature,animal-mammal,497,U+1F43A,NEGATIVE,0.9399059414863586
🦊,fox,face | fox,Animals & Nature,animal-mammal,498,U+1F98A,POSITIVE,0.7781370282173157
🦝,raccoon,curious | raccoon | sly,Animals & Nature,animal-mammal,499,U+1F99D,POSITIVE,0.9994658827781677
🐱,cat face,cat | face | pet,Animals & Nature,animal-mammal,500,U+1F431,POSITIVE,0.9799632430076599
🐈,cat,cat | pet,Animals & Nature,animal-mammal,501,U+1F408,POSITIVE,0.9473123550415039
🦁,lion,face | Leo | lion | zodiac,Animals & Nature,animal-mammal,502,U+1F981,POSITIVE,0.9891314506530762
🐯,tiger face,face | tiger,Animals & Nature,animal-mammal,503,U+1F42F,POSITIVE,0.9831460118293762
🐅,tiger,tiger,Animals & Nature,animal-mammal,504,U+1F405,POSITIVE,0.9216073155403137
🐆,leopard,leopard,Animals & Nature,animal-mammal,505,U+1F406,NEGATIVE,0.8458916544914246
🐴,horse face,face | horse,Animals & Nature,animal-mammal,506,U+1F434,NEGATIVE,0.6021419167518616
🐎,horse,equestrian | horse | racehorse | racing,Animals & Nature,animal-mammal,507,U+1F40E,POSITIVE,0.9633090496063232
🦄,unicorn,face | unicorn,Animals & Nature,animal-mammal,508,U+1F984,POSITIVE,0.99897301197052
🦓,zebra,stripe | zebra,Animals & Nature,animal-mammal,509,U+1F993,NEGATIVE,0.998681366443634
🦌,deer,deer,Animals & Nature,animal-mammal,510,U+1F98C,NEGATIVE,0.8034293055534363
🐮,cow face,cow | face,Animals & Nature,animal-mammal,511,U+1F42E,NEGATIVE,0.9945912957191467
🐂,ox,bull | ox | Taurus | zodiac,Animals & Nature,animal-mammal,512,U+1F402,POSITIVE,0.8950210213661194
🐃,water buffalo,buffalo | water,Animals & Nature,animal-mammal,513,U+1F403,NEGATIVE,0.8273683190345764
🐄,cow,cow,Animals & Nature,animal-mammal,514,U+1F404,NEGATIVE,0.8806058168411255
🐷,pig face,face | pig,Animals & Nature,animal-mammal,515,U+1F437,NEGATIVE,0.9989455342292786
🐖,pig,pig | sow,Animals & Nature,animal-mammal,516,U+1F416,NEGATIVE,0.9995185136795044
🐗,boar,boar | pig,Animals & Nature,animal-mammal,517,U+1F417,NEGATIVE,0.9991406202316284
🐽,pig nose,face | nose | pig,Animals & Nature,animal-mammal,518,U+1F43D,NEGATIVE,0.9992803931236267
🐏,ram,Aries | male | ram | sheep | zodiac,Animals & Nature,animal-mammal,519,U+1F40F,NEGATIVE,0.5221875905990601
🐑,ewe,ewe | female | sheep,Animals & Nature,animal-mammal,520,U+1F411,NEGATIVE,0.6643574833869934
🐐,goat,Capricorn | goat | zodiac,Animals & Nature,animal-mammal,521,U+1F410,POSITIVE,0.5554752349853516
🐪,camel,camel | dromedary | hump,Animals & Nature,animal-mammal,522,U+1F42A,NEGATIVE,0.9649093151092529
🐫,two-hump camel,bactrian | camel | hump | two-hump camel,Animals & Nature,animal-mammal,523,U+1F42B,NEGATIVE,0.9745169878005981
🦙,llama,alpaca | guanaco | llama | vicuña | wool,Animals & Nature,animal-mammal,524,U+1F999,POSITIVE,0.9990501999855042
🦒,giraffe,giraffe | spots,Animals & Nature,animal-mammal,525,U+1F992,POSITIVE,0.9909766912460327
🐘,elephant,elephant,Animals & Nature,animal-mammal,526,U+1F418,NEGATIVE,0.8838171362876892
🦏,rhinoceros,rhinoceros,Animals & Nature,animal-mammal,527,U+1F98F,NEGATIVE,0.9973785877227783
🦛,hippopotamus,hippo | hippopotamus,Animals & Nature,animal-mammal,528,U+1F99B,NEGATIVE,0.5983289480209351
🐭,mouse face,face | mouse,Animals & Nature,animal-mammal,529,U+1F42D,NEGATIVE,0.8885971903800964
🐁,mouse,mouse,Animals & Nature,animal-mammal,530,U+1F401,NEGATIVE,0.987919807434082
🐀,rat,rat,Animals & Nature,animal-mammal,531,U+1F400,NEGATIVE,0.9890133142471313
🐹,hamster,face | hamster | pet,Animals & Nature,animal-mammal,532,U+1F439,NEGATIVE,0.9584975838661194
🐰,rabbit face,bunny | face | pet | rabbit,Animals & Nature,animal-mammal,533,U+1F430,POSITIVE,0.9311043620109558
🐇,rabbit,bunny | pet | rabbit,Animals & Nature,animal-mammal,534,U+1F407,POSITIVE,0.8242970108985901
🐿,chipmunk,chipmunk | squirrel,Animals & Nature,animal-mammal,535,U+1F43F,NEGATIVE,0.8133642673492432
🦔,hedgehog,hedgehog | spiny,Animals & Nature,animal-mammal,536,U+1F994,NEGATIVE,0.9995606541633606
🦇,bat,bat | vampire,Animals & Nature,animal-mammal,537,U+1F987,NEGATIVE,0.778770387172699
🐻,bear,bear | face,Animals & Nature,animal-mammal,538,U+1F43B,NEGATIVE,0.5864388942718506
🐨,koala,bear | koala,Animals & Nature,animal-mammal,539,U+1F428,NEGATIVE,0.7176880240440369
🐼,panda,face | panda,Animals & Nature,animal-mammal,540,U+1F43C,POSITIVE,0.9955112934112549
🦥,sloth,lazy | sloth | slow,Animals & Nature,animal-mammal,541,U+1F9A5,NEGATIVE,0.9999457597732544
🦦,otter,fishing | otter | playful,Animals & Nature,animal-mammal,542,U+1F9A6,POSITIVE,0.9995163679122925
🦨,skunk,skunk | stink,Animals & Nature,animal-mammal,543,U+1F9A8,NEGATIVE,0.9999908208847046
🦘,kangaroo,Australia | joey | jump | kangaroo | marsupial,Animals & Nature,animal-mammal,544,U+1F998,POSITIVE,0.9596110582351685
🦡,badger,badger | honey badger | pester,Animals & Nature,animal-mammal,545,U+1F9A1,NEGATIVE,0.9805369973182678
🐾,paw prints,feet | paw | paw prints | print,Animals & Nature,animal-mammal,546,U+1F43E,NEGATIVE,0.6062187552452087
🦃,turkey,bird | turkey,Animals & Nature,animal-bird,547,U+1F983,NEGATIVE,0.9119080901145935
🐔,chicken,bird | chicken,Animals & Nature,animal-bird,548,U+1F414,NEGATIVE,0.9064610600471497
🐓,rooster,bird | rooster,Animals & Nature,animal-bird,549,U+1F413,NEGATIVE,0.6240886449813843
🐣,hatching chick,baby | bird | chick | hatching,Animals & Nature,animal-bird,550,U+1F423,POSITIVE,0.9187922477722168
🐤,baby chick,baby | bird | chick,Animals & Nature,animal-bird,551,U+1F424,POSITIVE,0.9583849310874939
🐥,front-facing baby chick,baby | bird | chick | front-facing baby chick,Animals & Nature,animal-bird,552,U+1F425,POSITIVE,0.8303772211074829
🐦,bird,bird,Animals & Nature,animal-bird,553,U+1F426,POSITIVE,0.8833423852920532
