Fecha,NMT,Nombre,Ld,Le,Ln,LAeq24,LAS01,LAS10,LAS50,LAS90,LAS99
sep-21,19,Alto Extremadura,"60,2","59,5","53,2","58,7","67,4","61,4","54,6","42,7","36,5"
sep-21,20,Avda de Moratalaz,"60,2","60,3",54,"58,9",67,"61,4","55,6","44,1","39,2"
sep-21,24,Casa de Campo,"48,2","47,7","47,9",48,"54,7","49,6",44,"38,9","37,4"
sep-21,25,Santa Eugenia,"68,1","67,7","63,7",67,71,69,"66,7","59,4","50,9"
sep-21,26,Embajada,61,"59,9",56,"59,7","67,3","63,3","56,9","49,3","42,2"
sep-21,27,Barajas Pueblo,"59,5","58,2",55,"58,2","67,6","61,2","52,4","45,1","37,6"
sep-21,28,Cuatro Vientos,"66,8","65,6","59,8","65,1","73,4","69,2","60,6","39,8",34
sep-21,29,El Pardo,"57,4","56,8","51,9","56,1","64,6","59,6",51,37,"33,8"
sep-21,30,Campo de las Naciones,62,"60,5","53,2","60,2","67,5","62,1","56,8","42,2","38,9"
sep-21,31,Sanchinarro,"62,3","62,2","52,5","60,7",71,"65,4","52,4","43,1","39,3"
sep-21,47,Méndez Álvaro,"55,7","55,3",51,"54,5","65,6","54,9",49,"40,1",37
sep-21,48,Castellana,"60,5",60,"55,8","59,3","66,3","61,6","57,6","50,2","45,3"
sep-21,50,Pza de Castilla,"65,4","65,5","60,9","64,4","70,6","65,9","62,1","53,8","48,3"
sep-21,54,Ensanche de Vallecas,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
sep-21,55,Urbanización Embajada II,"55,9","55,4","53,2","55,1","62,9","56,3","50,2","43,6","38,8"
sep-21,86,Tres Olivos,"58,4","55,3","49,8","56,4","64,7","58,2",50,"39,3","36,5"
oct-21,1,Paseo de Recoletos,"64,1","63,4","60,5",63,"70,6","65,6","60,2","51,7","45,7"
oct-21,2,Carlos V,"68,7","68,8","65,9",68,"74,6","69,6","66,2","60,4","55,5"
oct-21,3,Plaza del Carmen,"61,3","63,8","61,8",62,"69,7","64,3","58,6","50,4","45,3"
oct-21,4,Plaza de España,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
oct-21,5,Barrio del Pilar,"60,9","63,1","53,3","60,1","67,2","62,7","57,2","43,4","37,9"
oct-21,6,Gregorio Marañón,"70,1","69,4","65,5","68,9","76,5","71,6","65,7","57,2","49,4"
oct-21,8,Escuelas Aguirre,"64,8","65,1","61,1",64,"71,2","66,4",62,"55,1","48,1"
oct-21,10,Cuatro Caminos,"64,8","63,8",59,"63,4","71,8","66,7","59,2",51,"49,2"
oct-21,11,Ramón y Cajal,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
oct-21,12,Plaza Manuel Becerra,"63,4","63,9","58,2","62,4","70,3","64,2","59,9","51,6","46,5"
oct-21,13,Vallecas,"57,9","57,3",53,"56,7","65,2","58,8","52,6","42,2","38,4"
oct-21,14,Glorieta Fdez. Ladreda,"64,6","64,4","60,1","63,5","70,2","65,2","61,8","54,6","48,3"
oct-21,16,Arturo Soria,"58,6","57,4","51,6",57,"65,3","58,7","52,4","39,4","35,9"
oct-21,17,Villaverde,"57,6","58,4",50,"56,4","64,9","58,5","52,2","41,6","37,5"
oct-21,18,Farolillo,"57,2","56,1","51,8","55,8","65,1","57,3","49,8","41,2","38,6"
oct-21,19,Alto Extremadura,"60,6","59,5","53,1",59,"67,3","61,5",55,"43,5","37,3"
oct-21,20,Avda de Moratalaz,"62,5","60,6","54,1","60,7","68,4","61,8",56,"45,3","41,6"
oct-21,24,Casa de Campo,"48,9","47,3","42,9","47,4","55,3","50,3","44,4","39,1","37,6"
oct-21,25,Santa Eugenia,"68,1","67,9","63,5",67,"70,9","69,2","66,9","59,5","51,1"
oct-21,26,Embajada,"61,6","60,7","56,9","60,3","67,8","63,9","57,5","50,3","43,7"
oct-21,27,Barajas Pueblo,"59,2",58,"54,7","57,9","67,5","61,4",52,"43,5","37,8"
oct-21,28,Cuatro Vientos,"67,4","65,8","59,9","65,7","73,9","69,8","61,3",41,"35,2"
oct-21,29,El Pardo,"58,1","56,4","50,5","56,4","64,6","59,5","50,7","36,5",34
oct-21,30,Campo de las Naciones,"60,2","59,8","52,8","58,6","65,6","61,3","57,1","43,6","39,9"
oct-21,31,Sanchinarro,63,"62,6","53,2","61,4","71,7","66,1","53,6","43,8","40,2"
oct-21,47,Méndez Álvaro,"55,6","55,3","49,6","54,3","65,3","54,6","48,4","39,9","37,2"
oct-21,48,Castellana,61,"60,4","56,2","59,8","66,6",62,58,"50,9","45,1"
oct-21,50,Pza de Castilla,66,"65,3",61,"64,8",71,"66,3","62,5","54,6","48,9"
oct-21,54,Ensanche de Vallecas,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
oct-21,55,Urbanización Embajada II,"55,2","54,5",50,"53,9","62,5","56,5","50,3","43,6","39,5"
oct-21,86,Tres Olivos,"58,9","55,5","49,5","56,8",64,"58,1","49,9","39,1",37
nov-21,1,Paseo de Recoletos,"68,6","63,7","60,9","66,5","72,9","66,6","60,6",52,"46,3"
nov-21,2,Carlos V,69,"68,7","66,3","68,2","74,9","69,7","66,5","60,4","55,3"
nov-21,3,Plaza del Carmen,"62,5","61,8","59,4","61,6","70,1","63,6","57,5","49,9","45,2"
nov-21,4,Plaza de España,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
nov-21,5,Barrio del Pilar,"61,4","60,9","53,3","59,8","66,7","62,6","57,1","43,6",38
nov-21,6,Gregorio Marañón,"70,1","69,5","65,7","68,9","76,6","71,5","65,7","57,4","49,6"
nov-21,8,Escuelas Aguirre,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
nov-21,10,Cuatro Caminos,"65,4","64,3","59,8","63,9","72,3","67,3","59,9","51,2","49,2"
nov-21,11,Ramón y Cajal,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
nov-21,12,Plaza Manuel Becerra,64,"63,3","58,2","62,7","71,2","64,2","59,9","51,4","45,3"
nov-21,13,Vallecas,"60,8","57,4",51,"58,7","67,1","60,7","53,8","41,9","38,6"
nov-21,14,Glorieta Fdez. Ladreda,"64,1","63,8","59,9",63,70,"64,7","60,9","53,7",48
nov-21,16,Arturo Soria,"59,2","57,2","51,9","57,5","65,9","59,4","53,4","40,3","36,6"
nov-21,17,Villaverde,"59,3","56,7","52,4","57,5",66,"58,8","52,3","42,1","38,7"
nov-21,18,Farolillo,"57,7",55,"47,2","55,6","65,6","56,4","48,7","39,6","37,4"
nov-21,19,Alto Extremadura,"60,4","59,7",54,59,"67,1","61,8","55,6","44,1","37,8"
nov-21,20,Avda de Moratalaz,"60,9","60,1","54,8","59,5","67,4",62,"56,1","45,5","42,4"
nov-21,24,Casa de Campo,"47,8","45,8","42,8","46,3","54,2","49,1","43,6",39,"37,6"
nov-21,25,Santa Eugenia,69,"68,2","64,1","67,7","71,7","69,8","67,6","59,9","51,2"
nov-21,26,Embajada,"62,5",61,"57,3",61,"68,6","64,8","58,3","50,9",44
nov-21,27,Barajas Pueblo,"62,9","58,8","54,8","60,8","69,6","63,3","53,8","43,1","36,8"
nov-21,28,Cuatro Vientos,"67,8","66,2","60,6","66,1","74,3","70,4","61,7",41,"35,4"
nov-21,29,El Pardo,"57,5","55,2","50,6","55,8",65,"60,1","49,3","35,8","33,5"
nov-21,30,Campo de las Naciones,"60,9","58,8","54,7","59,2","66,3","61,5","56,9","44,4",41
nov-21,31,Sanchinarro,"63,6","63,2","53,8",62,"72,1","66,8","54,5","44,1","40,6"
nov-21,47,Méndez Álvaro,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
nov-21,48,Castellana,61,"59,8","55,8","59,6","66,5","62,1",58,"50,4","44,3"
nov-21,50,Pza de Castilla,66,"65,7","61,6","64,9","71,1","66,7",63,"54,8","48,9"
nov-21,54,Ensanche de Vallecas,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
nov-21,55,Urbanización Embajada II,"57,8","55,5","51,1",56,"64,3","57,7","51,7","45,7","43,2"
nov-21,86,Tres Olivos,"58,3","54,8","50,2","56,2",65,"58,6","50,2","39,5","37,6"
dic-21,1,Paseo de Recoletos,"65,2","63,3","60,3","63,7","72,2","65,7","60,4","51,9",46
dic-21,2,Carlos V,"71,1","70,8","66,2","69,9","75,3","70,7","66,9","60,7","55,7"
dic-21,3,Plaza del Carmen,"61,2","62,3","58,9","60,8","69,4","63,1",57,"49,9","45,6"
dic-21,4,Plaza de España,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
dic-21,5,Barrio del Pilar,"61,7","62,1","53,7","60,4",67,"62,9","57,4",44,"38,6"
dic-21,6,Gregorio Marañón,"69,6","69,5","65,4","68,6","76,1","71,4","65,3","57,1","50,3"
dic-21,8,Escuelas Aguirre,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
dic-21,10,Cuatro Caminos,"65,2","64,1",60,"63,8","72,2","67,1","59,5","50,4","47,8"
dic-21,11,Ramón y Cajal,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
dic-21,12,Plaza Manuel Becerra,"63,5","62,9","57,8","62,2","70,3",64,"59,8","51,3","44,7"
dic-21,13,Vallecas,"64,2","58,8","51,8","61,8","69,8","60,6","53,6","42,9","39,7"
dic-21,14,Glorieta Fdez. Ladreda,"63,8","63,4","59,1","62,6","69,3","64,6",61,"53,4","47,9"
dic-21,16,Arturo Soria,"58,4","57,5","51,8","56,9","64,5","59,2","53,2",41,"37,4"
dic-21,17,Villaverde,"62,3","60,8","51,9","60,5","64,9","58,1","51,7","42,3","39,1"
dic-21,18,Farolillo,"57,6","60,7",48,57,"66,3","56,9","48,8","40,1",38
dic-21,19,Alto Extremadura,"60,4","60,1","54,9","59,1","67,1","61,8","55,5","45,6","39,8"
dic-21,20,Avda de Moratalaz,"65,7","60,3","54,3","63,3","68,3","62,6","55,9",45,"41,5"
dic-21,24,Casa de Campo,"48,5",47,"43,6","47,1","54,6","49,7","44,5","39,5","37,9"
dic-21,25,Santa Eugenia,69,"68,5","64,7","67,9","71,6",70,"67,7","60,2",52
dic-21,26,Embajada,"62,5","61,3","57,4","61,1","68,9","64,9","58,3","51,4","44,9"
dic-21,27,Barajas Pueblo,"61,7",59,"54,6","59,9",69,"62,8","52,4","43,2","37,5"
dic-21,28,Cuatro Vientos,"68,2","66,4","60,7","66,5","74,8","70,6","61,9","43,4","37,8"
dic-21,29,El Pardo,"57,8","55,4","49,9",56,"65,4","60,6","48,9","34,7",33
dic-21,30,Campo de las Naciones,"59,7","58,4","53,4","58,1","65,1",61,"56,2","46,7","43,7"
dic-21,31,Sanchinarro,64,"63,8","53,9","62,4","72,4","67,1","54,8","44,7","41,2"
dic-21,47,Méndez Álvaro,57,"54,7","50,2","55,5","66,5","54,3","47,9","40,6","38,1"
dic-21,48,Castellana,"60,7","60,2","55,9","59,5","66,3","61,8",58,"50,4","44,6"
dic-21,50,Pza de Castilla,"66,2","66,1","61,6","65,1","71,1",67,63,55,"49,2"
dic-21,54,Ensanche de Vallecas,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
dic-21,55,Urbanización Embajada II,"56,9","61,2","50,7","57,1","64,1","57,3","51,3","45,6","43,4"
dic-21,86,Tres Olivos,"56,7","55,1","50,8","55,2","64,6","58,5","49,6","38,9","37,1"
